replicate,rank,top-100 model,top-100 acquired
1,0,0.04,0.0
1,1,0.15,0.03
1,2,0.07,0.04
1,3,0.1,0.05
1,4,0.12,0.08
1,5,0.15,0.1
2,0,0.05,0.0
2,1,0.27,0.03
2,2,0.23,0.1
2,3,0.25,0.15
2,4,0.27,0.17
2,5,0.3,0.21
3,0,0.01,0.0
3,1,0.03,0.0
3,2,0.07,0.0
3,3,0.11,0.02
3,4,0.09,0.04
3,5,0.12,0.06
4,0,0.09,0.01
4,1,0.15,0.03
4,2,0.21,0.06
4,3,0.1,0.08
4,4,0.24,0.08
4,5,0.3,0.13
5,0,0.02,0.0
5,1,0.16,0.01
5,2,0.07,0.05
5,3,0.12,0.05
5,4,0.29,0.07
5,5,0.31,0.15
6,0,0.06,0.0
6,1,0.1,0.0
6,2,0.13,0.02
6,3,0.19,0.07
6,4,0.23,0.11
6,5,0.28,0.18
7,0,0.01,0.0
7,1,0.08,0.01
7,2,0.11,0.02
7,3,0.12,0.03
7,4,0.2,0.06
7,5,0.26,0.11
8,0,0.01,0.0
8,1,0.06,0.0
8,2,0.16,0.01
8,3,0.16,0.04
8,4,0.25,0.07
8,5,0.29,0.14
9,0,0.07,0.01
9,1,0.15,0.02
9,2,0.2,0.07
9,3,0.24,0.13
9,4,0.25,0.2
9,5,0.28,0.21
10,0,0.01,0.0
10,1,0.03,0.0
10,2,0.1,0.01
10,3,0.07,0.03
10,4,0.16,0.05
10,5,0.16,0.08
11,0,0.02,0.0
11,1,0.08,0.0
11,2,0.09,0.0
11,3,0.06,0.0
11,4,0.09,0.01
11,5,0.12,0.05
12,0,0.03,0.0
12,1,0.04,0.01
12,2,0.12,0.03
12,3,0.24,0.06
12,4,0.24,0.12
12,5,0.3,0.18
13,0,0.07,0.0
13,1,0.11,0.01
13,2,0.2,0.06
13,3,0.23,0.13
13,4,0.19,0.16
13,5,0.28,0.17
14,0,0.1,0.0
14,1,0.12,0.04
14,2,0.22,0.07
14,3,0.21,0.13
14,4,0.24,0.15
14,5,0.28,0.18
15,0,0.01,0.0
15,1,0.07,0.0
15,2,0.07,0.02
15,3,0.09,0.03
15,4,0.08,0.04
15,5,0.14,0.05
16,0,0.03,0.0
16,1,0.21,0.01
16,2,0.23,0.07
16,3,0.16,0.11
16,4,0.28,0.15
16,5,0.3,0.19
17,0,0.19,0.01
17,1,0.25,0.07
17,2,0.33,0.11
17,3,0.33,0.19
17,4,0.34,0.24
17,5,0.37,0.29
18,0,0.07,0.01
18,1,0.18,0.02
18,2,0.19,0.06
18,3,0.23,0.07
18,4,0.27,0.14
18,5,0.26,0.19
19,0,0.02,0.0
19,1,0.2,0.01
19,2,0.22,0.07
19,3,0.2,0.11
19,4,0.24,0.13
19,5,0.26,0.18
20,0,0.09,0.0
20,1,0.12,0.01
20,2,0.17,0.05
20,3,0.19,0.08
20,4,0.21,0.14
20,5,0.17,0.15
21,0,0.0,0.0
21,1,0.04,0.0
21,2,0.23,0.01
21,3,0.31,0.11
21,4,0.25,0.16
21,5,0.26,0.19
22,0,0.04,0.0
22,1,0.03,0.0
22,2,0.19,0.01
22,3,0.21,0.07
22,4,0.2,0.09
22,5,0.25,0.14
23,0,0.02,0.0
23,1,0.01,0.0
23,2,0.07,0.0
23,3,0.07,0.01
23,4,0.14,0.03
23,5,0.15,0.07
24,0,0.03,0.0
24,1,0.13,0.01
24,2,0.15,0.04
24,3,0.16,0.1
24,4,0.14,0.13
24,5,0.26,0.13
25,0,0.18,0.0
25,1,0.11,0.01
25,2,0.13,0.04
25,3,0.15,0.07
25,4,0.22,0.12
25,5,0.25,0.16
26,0,0.02,0.0
26,1,0.01,0.01
26,2,0.09,0.01
26,3,0.19,0.04
26,4,0.15,0.07
26,5,0.21,0.11
27,0,0.07,0.0
27,1,0.21,0.03
27,2,0.21,0.09
27,3,0.22,0.13
27,4,0.25,0.15
27,5,0.27,0.17
28,0,0.06,0.0
28,1,0.17,0.01
28,2,0.1,0.04
28,3,0.27,0.05
28,4,0.28,0.13
28,5,0.33,0.2
29,0,0.16,0.01
29,1,0.26,0.1
29,2,0.24,0.15
29,3,0.29,0.15
29,4,0.28,0.19
29,5,0.22,0.21
30,0,0.13,0.01
30,1,0.09,0.03
30,2,0.15,0.04
30,3,0.13,0.07
30,4,0.23,0.09
30,5,0.22,0.13
