replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.09,0.01
1,2,0.17,0.03
1,3,0.21,0.06
1,4,0.2,0.12
1,5,0.23,0.15
2,0,0.11,0.0
2,1,0.17,0.02
2,2,0.2,0.08
2,3,0.25,0.12
2,4,0.22,0.14
2,5,0.26,0.19
3,0,0.0,0.0
3,1,0.03,0.0
3,2,0.14,0.01
3,3,0.18,0.04
3,4,0.19,0.12
3,5,0.19,0.13
4,0,0.2,0.01
4,1,0.18,0.07
4,2,0.2,0.1
4,3,0.24,0.13
4,4,0.24,0.16
4,5,0.31,0.19
5,0,0.1,0.0
5,1,0.18,0.01
5,2,0.19,0.05
5,3,0.2,0.1
5,4,0.2,0.14
5,5,0.26,0.17
6,0,0.26,0.0
6,1,0.2,0.07
6,2,0.26,0.12
6,3,0.26,0.18
6,4,0.29,0.21
6,5,0.28,0.25
7,0,0.08,0.0
7,1,0.22,0.02
7,2,0.27,0.07
7,3,0.22,0.11
7,4,0.26,0.18
7,5,0.3,0.21
8,0,0.11,0.0
8,1,0.11,0.0
8,2,0.1,0.02
8,3,0.14,0.03
8,4,0.19,0.08
8,5,0.23,0.12
9,0,0.19,0.01
9,1,0.22,0.04
9,2,0.21,0.1
9,3,0.22,0.11
9,4,0.27,0.17
9,5,0.27,0.23
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.02,0.0
10,3,0.02,0.01
10,4,0.04,0.01
10,5,0.05,0.02
11,0,0.03,0.0
11,1,0.17,0.02
11,2,0.31,0.11
11,3,0.23,0.16
11,4,0.25,0.18
11,5,0.25,0.18
12,0,0.1,0.0
12,1,0.02,0.0
12,2,0.02,0.0
12,3,0.07,0.0
12,4,0.12,0.02
12,5,0.22,0.06
13,0,0.12,0.0
13,1,0.24,0.02
13,2,0.26,0.05
13,3,0.19,0.09
13,4,0.24,0.15
13,5,0.27,0.18
14,0,0.1,0.0
14,1,0.18,0.04
14,2,0.22,0.09
14,3,0.25,0.13
14,4,0.26,0.18
14,5,0.24,0.19
15,0,0.12,0.0
15,1,0.23,0.02
15,2,0.19,0.08
15,3,0.2,0.11
15,4,0.2,0.16
15,5,0.23,0.17
16,0,0.11,0.0
16,1,0.2,0.05
16,2,0.22,0.09
16,3,0.26,0.11
16,4,0.23,0.16
16,5,0.3,0.19
17,0,0.05,0.01
17,1,0.1,0.03
17,2,0.17,0.05
17,3,0.21,0.08
17,4,0.22,0.14
17,5,0.26,0.16
18,0,0.1,0.01
18,1,0.17,0.04
18,2,0.23,0.08
18,3,0.26,0.14
18,4,0.28,0.18
18,5,0.29,0.22
19,0,0.16,0.0
19,1,0.11,0.03
19,2,0.17,0.03
19,3,0.25,0.08
19,4,0.31,0.16
19,5,0.3,0.19
20,0,0.04,0.0
20,1,0.17,0.02
20,2,0.23,0.06
20,3,0.25,0.13
20,4,0.25,0.18
20,5,0.32,0.23
21,0,0.0,0.0
21,1,0.09,0.0
21,2,0.24,0.04
21,3,0.22,0.11
21,4,0.23,0.14
21,5,0.26,0.16
22,0,0.03,0.0
22,1,0.17,0.02
22,2,0.16,0.08
22,3,0.24,0.11
22,4,0.23,0.15
22,5,0.28,0.2
23,0,0.06,0.0
23,1,0.21,0.01
23,2,0.2,0.08
23,3,0.25,0.14
23,4,0.26,0.19
23,5,0.31,0.21
24,0,0.01,0.0
24,1,0.0,0.0
24,2,0.02,0.0
24,3,0.07,0.01
24,4,0.16,0.05
24,5,0.18,0.09
25,0,0.19,0.0
25,1,0.23,0.05
25,2,0.2,0.09
25,3,0.22,0.14
25,4,0.28,0.18
25,5,0.3,0.25
26,0,0.07,0.0
26,1,0.21,0.04
26,2,0.2,0.09
26,3,0.26,0.14
26,4,0.3,0.17
26,5,0.3,0.21
27,0,0.19,0.0
27,1,0.22,0.06
27,2,0.22,0.11
27,3,0.25,0.16
27,4,0.27,0.19
27,5,0.31,0.21
28,0,0.13,0.0
28,1,0.23,0.03
28,2,0.22,0.09
28,3,0.27,0.14
28,4,0.3,0.19
28,5,0.29,0.21
29,0,0.19,0.01
29,1,0.19,0.04
29,2,0.2,0.09
29,3,0.23,0.14
29,4,0.27,0.17
29,5,0.3,0.2
30,0,0.15,0.01
30,1,0.2,0.05
30,2,0.24,0.12
30,3,0.23,0.16
30,4,0.28,0.2
30,5,0.27,0.24
