replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.14,0.02
1,2,0.19,0.05
1,3,0.24,0.12
1,4,0.22,0.18
1,5,0.24,0.19
2,0,0.11,0.0
2,1,0.18,0.02
2,2,0.22,0.05
2,3,0.2,0.13
2,4,0.27,0.16
2,5,0.26,0.19
3,0,0.0,0.0
3,1,0.1,0.0
3,2,0.13,0.01
3,3,0.21,0.05
3,4,0.23,0.11
3,5,0.25,0.17
4,0,0.2,0.01
4,1,0.27,0.07
4,2,0.23,0.1
4,3,0.21,0.16
4,4,0.27,0.18
4,5,0.29,0.24
5,0,0.1,0.0
5,1,0.14,0.01
5,2,0.2,0.04
5,3,0.23,0.11
5,4,0.26,0.15
5,5,0.31,0.19
6,0,0.26,0.0
6,1,0.19,0.05
6,2,0.18,0.08
6,3,0.21,0.11
6,4,0.27,0.14
6,5,0.3,0.18
7,0,0.08,0.0
7,1,0.14,0.02
7,2,0.2,0.07
7,3,0.25,0.1
7,4,0.27,0.15
7,5,0.28,0.18
8,0,0.11,0.0
8,1,0.09,0.0
8,2,0.05,0.01
8,3,0.05,0.01
8,4,0.09,0.02
8,5,0.14,0.04
9,0,0.19,0.01
9,1,0.24,0.05
9,2,0.24,0.12
9,3,0.29,0.17
9,4,0.29,0.19
9,5,0.31,0.25
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.04,0.0
10,3,0.09,0.03
10,4,0.14,0.07
10,5,0.18,0.11
11,0,0.03,0.0
11,1,0.06,0.02
11,2,0.09,0.04
11,3,0.19,0.06
11,4,0.3,0.12
11,5,0.29,0.2
12,0,0.1,0.0
12,1,0.02,0.0
12,2,0.04,0.0
12,3,0.02,0.0
12,4,0.06,0.0
12,5,0.1,0.02
13,0,0.12,0.0
13,1,0.21,0.02
13,2,0.25,0.12
13,3,0.25,0.16
13,4,0.24,0.2
13,5,0.28,0.22
14,0,0.1,0.0
14,1,0.21,0.05
14,2,0.17,0.11
14,3,0.23,0.14
14,4,0.23,0.16
14,5,0.31,0.21
15,0,0.12,0.0
15,1,0.13,0.02
15,2,0.26,0.07
15,3,0.27,0.14
15,4,0.26,0.16
15,5,0.26,0.21
16,0,0.11,0.0
16,1,0.17,0.04
16,2,0.2,0.09
16,3,0.24,0.11
16,4,0.3,0.17
16,5,0.29,0.2
17,0,0.05,0.01
17,1,0.24,0.02
17,2,0.18,0.08
17,3,0.2,0.12
17,4,0.24,0.17
17,5,0.25,0.17
18,0,0.1,0.01
18,1,0.19,0.04
18,2,0.2,0.08
18,3,0.21,0.12
18,4,0.22,0.17
18,5,0.24,0.19
19,0,0.16,0.0
19,1,0.13,0.04
19,2,0.16,0.08
19,3,0.23,0.1
19,4,0.23,0.15
19,5,0.23,0.19
20,0,0.04,0.0
20,1,0.13,0.01
20,2,0.19,0.04
20,3,0.21,0.09
20,4,0.25,0.15
20,5,0.32,0.19
21,0,0.0,0.0
21,1,0.09,0.0
21,2,0.16,0.0
21,3,0.25,0.11
21,4,0.25,0.15
21,5,0.28,0.19
22,0,0.03,0.0
22,1,0.15,0.02
22,2,0.18,0.05
22,3,0.23,0.12
22,4,0.25,0.14
22,5,0.29,0.2
23,0,0.06,0.0
23,1,0.06,0.02
23,2,0.24,0.03
23,3,0.21,0.08
23,4,0.24,0.13
23,5,0.26,0.18
24,0,0.01,0.0
24,1,0.01,0.0
24,2,0.12,0.0
24,3,0.15,0.05
24,4,0.18,0.09
24,5,0.22,0.11
25,0,0.19,0.0
25,1,0.17,0.04
25,2,0.22,0.08
25,3,0.25,0.11
25,4,0.23,0.18
25,5,0.24,0.19
26,0,0.07,0.0
26,1,0.22,0.04
26,2,0.21,0.1
26,3,0.26,0.14
26,4,0.27,0.17
26,5,0.31,0.22
27,0,0.19,0.0
27,1,0.16,0.06
27,2,0.24,0.13
27,3,0.22,0.17
27,4,0.25,0.19
27,5,0.29,0.23
28,0,0.13,0.0
28,1,0.22,0.03
28,2,0.23,0.09
28,3,0.25,0.13
28,4,0.23,0.17
28,5,0.32,0.2
29,0,0.19,0.01
29,1,0.21,0.04
29,2,0.23,0.11
29,3,0.25,0.17
29,4,0.33,0.19
29,5,0.34,0.24
30,0,0.15,0.01
30,1,0.21,0.05
30,2,0.23,0.11
30,3,0.24,0.13
30,4,0.28,0.17
30,5,0.29,0.22
