replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.18,0.0
1,2,0.17,0.0
1,3,0.14,0.0
1,4,0.11,0.0
1,5,0.1,0.0
2,0,0.11,0.0
2,1,0.22,0.01
2,2,0.18,0.01
2,3,0.19,0.02
2,4,0.25,0.02
2,5,0.29,0.03
3,0,0.0,0.0
3,1,0.12,0.0
3,2,0.15,0.0
3,3,0.21,0.02
3,4,0.22,0.04
3,5,0.17,0.04
4,0,0.2,0.01
4,1,0.23,0.08
4,2,0.23,0.08
4,3,0.26,0.08
4,4,0.25,0.08
4,5,0.23,0.09
5,0,0.1,0.0
5,1,0.07,0.01
5,2,0.19,0.06
5,3,0.22,0.06
5,4,0.23,0.06
5,5,0.25,0.06
6,0,0.26,0.0
6,1,0.16,0.02
6,2,0.22,0.02
6,3,0.22,0.03
6,4,0.22,0.03
6,5,0.22,0.05
7,0,0.08,0.0
7,1,0.21,0.0
7,2,0.14,0.0
7,3,0.17,0.01
7,4,0.2,0.01
7,5,0.23,0.01
8,0,0.11,0.0
8,1,0.14,0.01
8,2,0.18,0.02
8,3,0.17,0.02
8,4,0.24,0.05
8,5,0.22,0.05
9,0,0.19,0.01
9,1,0.24,0.01
9,2,0.24,0.01
9,3,0.14,0.01
9,4,0.23,0.01
9,5,0.24,0.01
10,0,0.0,0.0
10,1,0.09,0.02
10,2,0.18,0.02
10,3,0.18,0.02
10,4,0.2,0.04
10,5,0.24,0.04
11,0,0.03,0.0
11,1,0.06,0.0
11,2,0.06,0.0
11,3,0.15,0.0
11,4,0.11,0.0
11,5,0.16,0.02
12,0,0.1,0.0
12,1,0.02,0.0
12,2,0.08,0.0
12,3,0.11,0.0
12,4,0.12,0.0
12,5,0.09,0.0
13,0,0.12,0.0
13,1,0.16,0.01
13,2,0.11,0.01
13,3,0.09,0.01
13,4,0.12,0.01
13,5,0.11,0.01
14,0,0.1,0.0
14,1,0.12,0.0
14,2,0.23,0.0
14,3,0.21,0.0
14,4,0.22,0.01
14,5,0.26,0.02
15,0,0.12,0.0
15,1,0.19,0.0
15,2,0.22,0.0
15,3,0.17,0.01
15,4,0.19,0.02
15,5,0.27,0.02
16,0,0.11,0.0
16,1,0.24,0.01
16,2,0.23,0.01
16,3,0.23,0.01
16,4,0.23,0.01
16,5,0.27,0.01
17,0,0.05,0.01
17,1,0.21,0.01
17,2,0.24,0.09
17,3,0.24,0.09
17,4,0.25,0.09
17,5,0.25,0.09
18,0,0.1,0.01
18,1,0.07,0.01
18,2,0.1,0.02
18,3,0.13,0.02
18,4,0.23,0.04
18,5,0.21,0.04
19,0,0.16,0.0
19,1,0.18,0.08
19,2,0.24,0.08
19,3,0.23,0.08
19,4,0.22,0.08
19,5,0.24,0.08
20,0,0.04,0.0
20,1,0.1,0.0
20,2,0.08,0.0
20,3,0.05,0.0
20,4,0.05,0.0
20,5,0.16,0.0
21,0,0.0,0.0
21,1,0.11,0.0
21,2,0.19,0.0
21,3,0.21,0.0
21,4,0.18,0.0
21,5,0.2,0.03
22,0,0.03,0.0
22,1,0.06,0.0
22,2,0.09,0.0
22,3,0.09,0.0
22,4,0.19,0.0
22,5,0.08,0.0
23,0,0.06,0.0
23,1,0.18,0.01
23,2,0.12,0.01
23,3,0.09,0.01
23,4,0.07,0.01
23,5,0.12,0.01
24,0,0.01,0.0
24,1,0.11,0.01
24,2,0.17,0.01
24,3,0.23,0.06
24,4,0.23,0.06
24,5,0.23,0.06
25,0,0.19,0.0
25,1,0.18,0.08
25,2,0.19,0.08
25,3,0.2,0.08
25,4,0.19,0.08
25,5,0.24,0.12
26,0,0.07,0.0
26,1,0.22,0.02
26,2,0.26,0.02
26,3,0.21,0.02
26,4,0.19,0.04
26,5,0.24,0.05
27,0,0.19,0.0
27,1,0.24,0.05
27,2,0.16,0.05
27,3,0.2,0.05
27,4,0.23,0.05
27,5,0.22,0.05
28,0,0.13,0.0
28,1,0.15,0.0
28,2,0.22,0.04
28,3,0.27,0.04
28,4,0.24,0.04
28,5,0.25,0.04
29,0,0.19,0.01
29,1,0.21,0.04
29,2,0.18,0.04
29,3,0.19,0.04
29,4,0.19,0.04
29,5,0.27,0.05
30,0,0.15,0.01
30,1,0.17,0.05
30,2,0.2,0.05
30,3,0.19,0.05
30,4,0.19,0.05
30,5,0.22,0.05
