replicate,rank,top-100 model,top-100 acquired
1,0,0.12,0.0
1,1,0.12,0.03
1,2,0.09,0.05
1,3,0.19,0.07
1,4,0.22,0.13
1,5,0.23,0.16
2,0,0.13,0.0
2,1,0.25,0.04
2,2,0.18,0.08
2,3,0.21,0.13
2,4,0.22,0.17
2,5,0.31,0.17
3,0,0.04,0.0
3,1,0.05,0.0
3,2,0.22,0.0
3,3,0.19,0.09
3,4,0.2,0.13
3,5,0.25,0.15
4,0,0.2,0.01
4,1,0.23,0.08
4,2,0.23,0.11
4,3,0.26,0.15
4,4,0.26,0.19
4,5,0.28,0.21
5,0,0.06,0.0
5,1,0.22,0.01
5,2,0.23,0.09
5,3,0.23,0.12
5,4,0.25,0.14
5,5,0.27,0.18
6,0,0.23,0.0
6,1,0.19,0.05
6,2,0.22,0.09
6,3,0.24,0.12
6,4,0.28,0.18
6,5,0.29,0.22
7,0,0.14,0.0
7,1,0.19,0.04
7,2,0.26,0.07
7,3,0.19,0.12
7,4,0.28,0.15
7,5,0.25,0.21
8,0,0.1,0.0
8,1,0.2,0.04
8,2,0.17,0.06
8,3,0.2,0.07
8,4,0.23,0.12
8,5,0.23,0.16
9,0,0.21,0.01
9,1,0.27,0.09
9,2,0.22,0.14
9,3,0.26,0.17
9,4,0.28,0.17
9,5,0.28,0.21
10,0,0.0,0.0
10,1,0.0,0.0
10,2,0.06,0.0
10,3,0.05,0.01
10,4,0.2,0.05
10,5,0.28,0.1
11,0,0.04,0.0
11,1,0.15,0.01
11,2,0.23,0.04
11,3,0.27,0.12
11,4,0.23,0.17
11,5,0.29,0.2
12,0,0.02,0.0
12,1,0.1,0.0
12,2,0.2,0.02
12,3,0.2,0.06
12,4,0.23,0.12
12,5,0.27,0.16
13,0,0.26,0.0
13,1,0.22,0.08
13,2,0.15,0.11
13,3,0.2,0.12
13,4,0.28,0.18
13,5,0.26,0.23
14,0,0.15,0.0
14,1,0.21,0.06
14,2,0.26,0.1
14,3,0.18,0.14
14,4,0.27,0.15
14,5,0.29,0.21
15,0,0.02,0.0
15,1,0.19,0.0
15,2,0.22,0.03
15,3,0.21,0.1
15,4,0.23,0.12
15,5,0.22,0.16
16,0,0.14,0.0
16,1,0.25,0.03
16,2,0.28,0.1
16,3,0.24,0.13
16,4,0.25,0.17
16,5,0.28,0.2
17,0,0.04,0.01
17,1,0.19,0.02
17,2,0.19,0.09
17,3,0.2,0.13
17,4,0.22,0.17
17,5,0.23,0.2
18,0,0.13,0.01
18,1,0.12,0.03
18,2,0.22,0.05
18,3,0.21,0.08
18,4,0.25,0.11
18,5,0.34,0.18
19,0,0.12,0.0
19,1,0.1,0.01
19,2,0.07,0.03
19,3,0.18,0.04
19,4,0.25,0.08
19,5,0.26,0.14
20,0,0.04,0.0
20,1,0.0,0.0
20,2,0.05,0.0
20,3,0.13,0.01
20,4,0.19,0.06
20,5,0.26,0.12
21,0,0.0,0.0
21,1,0.21,0.0
21,2,0.14,0.05
21,3,0.16,0.09
21,4,0.21,0.13
21,5,0.21,0.15
22,0,0.03,0.0
22,1,0.22,0.02
22,2,0.2,0.05
22,3,0.24,0.12
22,4,0.25,0.16
22,5,0.29,0.2
23,0,0.07,0.0
23,1,0.14,0.04
23,2,0.23,0.08
23,3,0.22,0.13
23,4,0.23,0.17
23,5,0.25,0.19
24,0,0.01,0.0
24,1,0.01,0.0
24,2,0.06,0.01
24,3,0.15,0.04
24,4,0.23,0.08
24,5,0.26,0.14
25,0,0.22,0.0
25,1,0.18,0.06
25,2,0.2,0.09
25,3,0.2,0.12
25,4,0.23,0.18
25,5,0.28,0.2
26,0,0.04,0.0
26,1,0.12,0.01
26,2,0.21,0.07
26,3,0.24,0.11
26,4,0.27,0.18
26,5,0.29,0.22
27,0,0.23,0.0
27,1,0.22,0.1
27,2,0.24,0.12
27,3,0.22,0.16
27,4,0.22,0.19
27,5,0.29,0.2
28,0,0.17,0.0
28,1,0.25,0.05
28,2,0.24,0.12
28,3,0.25,0.14
28,4,0.22,0.16
28,5,0.21,0.18
29,0,0.21,0.01
29,1,0.19,0.04
29,2,0.2,0.11
29,3,0.2,0.14
29,4,0.23,0.16
29,5,0.21,0.16
30,0,0.23,0.01
30,1,0.2,0.07
30,2,0.23,0.12
30,3,0.24,0.16
30,4,0.31,0.17
30,5,0.32,0.21
