replicate,rank,top-100 model,top-100 acquired
1,0,0.04,0.0
1,1,0.03,0.02
1,2,0.09,0.02
1,3,0.24,0.04
1,4,0.21,0.09
1,5,0.24,0.15
2,0,0.05,0.0
2,1,0.18,0.03
2,2,0.29,0.07
2,3,0.3,0.13
2,4,0.29,0.17
2,5,0.29,0.23
3,0,0.01,0.0
3,1,0.13,0.0
3,2,0.16,0.04
3,3,0.24,0.1
3,4,0.22,0.15
3,5,0.25,0.19
4,0,0.09,0.01
4,1,0.14,0.03
4,2,0.14,0.06
4,3,0.14,0.07
4,4,0.23,0.09
4,5,0.29,0.14
5,0,0.02,0.0
5,1,0.2,0.02
5,2,0.21,0.09
5,3,0.21,0.15
5,4,0.25,0.16
5,5,0.31,0.19
6,0,0.06,0.0
6,1,0.06,0.03
6,2,0.19,0.03
6,3,0.29,0.08
6,4,0.28,0.15
6,5,0.29,0.17
7,0,0.01,0.0
7,1,0.06,0.01
7,2,0.08,0.02
7,3,0.06,0.03
7,4,0.06,0.03
7,5,0.2,0.06
8,0,0.01,0.0
8,1,0.1,0.0
8,2,0.1,0.03
8,3,0.19,0.06
8,4,0.23,0.08
8,5,0.26,0.14
9,0,0.07,0.01
9,1,0.25,0.04
9,2,0.28,0.13
9,3,0.27,0.16
9,4,0.33,0.22
9,5,0.33,0.27
10,0,0.01,0.0
10,1,0.03,0.0
10,2,0.19,0.01
10,3,0.23,0.09
10,4,0.26,0.13
10,5,0.25,0.17
11,0,0.02,0.0
11,1,0.04,0.0
11,2,0.04,0.0
11,3,0.06,0.02
11,4,0.1,0.04
11,5,0.16,0.06
12,0,0.03,0.0
12,1,0.03,0.01
12,2,0.19,0.02
12,3,0.24,0.07
12,4,0.27,0.11
12,5,0.27,0.15
13,0,0.07,0.0
13,1,0.1,0.01
13,2,0.19,0.06
13,3,0.3,0.12
13,4,0.31,0.18
13,5,0.35,0.24
14,0,0.1,0.0
14,1,0.12,0.04
14,2,0.16,0.08
14,3,0.18,0.09
14,4,0.25,0.14
14,5,0.25,0.18
15,0,0.01,0.0
15,1,0.04,0.0
15,2,0.03,0.01
15,3,0.08,0.01
15,4,0.1,0.03
15,5,0.15,0.06
16,0,0.03,0.0
16,1,0.16,0.01
16,2,0.17,0.02
16,3,0.11,0.04
16,4,0.18,0.06
16,5,0.15,0.08
17,0,0.19,0.01
17,1,0.12,0.05
17,2,0.15,0.08
17,3,0.22,0.11
17,4,0.24,0.18
17,5,0.3,0.2
18,0,0.07,0.01
18,1,0.15,0.02
18,2,0.24,0.1
18,3,0.22,0.15
18,4,0.29,0.19
18,5,0.31,0.22
19,0,0.02,0.0
19,1,0.2,0.01
19,2,0.24,0.07
19,3,0.21,0.12
19,4,0.26,0.17
19,5,0.27,0.21
20,0,0.09,0.0
20,1,0.07,0.02
20,2,0.07,0.03
20,3,0.09,0.06
20,4,0.16,0.07
20,5,0.27,0.1
21,0,0.0,0.0
21,1,0.05,0.0
21,2,0.11,0.01
21,3,0.17,0.04
21,4,0.22,0.12
21,5,0.21,0.15
22,0,0.04,0.0
22,1,0.01,0.0
22,2,0.06,0.0
22,3,0.05,0.01
22,4,0.08,0.03
22,5,0.1,0.04
23,0,0.02,0.0
23,1,0.09,0.01
23,2,0.22,0.05
23,3,0.21,0.08
23,4,0.25,0.15
23,5,0.26,0.18
24,0,0.03,0.0
24,1,0.11,0.01
24,2,0.15,0.03
24,3,0.13,0.07
24,4,0.2,0.11
24,5,0.28,0.14
25,0,0.18,0.0
25,1,0.29,0.08
25,2,0.25,0.14
25,3,0.29,0.15
25,4,0.33,0.2
25,5,0.29,0.25
26,0,0.02,0.0
26,1,0.1,0.02
26,2,0.12,0.04
26,3,0.14,0.07
26,4,0.22,0.12
26,5,0.26,0.19
27,0,0.07,0.0
27,1,0.27,0.02
27,2,0.25,0.09
27,3,0.27,0.18
27,4,0.31,0.21
27,5,0.31,0.24
28,0,0.06,0.0
28,1,0.16,0.01
28,2,0.2,0.04
28,3,0.07,0.05
28,4,0.26,0.08
28,5,0.25,0.13
29,0,0.16,0.01
29,1,0.27,0.1
29,2,0.26,0.15
29,3,0.32,0.17
29,4,0.33,0.21
29,5,0.35,0.25
30,0,0.13,0.01
30,1,0.12,0.02
30,2,0.12,0.05
30,3,0.11,0.07
30,4,0.12,0.08
30,5,0.17,0.08
