replicate,rank,top-100 model,top-100 acquired
1,0,0.12,0.0
1,1,0.04,0.04
1,2,0.18,0.04
1,3,0.13,0.06
1,4,0.18,0.07
1,5,0.23,0.12
2,0,0.13,0.0
2,1,0.16,0.03
2,2,0.2,0.07
2,3,0.23,0.15
2,4,0.29,0.2
2,5,0.3,0.24
3,0,0.04,0.0
3,1,0.04,0.01
3,2,0.1,0.01
3,3,0.17,0.06
3,4,0.3,0.12
3,5,0.3,0.18
4,0,0.2,0.01
4,1,0.19,0.06
4,2,0.19,0.12
4,3,0.21,0.13
4,4,0.26,0.16
4,5,0.25,0.19
5,0,0.06,0.0
5,1,0.2,0.01
5,2,0.17,0.06
5,3,0.2,0.12
5,4,0.21,0.15
5,5,0.3,0.17
6,0,0.23,0.0
6,1,0.24,0.06
6,2,0.24,0.12
6,3,0.21,0.16
6,4,0.28,0.17
6,5,0.24,0.21
7,0,0.14,0.0
7,1,0.21,0.05
7,2,0.28,0.11
7,3,0.28,0.16
7,4,0.3,0.2
7,5,0.32,0.24
8,0,0.1,0.0
8,1,0.2,0.02
8,2,0.2,0.08
8,3,0.23,0.14
8,4,0.25,0.16
8,5,0.27,0.18
9,0,0.21,0.01
9,1,0.23,0.09
9,2,0.24,0.14
9,3,0.23,0.18
9,4,0.31,0.21
9,5,0.34,0.26
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.01,0.0
10,3,0.01,0.0
10,4,0.04,0.0
10,5,0.08,0.02
11,0,0.04,0.0
11,1,0.11,0.0
11,2,0.16,0.0
11,3,0.21,0.08
11,4,0.26,0.13
11,5,0.28,0.19
12,0,0.02,0.0
12,1,0.1,0.0
12,2,0.18,0.03
12,3,0.22,0.07
12,4,0.25,0.13
12,5,0.24,0.17
13,0,0.26,0.0
13,1,0.18,0.07
13,2,0.23,0.1
13,3,0.18,0.15
13,4,0.24,0.18
13,5,0.25,0.19
14,0,0.15,0.0
14,1,0.23,0.05
14,2,0.28,0.1
14,3,0.23,0.12
14,4,0.22,0.17
14,5,0.25,0.21
15,0,0.02,0.0
15,1,0.17,0.0
15,2,0.1,0.02
15,3,0.19,0.05
15,4,0.18,0.12
15,5,0.24,0.15
16,0,0.14,0.0
16,1,0.24,0.03
16,2,0.24,0.08
16,3,0.25,0.11
16,4,0.22,0.15
16,5,0.23,0.19
17,0,0.04,0.01
17,1,0.11,0.02
17,2,0.13,0.09
17,3,0.18,0.1
17,4,0.23,0.14
17,5,0.2,0.2
18,0,0.13,0.01
18,1,0.15,0.06
18,2,0.18,0.07
18,3,0.2,0.1
18,4,0.22,0.16
18,5,0.23,0.2
19,0,0.12,0.0
19,1,0.13,0.01
19,2,0.15,0.05
19,3,0.21,0.12
19,4,0.25,0.14
19,5,0.24,0.18
20,0,0.04,0.0
20,1,0.09,0.01
20,2,0.08,0.04
20,3,0.11,0.04
20,4,0.15,0.08
20,5,0.24,0.12
21,0,0.0,0.0
21,1,0.15,0.0
21,2,0.15,0.05
21,3,0.23,0.08
21,4,0.25,0.14
21,5,0.25,0.17
22,0,0.03,0.0
22,1,0.21,0.02
22,2,0.15,0.04
22,3,0.29,0.1
22,4,0.26,0.15
22,5,0.22,0.19
23,0,0.07,0.0
23,1,0.13,0.03
23,2,0.2,0.08
23,3,0.26,0.13
23,4,0.24,0.15
23,5,0.24,0.19
24,0,0.01,0.0
24,1,0.0,0.0
24,2,0.02,0.0
24,3,0.09,0.01
24,4,0.21,0.07
24,5,0.22,0.11
25,0,0.22,0.0
25,1,0.2,0.06
25,2,0.2,0.1
25,3,0.24,0.14
25,4,0.23,0.17
25,5,0.23,0.21
26,0,0.04,0.0
26,1,0.16,0.01
26,2,0.25,0.05
26,3,0.22,0.09
26,4,0.26,0.13
26,5,0.28,0.18
27,0,0.23,0.0
27,1,0.23,0.08
27,2,0.22,0.12
27,3,0.24,0.16
27,4,0.28,0.18
27,5,0.28,0.23
28,0,0.17,0.0
28,1,0.23,0.03
28,2,0.26,0.09
28,3,0.26,0.14
28,4,0.28,0.21
28,5,0.3,0.23
29,0,0.21,0.01
29,1,0.17,0.05
29,2,0.25,0.1
29,3,0.2,0.15
29,4,0.27,0.17
29,5,0.28,0.23
30,0,0.23,0.01
30,1,0.19,0.06
30,2,0.16,0.1
30,3,0.2,0.11
30,4,0.22,0.15
30,5,0.3,0.17
