replicate,rank,top-100 model,top-100 acquired
1,0,0.04,0.0
1,1,0.25,0.02
1,2,0.1,0.04
1,3,0.11,0.06
1,4,0.17,0.07
1,5,0.25,0.11
2,0,0.05,0.0
2,1,0.07,0.01
2,2,0.18,0.03
2,3,0.19,0.06
2,4,0.22,0.11
2,5,0.24,0.15
3,0,0.01,0.0
3,1,0.05,0.0
3,2,0.19,0.01
3,3,0.1,0.06
3,4,0.26,0.07
3,5,0.24,0.13
4,0,0.05,0.01
4,1,0.03,0.01
4,2,0.14,0.02
4,3,0.12,0.03
4,4,0.24,0.09
4,5,0.29,0.13
5,0,0.04,0.0
5,1,0.12,0.02
5,2,0.27,0.08
5,3,0.28,0.16
5,4,0.31,0.21
5,5,0.33,0.24
6,0,0.05,0.0
6,1,0.03,0.0
6,2,0.13,0.01
6,3,0.25,0.07
6,4,0.26,0.14
6,5,0.28,0.17
7,0,0.06,0.0
7,1,0.12,0.03
7,2,0.21,0.05
7,3,0.19,0.11
7,4,0.27,0.15
7,5,0.28,0.19
8,0,0.0,0.0
8,1,0.13,0.0
8,2,0.26,0.03
8,3,0.22,0.11
8,4,0.21,0.14
8,5,0.23,0.17
9,0,0.08,0.01
9,1,0.2,0.04
9,2,0.23,0.08
9,3,0.17,0.1
9,4,0.17,0.14
9,5,0.22,0.15
10,0,0.0,0.0
10,1,0.03,0.0
10,2,0.06,0.01
10,3,0.14,0.03
10,4,0.2,0.07
10,5,0.23,0.12
11,0,0.0,0.0
11,1,0.05,0.0
11,2,0.04,0.02
11,3,0.15,0.03
11,4,0.14,0.05
11,5,0.18,0.08
12,0,0.06,0.0
12,1,0.13,0.03
12,2,0.22,0.04
12,3,0.28,0.11
12,4,0.2,0.17
12,5,0.27,0.17
13,0,0.1,0.0
13,1,0.17,0.03
13,2,0.14,0.06
13,3,0.18,0.1
13,4,0.18,0.11
13,5,0.18,0.15
14,0,0.08,0.0
14,1,0.14,0.01
14,2,0.21,0.06
14,3,0.23,0.1
14,4,0.31,0.15
14,5,0.33,0.23
15,0,0.01,0.0
15,1,0.02,0.0
15,2,0.19,0.0
15,3,0.17,0.03
15,4,0.18,0.08
15,5,0.24,0.13
16,0,0.06,0.0
16,1,0.14,0.04
16,2,0.17,0.05
16,3,0.28,0.08
16,4,0.27,0.15
16,5,0.27,0.2
17,0,0.14,0.01
17,1,0.1,0.04
17,2,0.12,0.05
17,3,0.18,0.07
17,4,0.2,0.09
17,5,0.22,0.14
18,0,0.06,0.01
18,1,0.13,0.02
18,2,0.25,0.05
18,3,0.26,0.14
18,4,0.28,0.17
18,5,0.26,0.19
19,0,0.01,0.0
19,1,0.01,0.0
19,2,0.03,0.0
19,3,0.15,0.02
19,4,0.17,0.06
19,5,0.19,0.09
20,0,0.05,0.0
20,1,0.05,0.01
20,2,0.09,0.03
20,3,0.09,0.03
20,4,0.22,0.06
20,5,0.2,0.14
21,0,0.01,0.0
21,1,0.03,0.0
21,2,0.1,0.02
21,3,0.11,0.04
21,4,0.21,0.06
21,5,0.25,0.12
22,0,0.02,0.0
22,1,0.19,0.0
22,2,0.19,0.03
22,3,0.23,0.04
22,4,0.28,0.13
22,5,0.3,0.17
23,0,0.02,0.0
23,1,0.07,0.0
23,2,0.16,0.02
23,3,0.23,0.06
23,4,0.27,0.14
23,5,0.31,0.21
24,0,0.03,0.0
24,1,0.06,0.01
24,2,0.09,0.04
24,3,0.16,0.07
24,4,0.21,0.1
24,5,0.24,0.14
25,0,0.08,0.0
25,1,0.13,0.0
25,2,0.21,0.04
25,3,0.22,0.07
25,4,0.27,0.11
25,5,0.26,0.17
26,0,0.02,0.0
26,1,0.08,0.01
26,2,0.2,0.03
26,3,0.23,0.08
26,4,0.21,0.14
26,5,0.31,0.17
27,0,0.08,0.0
27,1,0.25,0.02
27,2,0.18,0.08
27,3,0.22,0.13
27,4,0.25,0.18
27,5,0.24,0.22
28,0,0.03,0.0
28,1,0.17,0.01
28,2,0.17,0.07
28,3,0.28,0.13
28,4,0.29,0.19
28,5,0.33,0.23
29,0,0.2,0.01
29,1,0.26,0.07
29,2,0.18,0.1
29,3,0.22,0.12
29,4,0.24,0.15
29,5,0.3,0.19
30,0,0.08,0.01
30,1,0.19,0.03
30,2,0.16,0.06
30,3,0.22,0.07
30,4,0.21,0.09
30,5,0.22,0.16
