replicate,rank,top-100 model,top-100 acquired
1,0,0.03,0.0
1,1,0.18,0.01
1,2,0.23,0.06
1,3,0.26,0.13
1,4,0.25,0.18
1,5,0.31,0.21
2,0,0.16,0.0
2,1,0.2,0.06
2,2,0.25,0.13
2,3,0.22,0.15
2,4,0.2,0.15
2,5,0.19,0.16
3,0,0.03,0.0
3,1,0.0,0.0
3,2,0.18,0.0
3,3,0.21,0.06
3,4,0.19,0.12
3,5,0.25,0.14
4,0,0.2,0.01
4,1,0.22,0.08
4,2,0.18,0.14
4,3,0.29,0.16
4,4,0.32,0.2
4,5,0.31,0.22
5,0,0.01,0.0
5,1,0.06,0.0
5,2,0.04,0.01
5,3,0.11,0.02
5,4,0.14,0.05
5,5,0.22,0.08
6,0,0.07,0.0
6,1,0.14,0.03
6,2,0.14,0.06
6,3,0.22,0.09
6,4,0.25,0.14
6,5,0.32,0.21
7,0,0.14,0.0
7,1,0.04,0.02
7,2,0.23,0.04
7,3,0.26,0.12
7,4,0.28,0.15
7,5,0.3,0.22
8,0,0.09,0.0
8,1,0.16,0.02
8,2,0.18,0.05
8,3,0.17,0.1
8,4,0.21,0.1
8,5,0.21,0.14
9,0,0.11,0.01
9,1,0.26,0.04
9,2,0.18,0.07
9,3,0.26,0.1
9,4,0.25,0.14
9,5,0.28,0.21
10,0,0.0,0.0
10,1,0.07,0.0
10,2,0.17,0.03
10,3,0.17,0.09
10,4,0.17,0.12
10,5,0.19,0.13
11,0,0.01,0.0
11,1,0.15,0.01
11,2,0.17,0.04
11,3,0.25,0.09
11,4,0.31,0.17
11,5,0.26,0.2
12,0,0.05,0.0
12,1,0.17,0.0
12,2,0.21,0.05
12,3,0.2,0.12
12,4,0.25,0.15
12,5,0.27,0.19
13,0,0.03,0.0
13,1,0.25,0.0
13,2,0.22,0.05
13,3,0.27,0.08
13,4,0.25,0.16
13,5,0.29,0.2
14,0,0.02,0.0
14,1,0.22,0.01
14,2,0.16,0.07
14,3,0.21,0.08
14,4,0.2,0.11
14,5,0.25,0.12
15,0,0.01,0.0
15,1,0.03,0.0
15,2,0.18,0.03
15,3,0.21,0.08
15,4,0.25,0.13
15,5,0.28,0.17
16,0,0.04,0.0
16,1,0.13,0.01
16,2,0.18,0.02
16,3,0.21,0.06
16,4,0.21,0.09
16,5,0.29,0.15
17,0,0.13,0.01
17,1,0.24,0.05
17,2,0.23,0.09
17,3,0.22,0.1
17,4,0.25,0.13
17,5,0.29,0.16
18,0,0.05,0.01
18,1,0.22,0.04
18,2,0.21,0.09
18,3,0.23,0.13
18,4,0.27,0.18
18,5,0.29,0.23
19,0,0.1,0.0
19,1,0.27,0.04
19,2,0.16,0.09
19,3,0.3,0.09
19,4,0.26,0.18
19,5,0.31,0.2
20,0,0.08,0.0
20,1,0.09,0.03
20,2,0.2,0.03
20,3,0.22,0.09
20,4,0.25,0.12
20,5,0.24,0.16
21,0,0.0,0.0
21,1,0.19,0.0
21,2,0.22,0.06
21,3,0.21,0.1
21,4,0.21,0.14
21,5,0.25,0.16
22,0,0.05,0.0
22,1,0.12,0.01
22,2,0.25,0.07
22,3,0.28,0.1
22,4,0.28,0.15
22,5,0.26,0.2
23,0,0.04,0.0
23,1,0.04,0.0
23,2,0.1,0.02
23,3,0.15,0.06
23,4,0.17,0.08
23,5,0.18,0.09
24,0,0.0,0.0
24,1,0.05,0.0
24,2,0.05,0.01
24,3,0.25,0.03
24,4,0.27,0.07
24,5,0.27,0.15
25,0,0.2,0.0
25,1,0.27,0.07
25,2,0.24,0.11
25,3,0.26,0.15
25,4,0.23,0.18
25,5,0.25,0.2
26,0,0.04,0.0
26,1,0.16,0.01
26,2,0.21,0.04
26,3,0.27,0.11
26,4,0.26,0.19
26,5,0.25,0.24
27,0,0.2,0.0
27,1,0.14,0.06
27,2,0.18,0.08
27,3,0.17,0.11
27,4,0.19,0.13
27,5,0.26,0.17
28,0,0.0,0.0
28,1,0.05,0.0
28,2,0.11,0.01
28,3,0.2,0.02
28,4,0.24,0.07
28,5,0.26,0.1
29,0,0.15,0.01
29,1,0.1,0.03
29,2,0.22,0.06
29,3,0.21,0.1
29,4,0.28,0.14
29,5,0.28,0.18
30,0,0.08,0.01
30,1,0.03,0.03
30,2,0.14,0.03
30,3,0.12,0.03
30,4,0.18,0.05
30,5,0.15,0.07
