replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.05,0.02
1,2,0.13,0.03
1,3,0.17,0.07
1,4,0.19,0.1
1,5,0.27,0.14
2,0,0.02,0.0
2,1,0.07,0.01
2,2,0.09,0.04
2,3,0.04,0.04
2,4,0.15,0.05
2,5,0.11,0.09
3,0,0.06,0.0
3,1,0.16,0.0
3,2,0.23,0.05
3,3,0.25,0.12
3,4,0.23,0.2
3,5,0.25,0.2
4,0,0.06,0.01
4,1,0.1,0.01
4,2,0.08,0.03
4,3,0.17,0.05
4,4,0.17,0.11
4,5,0.19,0.13
5,0,0.03,0.0
5,1,0.12,0.01
5,2,0.09,0.03
5,3,0.12,0.05
5,4,0.13,0.09
5,5,0.16,0.11
6,0,0.16,0.0
6,1,0.12,0.04
6,2,0.09,0.06
6,3,0.14,0.07
6,4,0.2,0.09
6,5,0.22,0.15
7,0,0.13,0.0
7,1,0.0,0.05
7,2,0.08,0.05
7,3,0.06,0.05
7,4,0.08,0.05
7,5,0.11,0.05
8,0,0.06,0.0
8,1,0.03,0.03
8,2,0.06,0.03
8,3,0.08,0.04
8,4,0.08,0.05
8,5,0.09,0.05
9,0,0.13,0.01
9,1,0.02,0.05
9,2,0.09,0.05
9,3,0.15,0.06
9,4,0.12,0.09
9,5,0.15,0.11
10,0,0.0,0.0
10,1,0.05,0.0
10,2,0.16,0.01
10,3,0.21,0.07
10,4,0.2,0.14
10,5,0.24,0.17
11,0,0.02,0.0
11,1,0.1,0.0
11,2,0.02,0.0
11,3,0.09,0.0
11,4,0.14,0.02
11,5,0.12,0.06
12,0,0.04,0.0
12,1,0.16,0.02
12,2,0.18,0.08
12,3,0.16,0.12
12,4,0.22,0.13
12,5,0.25,0.17
13,0,0.05,0.0
13,1,0.14,0.01
13,2,0.04,0.06
13,3,0.18,0.08
13,4,0.18,0.11
13,5,0.18,0.14
14,0,0.12,0.0
14,1,0.03,0.03
14,2,0.06,0.03
14,3,0.08,0.07
14,4,0.11,0.08
14,5,0.13,0.09
15,0,0.02,0.0
15,1,0.02,0.0
15,2,0.09,0.0
15,3,0.09,0.03
15,4,0.17,0.05
15,5,0.13,0.09
16,0,0.04,0.0
16,1,0.14,0.02
16,2,0.15,0.07
16,3,0.2,0.09
16,4,0.18,0.11
16,5,0.1,0.11
17,0,0.12,0.01
17,1,0.08,0.04
17,2,0.09,0.07
17,3,0.17,0.08
17,4,0.2,0.09
17,5,0.22,0.14
18,0,0.06,0.01
18,1,0.07,0.02
18,2,0.11,0.03
18,3,0.16,0.06
18,4,0.16,0.1
18,5,0.18,0.1
19,0,0.05,0.0
19,1,0.07,0.01
19,2,0.22,0.03
19,3,0.24,0.1
19,4,0.28,0.14
19,5,0.28,0.17
20,0,0.09,0.0
20,1,0.08,0.04
20,2,0.06,0.05
20,3,0.14,0.06
20,4,0.14,0.09
20,5,0.18,0.11
21,0,0.0,0.0
21,1,0.11,0.0
21,2,0.18,0.03
21,3,0.15,0.06
21,4,0.2,0.09
21,5,0.21,0.14
22,0,0.01,0.0
22,1,0.08,0.0
22,2,0.11,0.02
22,3,0.18,0.05
22,4,0.14,0.09
22,5,0.24,0.12
23,0,0.06,0.0
23,1,0.14,0.02
23,2,0.1,0.06
23,3,0.16,0.07
23,4,0.23,0.1
23,5,0.21,0.14
24,0,0.0,0.0
24,1,0.02,0.0
24,2,0.1,0.01
24,3,0.08,0.05
24,4,0.11,0.07
24,5,0.16,0.08
25,0,0.15,0.0
25,1,0.23,0.06
25,2,0.09,0.07
25,3,0.17,0.1
25,4,0.21,0.12
25,5,0.18,0.14
26,0,0.06,0.0
26,1,0.1,0.01
26,2,0.22,0.03
26,3,0.15,0.08
26,4,0.2,0.1
26,5,0.24,0.15
27,0,0.04,0.0
27,1,0.1,0.0
27,2,0.11,0.02
27,3,0.13,0.05
27,4,0.16,0.08
27,5,0.22,0.13
28,0,0.07,0.0
28,1,0.09,0.01
28,2,0.16,0.04
28,3,0.24,0.07
28,4,0.28,0.13
28,5,0.26,0.18
29,0,0.19,0.01
29,1,0.2,0.09
29,2,0.23,0.12
29,3,0.24,0.15
29,4,0.25,0.16
29,5,0.27,0.23
30,0,0.14,0.01
30,1,0.14,0.05
30,2,0.07,0.07
30,3,0.15,0.09
30,4,0.16,0.11
30,5,0.19,0.13
