replicate,rank,top-100 model,top-100 acquired
1,0,0.0,0.0
1,1,0.24,0.0
1,2,0.18,0.07
1,3,0.06,0.11
1,4,0.06,0.12
1,5,0.0,0.13
2,0,0.0,0.0
2,1,0.24,0.0
2,2,0.18,0.07
2,3,0.16,0.11
2,4,0.04,0.12
2,5,0.04,0.13
3,0,0.0,0.0
3,1,0.11,0.0
3,2,0.17,0.07
3,3,0.07,0.11
3,4,0.25,0.14
3,5,0.25,0.18
4,0,0.0,0.01
4,1,0.09,0.01
4,2,0.17,0.08
4,3,0.07,0.12
4,4,0.1,0.13
4,5,0.25,0.16
5,0,0.01,0.0
5,1,0.24,0.0
5,2,0.18,0.07
5,3,0.09,0.11
5,4,0.02,0.12
5,5,0.18,0.12
6,0,0.0,0.0
6,1,0.19,0.0
6,2,0.17,0.07
6,3,0.23,0.11
6,4,0.04,0.15
6,5,0.02,0.18
7,0,0.0,0.0
7,1,0.24,0.0
7,2,0.18,0.07
7,3,0.11,0.11
7,4,0.11,0.13
7,5,0.09,0.19
8,0,0.0,0.0
8,1,0.13,0.0
8,2,0.17,0.08
8,3,0.08,0.13
8,4,0.03,0.15
8,5,0.18,0.15
9,0,0.0,0.01
9,1,0.16,0.01
9,2,0.14,0.08
9,3,0.11,0.13
9,4,0.04,0.19
9,5,0.03,0.2
10,0,0.01,0.0
10,1,0.23,0.0
10,2,0.2,0.07
10,3,0.06,0.11
10,4,0.11,0.13
10,5,0.02,0.16
11,0,0.0,0.0
11,1,0.24,0.0
11,2,0.19,0.07
11,3,0.06,0.11
11,4,0.17,0.13
11,5,0.01,0.17
12,0,0.0,0.0
12,1,0.01,0.0
12,2,0.07,0.0
12,3,0.2,0.07
12,4,0.23,0.11
12,5,0.16,0.15
13,0,0.01,0.0
13,1,0.23,0.01
13,2,0.19,0.08
13,3,0.09,0.12
13,4,0.24,0.14
13,5,0.04,0.2
14,0,0.0,0.0
14,1,0.0,0.0
14,2,0.07,0.0
14,3,0.18,0.06
14,4,0.08,0.1
14,5,0.18,0.14
15,0,0.0,0.0
15,1,0.03,0.0
15,2,0.06,0.0
15,3,0.04,0.0
15,4,0.13,0.03
15,5,0.0,0.08
16,0,0.0,0.0
16,1,0.07,0.0
16,2,0.12,0.02
16,3,0.2,0.05
16,4,0.18,0.08
16,5,0.23,0.13
17,0,0.0,0.01
17,1,0.03,0.01
17,2,0.14,0.01
17,3,0.2,0.08
17,4,0.04,0.12
17,5,0.24,0.14
18,0,0.0,0.01
18,1,0.0,0.01
18,2,0.01,0.01
18,3,0.03,0.01
18,4,0.19,0.01
18,5,0.17,0.08
19,0,0.0,0.0
19,1,0.21,0.0
19,2,0.18,0.07
19,3,0.08,0.11
19,4,0.14,0.13
19,5,0.03,0.17
20,0,0.0,0.0
20,1,0.24,0.0
20,2,0.18,0.07
20,3,0.07,0.11
20,4,0.22,0.13
20,5,0.03,0.16
21,0,0.0,0.0
21,1,0.02,0.0
21,2,0.04,0.0
21,3,0.21,0.01
21,4,0.12,0.08
21,5,0.24,0.13
22,0,0.0,0.0
22,1,0.18,0.0
22,2,0.2,0.07
22,3,0.06,0.11
22,4,0.17,0.13
22,5,0.18,0.18
23,0,0.0,0.0
23,1,0.24,0.0
23,2,0.19,0.07
23,3,0.07,0.11
23,4,0.03,0.13
23,5,0.03,0.14
24,0,0.0,0.0
24,1,0.24,0.0
24,2,0.18,0.07
24,3,0.08,0.11
24,4,0.13,0.13
24,5,0.04,0.16
25,0,0.0,0.0
25,1,0.24,0.0
25,2,0.2,0.07
25,3,0.14,0.11
25,4,0.0,0.13
25,5,0.03,0.13
26,0,0.24,0.0
26,1,0.17,0.07
26,2,0.07,0.12
26,3,0.04,0.17
26,4,0.23,0.18
26,5,0.0,0.2
27,0,0.0,0.0
27,1,0.24,0.0
27,2,0.18,0.07
27,3,0.07,0.11
27,4,0.06,0.13
27,5,0.04,0.16
28,0,0.0,0.0
28,1,0.16,0.0
28,2,0.2,0.07
28,3,0.09,0.11
28,4,0.21,0.12
28,5,0.0,0.18
29,0,0.0,0.01
29,1,0.11,0.01
29,2,0.02,0.06
29,3,0.01,0.06
29,4,0.01,0.07
29,5,0.2,0.07
30,0,0.0,0.01
30,1,0.05,0.01
30,2,0.16,0.03
30,3,0.17,0.08
30,4,0.08,0.11
30,5,0.0,0.13
