replicate,rank,top-100 model,top-100 acquired
1,0,0.06,0.0
1,1,0.06,0.0
1,2,0.12,0.02
1,3,0.13,0.05
1,4,0.1,0.08
1,5,0.23,0.09
2,0,0.02,0.0
2,1,0.07,0.0
2,2,0.16,0.03
2,3,0.16,0.08
2,4,0.14,0.11
2,5,0.22,0.12
3,0,0.02,0.0
3,1,0.15,0.0
3,2,0.23,0.05
3,3,0.24,0.1
3,4,0.21,0.17
3,5,0.23,0.18
4,0,0.12,0.01
4,1,0.11,0.04
4,2,0.08,0.05
4,3,0.17,0.06
4,4,0.18,0.11
4,5,0.32,0.14
5,0,0.0,0.0
5,1,0.08,0.0
5,2,0.09,0.02
5,3,0.15,0.03
5,4,0.2,0.09
5,5,0.24,0.14
6,0,0.05,0.0
6,1,0.15,0.01
6,2,0.11,0.06
6,3,0.14,0.07
6,4,0.28,0.1
6,5,0.25,0.17
7,0,0.01,0.0
7,1,0.08,0.0
7,2,0.08,0.02
7,3,0.16,0.03
7,4,0.21,0.06
7,5,0.25,0.12
8,0,0.03,0.0
8,1,0.06,0.0
8,2,0.1,0.02
8,3,0.1,0.07
8,4,0.16,0.08
8,5,0.21,0.1
9,0,0.01,0.01
9,1,0.03,0.01
9,2,0.09,0.02
9,3,0.18,0.04
9,4,0.21,0.07
9,5,0.15,0.1
10,0,0.02,0.0
10,1,0.02,0.0
10,2,0.1,0.01
10,3,0.2,0.04
10,4,0.28,0.11
10,5,0.26,0.13
11,0,0.02,0.0
11,1,0.02,0.01
11,2,0.12,0.01
11,3,0.26,0.04
11,4,0.28,0.15
11,5,0.24,0.18
12,0,0.01,0.0
12,1,0.03,0.0
12,2,0.18,0.0
12,3,0.22,0.04
12,4,0.27,0.08
12,5,0.3,0.18
13,0,0.07,0.0
13,1,0.1,0.05
13,2,0.14,0.08
13,3,0.17,0.1
13,4,0.24,0.12
13,5,0.24,0.15
14,0,0.02,0.0
14,1,0.06,0.0
14,2,0.15,0.04
14,3,0.13,0.08
14,4,0.14,0.09
14,5,0.17,0.11
15,0,0.11,0.0
15,1,0.07,0.04
15,2,0.15,0.04
15,3,0.17,0.1
15,4,0.2,0.12
15,5,0.28,0.15
16,0,0.01,0.0
16,1,0.08,0.0
16,2,0.05,0.02
16,3,0.05,0.03
16,4,0.13,0.03
16,5,0.21,0.05
17,0,0.07,0.01
17,1,0.09,0.05
17,2,0.25,0.06
17,3,0.26,0.11
17,4,0.23,0.14
17,5,0.27,0.17
18,0,0.02,0.01
18,1,0.12,0.01
18,2,0.2,0.06
18,3,0.18,0.09
18,4,0.23,0.14
18,5,0.27,0.18
19,0,0.02,0.0
19,1,0.04,0.0
19,2,0.07,0.02
19,3,0.18,0.04
19,4,0.23,0.08
19,5,0.19,0.16
20,0,0.04,0.0
20,1,0.02,0.0
20,2,0.05,0.0
20,3,0.12,0.02
20,4,0.15,0.06
20,5,0.14,0.1
21,0,0.0,0.0
21,1,0.17,0.0
21,2,0.21,0.02
21,3,0.23,0.09
21,4,0.24,0.12
21,5,0.26,0.15
22,0,0.07,0.0
22,1,0.08,0.0
22,2,0.09,0.01
22,3,0.12,0.02
22,4,0.17,0.05
22,5,0.22,0.08
23,0,0.05,0.0
23,1,0.02,0.0
23,2,0.03,0.0
23,3,0.05,0.01
23,4,0.13,0.04
23,5,0.18,0.05
24,0,0.02,0.0
24,1,0.02,0.01
24,2,0.15,0.01
24,3,0.22,0.03
24,4,0.31,0.1
24,5,0.27,0.15
25,0,0.11,0.0
25,1,0.11,0.02
25,2,0.11,0.05
25,3,0.1,0.07
25,4,0.14,0.08
25,5,0.18,0.09
26,0,0.01,0.0
26,1,0.02,0.0
26,2,0.05,0.0
26,3,0.18,0.01
26,4,0.17,0.05
26,5,0.19,0.07
27,0,0.02,0.0
27,1,0.1,0.01
27,2,0.23,0.06
27,3,0.13,0.08
27,4,0.28,0.1
27,5,0.23,0.19
28,0,0.04,0.0
28,1,0.17,0.01
28,2,0.12,0.06
28,3,0.25,0.09
28,4,0.14,0.16
28,5,0.25,0.16
29,0,0.12,0.01
29,1,0.22,0.06
29,2,0.19,0.1
29,3,0.2,0.13
29,4,0.05,0.15
29,5,0.22,0.16
30,0,0.02,0.01
30,1,0.15,0.02
30,2,0.15,0.06
30,3,0.14,0.08
30,4,0.14,0.09
30,5,0.13,0.1
