replicate,rank,top-100 model,top-100 acquired
1,0,0.02,0.0
1,1,0.07,0.0
1,2,0.06,0.01
1,3,0.04,0.02
1,4,0.07,0.02
1,5,0.06,0.04
2,0,0.11,0.0
2,1,0.22,0.06
2,2,0.17,0.12
2,3,0.26,0.12
2,4,0.25,0.15
2,5,0.31,0.18
3,0,0.02,0.0
3,1,0.08,0.01
3,2,0.11,0.02
3,3,0.07,0.03
3,4,0.08,0.03
3,5,0.1,0.06
4,0,0.12,0.01
4,1,0.13,0.04
4,2,0.09,0.07
4,3,0.19,0.07
4,4,0.22,0.08
4,5,0.24,0.11
5,0,0.0,0.0
5,1,0.13,0.0
5,2,0.19,0.02
5,3,0.26,0.09
5,4,0.23,0.12
5,5,0.26,0.15
6,0,0.19,0.0
6,1,0.12,0.07
6,2,0.24,0.1
6,3,0.25,0.14
6,4,0.26,0.16
6,5,0.12,0.17
7,0,0.02,0.0
7,1,0.06,0.01
7,2,0.25,0.03
7,3,0.22,0.08
7,4,0.2,0.12
7,5,0.21,0.14
8,0,0.17,0.0
8,1,0.25,0.06
8,2,0.21,0.1
8,3,0.2,0.14
8,4,0.23,0.16
8,5,0.27,0.19
9,0,0.07,0.01
9,1,0.18,0.03
9,2,0.15,0.05
9,3,0.14,0.08
9,4,0.28,0.11
9,5,0.27,0.16
10,0,0.01,0.0
10,1,0.04,0.0
10,2,0.03,0.0
10,3,0.08,0.01
10,4,0.13,0.03
10,5,0.18,0.04
11,0,0.02,0.0
11,1,0.14,0.02
11,2,0.26,0.05
11,3,0.2,0.1
11,4,0.24,0.15
11,5,0.34,0.22
12,0,0.04,0.0
12,1,0.18,0.01
12,2,0.16,0.08
12,3,0.13,0.1
12,4,0.24,0.13
12,5,0.32,0.18
13,0,0.15,0.0
13,1,0.14,0.05
13,2,0.13,0.08
13,3,0.18,0.1
13,4,0.33,0.15
13,5,0.13,0.23
14,0,0.11,0.0
14,1,0.03,0.0
14,2,0.1,0.03
14,3,0.18,0.04
14,4,0.16,0.08
14,5,0.2,0.11
15,0,0.03,0.0
15,1,0.09,0.0
15,2,0.23,0.01
15,3,0.25,0.09
15,4,0.25,0.13
15,5,0.25,0.15
16,0,0.05,0.0
16,1,0.16,0.04
16,2,0.1,0.08
16,3,0.14,0.09
16,4,0.23,0.11
16,5,0.16,0.12
17,0,0.17,0.01
17,1,0.14,0.05
17,2,0.23,0.06
17,3,0.27,0.12
17,4,0.24,0.15
17,5,0.24,0.17
18,0,0.03,0.01
18,1,0.08,0.02
18,2,0.19,0.04
18,3,0.2,0.09
18,4,0.22,0.15
18,5,0.23,0.17
19,0,0.09,0.0
19,1,0.07,0.0
19,2,0.13,0.06
19,3,0.18,0.1
19,4,0.27,0.11
19,5,0.27,0.16
20,0,0.19,0.0
20,1,0.01,0.02
20,2,0.09,0.02
20,3,0.23,0.06
20,4,0.21,0.11
20,5,0.29,0.15
21,0,0.0,0.0
21,1,0.21,0.0
21,2,0.17,0.07
21,3,0.24,0.1
21,4,0.21,0.11
21,5,0.28,0.16
22,0,0.0,0.0
22,1,0.06,0.0
22,2,0.1,0.0
22,3,0.23,0.02
22,4,0.24,0.1
22,5,0.27,0.13
23,0,0.02,0.0
23,1,0.2,0.01
23,2,0.06,0.04
23,3,0.09,0.04
23,4,0.14,0.08
23,5,0.28,0.09
24,0,0.0,0.0
24,1,0.01,0.0
24,2,0.02,0.0
24,3,0.04,0.0
24,4,0.08,0.04
24,5,0.05,0.04
25,0,0.22,0.0
25,1,0.19,0.08
25,2,0.16,0.1
25,3,0.15,0.1
25,4,0.14,0.12
25,5,0.16,0.12
26,0,0.14,0.0
26,1,0.2,0.04
26,2,0.21,0.09
26,3,0.2,0.12
26,4,0.24,0.15
26,5,0.27,0.2
27,0,0.17,0.0
27,1,0.14,0.05
27,2,0.14,0.06
27,3,0.23,0.1
27,4,0.27,0.15
27,5,0.25,0.2
28,0,0.03,0.0
28,1,0.04,0.01
28,2,0.16,0.03
28,3,0.22,0.08
28,4,0.22,0.14
28,5,0.21,0.15
29,0,0.1,0.01
29,1,0.16,0.04
29,2,0.22,0.07
29,3,0.24,0.14
29,4,0.14,0.19
29,5,0.25,0.2
30,0,0.18,0.01
30,1,0.12,0.05
30,2,0.22,0.07
30,3,0.27,0.13
30,4,0.29,0.18
30,5,0.33,0.21
