replicate,rank,top-100 model,top-100 acquired
1,0,0.05,0.0
1,1,0.15,0.01
1,2,0.15,0.02
1,3,0.21,0.08
1,4,0.19,0.12
1,5,0.12,0.16
2,0,0.02,0.0
2,1,0.04,0.01
2,2,0.13,0.01
2,3,0.13,0.01
2,4,0.14,0.03
2,5,0.14,0.05
3,0,0.03,0.0
3,1,0.04,0.0
3,2,0.03,0.0
3,3,0.07,0.0
3,4,0.07,0.0
3,5,0.22,0.01
4,0,0.2,0.01
4,1,0.18,0.08
4,2,0.12,0.11
4,3,0.17,0.13
4,4,0.1,0.13
4,5,0.24,0.13
5,0,0.06,0.0
5,1,0.14,0.02
5,2,0.19,0.07
5,3,0.14,0.13
5,4,0.22,0.14
5,5,0.17,0.15
6,0,0.09,0.0
6,1,0.15,0.02
6,2,0.16,0.06
6,3,0.18,0.1
6,4,0.19,0.13
6,5,0.2,0.17
7,0,0.07,0.0
7,1,0.14,0.02
7,2,0.1,0.05
7,3,0.2,0.05
7,4,0.17,0.1
7,5,0.19,0.1
8,0,0.11,0.0
8,1,0.14,0.03
8,2,0.13,0.07
8,3,0.21,0.09
8,4,0.15,0.12
8,5,0.18,0.14
9,0,0.16,0.01
9,1,0.17,0.05
9,2,0.16,0.08
9,3,0.24,0.12
9,4,0.25,0.18
9,5,0.29,0.19
10,0,0.0,0.0
10,1,0.0,0.0
10,2,0.03,0.0
10,3,0.01,0.0
10,4,0.13,0.0
10,5,0.16,0.03
11,0,0.03,0.0
11,1,0.08,0.0
11,2,0.09,0.04
11,3,0.17,0.05
11,4,0.19,0.09
11,5,0.19,0.11
12,0,0.0,0.0
12,1,0.09,0.0
12,2,0.13,0.03
12,3,0.11,0.08
12,4,0.16,0.08
12,5,0.23,0.11
13,0,0.06,0.0
13,1,0.12,0.01
13,2,0.18,0.03
13,3,0.21,0.08
13,4,0.18,0.14
13,5,0.24,0.16
14,0,0.02,0.0
14,1,0.06,0.0
14,2,0.05,0.0
14,3,0.09,0.0
14,4,0.08,0.01
14,5,0.11,0.06
15,0,0.0,0.0
15,1,0.17,0.0
15,2,0.22,0.06
15,3,0.24,0.12
15,4,0.28,0.15
15,5,0.26,0.17
16,0,0.1,0.0
16,1,0.16,0.02
16,2,0.25,0.09
16,3,0.26,0.14
16,4,0.26,0.16
16,5,0.22,0.19
17,0,0.05,0.01
17,1,0.18,0.01
17,2,0.18,0.05
17,3,0.21,0.07
17,4,0.19,0.14
17,5,0.18,0.17
18,0,0.09,0.01
18,1,0.18,0.05
18,2,0.16,0.06
18,3,0.26,0.11
18,4,0.21,0.15
18,5,0.21,0.19
19,0,0.1,0.0
19,1,0.09,0.03
19,2,0.28,0.06
19,3,0.17,0.13
19,4,0.26,0.14
19,5,0.21,0.18
20,0,0.03,0.0
20,1,0.01,0.0
20,2,0.02,0.0
20,3,0.06,0.02
20,4,0.1,0.04
20,5,0.11,0.05
21,0,0.0,0.0
21,1,0.04,0.0
21,2,0.09,0.01
21,3,0.17,0.02
21,4,0.15,0.05
21,5,0.12,0.08
22,0,0.05,0.0
22,1,0.09,0.02
22,2,0.21,0.03
22,3,0.16,0.08
22,4,0.18,0.11
22,5,0.18,0.16
23,0,0.04,0.0
23,1,0.1,0.01
23,2,0.13,0.03
23,3,0.2,0.09
23,4,0.2,0.11
23,5,0.17,0.15
24,0,0.0,0.0
24,1,0.0,0.0
24,2,0.03,0.0
24,3,0.06,0.0
24,4,0.1,0.01
24,5,0.09,0.03
25,0,0.19,0.0
25,1,0.12,0.02
25,2,0.14,0.04
25,3,0.22,0.09
25,4,0.24,0.13
25,5,0.12,0.16
26,0,0.07,0.0
26,1,0.22,0.04
26,2,0.2,0.1
26,3,0.14,0.15
26,4,0.19,0.17
26,5,0.29,0.19
27,0,0.18,0.0
27,1,0.03,0.01
27,2,0.08,0.02
27,3,0.15,0.02
27,4,0.18,0.1
27,5,0.25,0.12
28,0,0.09,0.0
28,1,0.06,0.01
28,2,0.13,0.02
28,3,0.11,0.05
28,4,0.15,0.07
28,5,0.24,0.08
29,0,0.19,0.01
29,1,0.17,0.06
29,2,0.13,0.09
29,3,0.23,0.1
29,4,0.18,0.13
29,5,0.19,0.16
30,0,0.19,0.01
30,1,0.16,0.06
30,2,0.18,0.11
30,3,0.19,0.11
30,4,0.18,0.14
30,5,0.26,0.17
