replicate,rank,top-100 model,top-100 acquired
1,0,0.06,0.0
1,1,0.13,0.02
1,2,0.21,0.08
1,3,0.06,0.1
1,4,0.17,0.1
1,5,0.17,0.11
2,0,0.07,0.0
2,1,0.1,0.04
2,2,0.04,0.05
2,3,0.08,0.05
2,4,0.08,0.06
2,5,0.13,0.07
3,0,0.04,0.0
3,1,0.14,0.0
3,2,0.12,0.04
3,3,0.21,0.07
3,4,0.16,0.1
3,5,0.24,0.13
4,0,0.1,0.01
4,1,0.12,0.02
4,2,0.18,0.07
4,3,0.25,0.14
4,4,0.06,0.17
4,5,0.25,0.18
5,0,0.03,0.0
5,1,0.1,0.01
5,2,0.19,0.02
5,3,0.2,0.06
5,4,0.17,0.1
5,5,0.18,0.14
6,0,0.08,0.0
6,1,0.13,0.01
6,2,0.15,0.03
6,3,0.14,0.05
6,4,0.2,0.09
6,5,0.21,0.15
7,0,0.19,0.0
7,1,0.0,0.03
7,2,0.05,0.03
7,3,0.1,0.04
7,4,0.1,0.06
7,5,0.12,0.07
8,0,0.05,0.0
8,1,0.02,0.0
8,2,0.04,0.02
8,3,0.12,0.02
8,4,0.15,0.07
8,5,0.16,0.09
9,0,0.12,0.01
9,1,0.14,0.04
9,2,0.09,0.06
9,3,0.1,0.06
9,4,0.16,0.08
9,5,0.13,0.1
10,0,0.02,0.0
10,1,0.05,0.0
10,2,0.1,0.02
10,3,0.11,0.04
10,4,0.12,0.09
10,5,0.13,0.1
11,0,0.02,0.0
11,1,0.0,0.0
11,2,0.02,0.0
11,3,0.05,0.0
11,4,0.11,0.01
11,5,0.17,0.05
12,0,0.05,0.0
12,1,0.14,0.01
12,2,0.22,0.06
12,3,0.12,0.14
12,4,0.23,0.17
12,5,0.24,0.19
13,0,0.06,0.0
13,1,0.12,0.03
13,2,0.2,0.05
13,3,0.19,0.08
13,4,0.24,0.11
13,5,0.27,0.16
14,0,0.15,0.0
14,1,0.1,0.05
14,2,0.21,0.05
14,3,0.17,0.12
14,4,0.23,0.13
14,5,0.2,0.16
15,0,0.02,0.0
15,1,0.01,0.0
15,2,0.02,0.0
15,3,0.05,0.0
15,4,0.09,0.03
15,5,0.09,0.05
16,0,0.03,0.0
16,1,0.13,0.02
16,2,0.18,0.05
16,3,0.11,0.09
16,4,0.22,0.09
16,5,0.2,0.14
17,0,0.15,0.01
17,1,0.06,0.05
17,2,0.13,0.08
17,3,0.15,0.1
17,4,0.17,0.11
17,5,0.2,0.14
18,0,0.1,0.01
18,1,0.15,0.02
18,2,0.15,0.06
18,3,0.19,0.08
18,4,0.21,0.13
18,5,0.24,0.17
19,0,0.05,0.0
19,1,0.02,0.0
19,2,0.06,0.0
19,3,0.06,0.04
19,4,0.11,0.05
19,5,0.1,0.06
20,0,0.07,0.0
20,1,0.14,0.02
20,2,0.06,0.06
20,3,0.11,0.06
20,4,0.1,0.08
20,5,0.14,0.1
21,0,0.0,0.0
21,1,0.03,0.0
21,2,0.08,0.0
21,3,0.13,0.03
21,4,0.1,0.08
21,5,0.15,0.08
22,0,0.01,0.0
22,1,0.03,0.01
22,2,0.09,0.01
22,3,0.11,0.03
22,4,0.18,0.07
22,5,0.16,0.09
23,0,0.08,0.0
23,1,0.06,0.0
23,2,0.07,0.02
23,3,0.06,0.02
23,4,0.11,0.04
23,5,0.13,0.07
24,0,0.0,0.0
24,1,0.1,0.0
24,2,0.13,0.05
24,3,0.21,0.06
24,4,0.24,0.11
24,5,0.24,0.19
25,0,0.08,0.0
25,1,0.12,0.03
25,2,0.18,0.07
25,3,0.15,0.12
25,4,0.21,0.13
25,5,0.23,0.18
26,0,0.08,0.0
26,1,0.15,0.03
26,2,0.22,0.06
26,3,0.22,0.11
26,4,0.23,0.16
26,5,0.25,0.18
27,0,0.11,0.0
27,1,0.1,0.02
27,2,0.11,0.04
27,3,0.05,0.06
27,4,0.12,0.07
27,5,0.15,0.08
28,0,0.06,0.0
28,1,0.08,0.01
28,2,0.15,0.03
28,3,0.18,0.08
28,4,0.09,0.13
28,5,0.23,0.13
29,0,0.21,0.01
29,1,0.19,0.09
29,2,0.24,0.14
29,3,0.26,0.15
29,4,0.3,0.21
29,5,0.35,0.28
30,0,0.12,0.01
30,1,0.18,0.05
30,2,0.03,0.08
30,3,0.16,0.1
30,4,0.18,0.13
30,5,0.23,0.13
