replicate,rank,top-100 model,top-100 acquired
1,0,0.03,0.0
1,1,0.08,0.01
1,2,0.01,0.01
1,3,0.19,0.01
1,4,0.19,0.06
1,5,0.2,0.1
2,0,0.18,0.0
2,1,0.08,0.06
2,2,0.09,0.09
2,3,0.19,0.09
2,4,0.21,0.14
2,5,0.18,0.15
3,0,0.0,0.0
3,1,0.14,0.0
3,2,0.14,0.07
3,3,0.22,0.09
3,4,0.23,0.12
3,5,0.27,0.16
4,0,0.17,0.01
4,1,0.1,0.05
4,2,0.15,0.07
4,3,0.23,0.08
4,4,0.22,0.14
4,5,0.27,0.16
5,0,0.01,0.0
5,1,0.06,0.0
5,2,0.11,0.01
5,3,0.2,0.01
5,4,0.24,0.09
5,5,0.19,0.1
6,0,0.12,0.0
6,1,0.02,0.04
6,2,0.04,0.04
6,3,0.05,0.04
6,4,0.23,0.04
6,5,0.23,0.09
7,0,0.03,0.0
7,1,0.04,0.0
7,2,0.04,0.01
7,3,0.08,0.02
7,4,0.06,0.05
7,5,0.17,0.05
8,0,0.12,0.0
8,1,0.17,0.05
8,2,0.21,0.06
8,3,0.23,0.12
8,4,0.31,0.17
8,5,0.33,0.25
9,0,0.14,0.01
9,1,0.18,0.06
9,2,0.19,0.12
9,3,0.17,0.13
9,4,0.24,0.16
9,5,0.24,0.17
10,0,0.03,0.0
10,1,0.16,0.01
10,2,0.15,0.09
10,3,0.19,0.11
10,4,0.26,0.15
10,5,0.28,0.18
11,0,0.15,0.0
11,1,0.11,0.05
11,2,0.16,0.09
11,3,0.08,0.1
11,4,0.24,0.1
11,5,0.21,0.13
12,0,0.01,0.0
12,1,0.05,0.0
12,2,0.05,0.01
12,3,0.16,0.03
12,4,0.17,0.05
12,5,0.21,0.11
13,0,0.03,0.0
13,1,0.08,0.0
13,2,0.08,0.02
13,3,0.12,0.03
13,4,0.15,0.05
13,5,0.17,0.07
14,0,0.14,0.0
14,1,0.04,0.03
14,2,0.17,0.04
14,3,0.16,0.07
14,4,0.18,0.11
14,5,0.28,0.14
15,0,0.05,0.0
15,1,0.1,0.0
15,2,0.24,0.03
15,3,0.14,0.11
15,4,0.21,0.12
15,5,0.27,0.14
16,0,0.1,0.0
16,1,0.0,0.02
16,2,0.15,0.02
16,3,0.08,0.06
16,4,0.14,0.06
16,5,0.1,0.07
17,0,0.11,0.01
17,1,0.12,0.02
17,2,0.23,0.04
17,3,0.26,0.11
17,4,0.28,0.18
17,5,0.29,0.22
18,0,0.07,0.01
18,1,0.0,0.02
18,2,0.05,0.02
18,3,0.09,0.05
18,4,0.12,0.05
18,5,0.09,0.05
19,0,0.17,0.0
19,1,0.11,0.06
19,2,0.12,0.07
19,3,0.13,0.09
19,4,0.27,0.11
19,5,0.18,0.16
20,0,0.1,0.0
20,1,0.07,0.02
20,2,0.07,0.02
20,3,0.11,0.03
20,4,0.17,0.07
20,5,0.18,0.08
21,0,0.01,0.0
21,1,0.19,0.0
21,2,0.1,0.03
21,3,0.12,0.06
21,4,0.2,0.07
21,5,0.19,0.1
22,0,0.07,0.0
22,1,0.05,0.01
22,2,0.14,0.03
22,3,0.18,0.06
22,4,0.04,0.12
22,5,0.23,0.12
23,0,0.05,0.0
23,1,0.07,0.02
23,2,0.17,0.03
23,3,0.26,0.06
23,4,0.17,0.13
23,5,0.28,0.13
24,0,0.02,0.0
24,1,0.06,0.0
24,2,0.09,0.02
24,3,0.13,0.03
24,4,0.18,0.04
24,5,0.18,0.11
25,0,0.22,0.0
25,1,0.17,0.07
25,2,0.24,0.11
25,3,0.28,0.15
25,4,0.28,0.19
25,5,0.26,0.24
26,0,0.11,0.0
26,1,0.12,0.03
26,2,0.16,0.07
26,3,0.22,0.1
26,4,0.26,0.16
26,5,0.25,0.2
27,0,0.07,0.0
27,1,0.04,0.02
27,2,0.21,0.03
27,3,0.2,0.09
27,4,0.22,0.15
27,5,0.24,0.18
28,0,0.04,0.0
28,1,0.02,0.02
28,2,0.11,0.02
28,3,0.11,0.03
28,4,0.19,0.07
28,5,0.14,0.1
29,0,0.08,0.01
29,1,0.16,0.01
29,2,0.13,0.04
29,3,0.25,0.08
29,4,0.16,0.16
29,5,0.28,0.17
30,0,0.17,0.01
30,1,0.08,0.05
30,2,0.13,0.07
30,3,0.26,0.1
30,4,0.28,0.15
30,5,0.34,0.22
