replicate,rank,top-100 model,top-100 acquired
1,0,0.06,0.0
1,1,0.09,0.0
1,2,0.1,0.01
1,3,0.11,0.04
1,4,0.12,0.08
1,5,0.13,0.09
2,0,0.06,0.0
2,1,0.07,0.01
2,2,0.02,0.01
2,3,0.07,0.02
2,4,0.09,0.05
2,5,0.07,0.05
3,0,0.03,0.0
3,1,0.1,0.02
3,2,0.14,0.07
3,3,0.15,0.09
3,4,0.14,0.1
3,5,0.17,0.13
4,0,0.03,0.01
4,1,0.08,0.01
4,2,0.1,0.02
4,3,0.1,0.03
4,4,0.13,0.06
4,5,0.16,0.1
5,0,0.02,0.0
5,1,0.02,0.02
5,2,0.07,0.02
5,3,0.06,0.03
5,4,0.13,0.06
5,5,0.17,0.1
6,0,0.04,0.0
6,1,0.11,0.01
6,2,0.14,0.06
6,3,0.17,0.08
6,4,0.18,0.1
6,5,0.21,0.15
7,0,0.07,0.0
7,1,0.08,0.01
7,2,0.17,0.06
7,3,0.18,0.09
7,4,0.22,0.12
7,5,0.26,0.19
8,0,0.05,0.0
8,1,0.04,0.01
8,2,0.09,0.02
8,3,0.14,0.05
8,4,0.17,0.09
8,5,0.19,0.15
9,0,0.05,0.01
9,1,0.09,0.03
9,2,0.06,0.05
9,3,0.09,0.05
9,4,0.13,0.07
9,5,0.14,0.09
10,0,0.14,0.0
10,1,0.14,0.04
10,2,0.18,0.08
10,3,0.19,0.13
10,4,0.22,0.16
10,5,0.22,0.19
11,0,0.02,0.0
11,1,0.09,0.0
11,2,0.17,0.06
11,3,0.16,0.09
11,4,0.15,0.12
11,5,0.18,0.14
12,0,0.01,0.0
12,1,0.03,0.0
12,2,0.01,0.01
12,3,0.03,0.01
12,4,0.03,0.01
12,5,0.05,0.01
13,0,0.07,0.0
13,1,0.1,0.02
13,2,0.14,0.07
13,3,0.18,0.12
13,4,0.17,0.15
13,5,0.18,0.16
14,0,0.08,0.0
14,1,0.08,0.04
14,2,0.13,0.06
14,3,0.13,0.08
14,4,0.18,0.09
14,5,0.19,0.14
15,0,0.06,0.0
15,1,0.09,0.02
15,2,0.11,0.06
15,3,0.12,0.08
15,4,0.16,0.1
15,5,0.18,0.12
16,0,0.08,0.0
16,1,0.13,0.02
16,2,0.14,0.11
16,3,0.13,0.11
16,4,0.14,0.12
16,5,0.21,0.13
17,0,0.06,0.01
17,1,0.12,0.04
17,2,0.15,0.07
17,3,0.13,0.09
17,4,0.2,0.12
17,5,0.22,0.15
18,0,0.03,0.01
18,1,0.03,0.02
18,2,0.03,0.02
18,3,0.03,0.02
18,4,0.08,0.03
18,5,0.09,0.03
19,0,0.05,0.0
19,1,0.04,0.0
19,2,0.07,0.02
19,3,0.1,0.06
19,4,0.13,0.07
19,5,0.12,0.09
20,0,0.04,0.0
20,1,0.1,0.01
20,2,0.09,0.03
20,3,0.1,0.04
20,4,0.09,0.06
20,5,0.13,0.08
21,0,0.0,0.0
21,1,0.04,0.0
21,2,0.11,0.01
21,3,0.11,0.05
21,4,0.13,0.06
21,5,0.15,0.09
22,0,0.0,0.0
22,1,0.02,0.0
22,2,0.03,0.0
22,3,0.02,0.0
22,4,0.07,0.02
22,5,0.11,0.03
23,0,0.02,0.0
23,1,0.03,0.0
23,2,0.08,0.01
23,3,0.11,0.03
23,4,0.14,0.06
23,5,0.16,0.09
24,0,0.03,0.0
24,1,0.1,0.0
24,2,0.09,0.03
24,3,0.2,0.04
24,4,0.2,0.11
24,5,0.21,0.15
25,0,0.07,0.0
25,1,0.11,0.01
25,2,0.1,0.04
25,3,0.12,0.07
25,4,0.13,0.08
25,5,0.14,0.08
26,0,0.04,0.0
26,1,0.07,0.0
26,2,0.06,0.01
26,3,0.09,0.05
26,4,0.1,0.08
26,5,0.1,0.09
27,0,0.04,0.0
27,1,0.15,0.02
27,2,0.17,0.08
27,3,0.19,0.11
27,4,0.22,0.14
27,5,0.22,0.19
28,0,0.04,0.0
28,1,0.05,0.03
28,2,0.07,0.04
28,3,0.09,0.06
28,4,0.09,0.06
28,5,0.11,0.07
29,0,0.15,0.01
29,1,0.16,0.05
29,2,0.12,0.06
29,3,0.17,0.08
29,4,0.16,0.1
29,5,0.24,0.15
30,0,0.06,0.01
30,1,0.07,0.04
30,2,0.08,0.05
30,3,0.09,0.07
30,4,0.11,0.08
30,5,0.11,0.09
