replicate,rank,top-100 model,top-100 acquired
1,0,0.15,0.0
1,1,0.2,0.07
1,2,0.06,0.09
1,3,0.12,0.09
1,4,0.2,0.1
1,5,0.18,0.15
2,0,0.15,0.0
2,1,0.15,0.07
2,2,0.03,0.1
2,3,0.21,0.13
2,4,0.09,0.18
2,5,0.19,0.2
3,0,0.0,0.0
3,1,0.08,0.0
3,2,0.02,0.02
3,3,0.21,0.02
3,4,0.0,0.09
3,5,0.21,0.09
4,0,0.24,0.01
4,1,0.17,0.08
4,2,0.1,0.11
4,3,0.08,0.13
4,4,0.24,0.15
4,5,0.0,0.2
5,0,0.19,0.0
5,1,0.09,0.07
5,2,0.07,0.1
5,3,0.19,0.1
5,4,0.15,0.14
5,5,0.17,0.15
6,0,0.24,0.0
6,1,0.17,0.07
6,2,0.14,0.11
6,3,0.16,0.13
6,4,0.0,0.2
6,5,0.21,0.2
7,0,0.0,0.0
7,1,0.07,0.0
7,2,0.0,0.01
7,3,0.17,0.01
7,4,0.18,0.08
7,5,0.08,0.11
8,0,0.03,0.0
8,1,0.06,0.03
8,2,0.16,0.09
8,3,0.0,0.12
8,4,0.09,0.12
8,5,0.05,0.14
9,0,0.18,0.01
9,1,0.17,0.08
9,2,0.1,0.13
9,3,0.02,0.16
9,4,0.1,0.16
9,5,0.08,0.19
10,0,0.04,0.0
10,1,0.06,0.01
10,2,0.05,0.02
10,3,0.03,0.03
10,4,0.06,0.05
10,5,0.18,0.07
11,0,0.24,0.0
11,1,0.18,0.07
11,2,0.11,0.11
11,3,0.04,0.13
11,4,0.22,0.15
11,5,0.23,0.21
12,0,0.01,0.0
12,1,0.24,0.0
12,2,0.1,0.07
12,3,0.07,0.09
12,4,0.16,0.12
12,5,0.24,0.16
13,0,0.23,0.0
13,1,0.19,0.07
13,2,0.08,0.1
13,3,0.21,0.14
13,4,0.03,0.18
13,5,0.2,0.18
14,0,0.0,0.0
14,1,0.0,0.0
14,2,0.02,0.0
14,3,0.24,0.01
14,4,0.09,0.08
14,5,0.23,0.12
15,0,0.24,0.0
15,1,0.23,0.07
15,2,0.03,0.11
15,3,0.11,0.12
15,4,0.05,0.15
15,5,0.23,0.15
16,0,0.0,0.0
16,1,0.24,0.0
16,2,0.21,0.07
16,3,0.03,0.11
16,4,0.0,0.11
16,5,0.09,0.11
17,0,0.06,0.01
17,1,0.1,0.02
17,2,0.19,0.04
17,3,0.13,0.12
17,4,0.17,0.15
17,5,0.24,0.19
18,0,0.0,0.01
18,1,0.21,0.01
18,2,0.15,0.06
18,3,0.17,0.08
18,4,0.15,0.13
18,5,0.11,0.18
19,0,0.0,0.0
19,1,0.02,0.0
19,2,0.18,0.01
19,3,0.08,0.08
19,4,0.13,0.11
19,5,0.1,0.15
20,0,0.0,0.0
20,1,0.07,0.0
20,2,0.01,0.02
20,3,0.04,0.02
20,4,0.14,0.04
20,5,0.17,0.1
21,0,0.24,0.0
21,1,0.21,0.07
21,2,0.15,0.13
21,3,0.09,0.16
21,4,0.09,0.17
21,5,0.1,0.17
22,0,0.24,0.0
22,1,0.1,0.07
22,2,0.12,0.08
22,3,0.1,0.12
22,4,0.09,0.16
22,5,0.0,0.16
23,0,0.01,0.0
23,1,0.15,0.0
23,2,0.17,0.07
23,3,0.1,0.1
23,4,0.24,0.12
23,5,0.12,0.16
24,0,0.23,0.0
24,1,0.04,0.07
24,2,0.04,0.07
24,3,0.13,0.08
24,4,0.22,0.12
24,5,0.21,0.17
25,0,0.24,0.0
25,1,0.17,0.07
25,2,0.14,0.11
25,3,0.0,0.18
25,4,0.0,0.18
25,5,0.04,0.18
26,0,0.24,0.0
26,1,0.16,0.07
26,2,0.0,0.12
26,3,0.11,0.12
26,4,0.08,0.15
26,5,0.0,0.19
27,0,0.0,0.0
27,1,0.02,0.0
27,2,0.23,0.0
27,3,0.17,0.07
27,4,0.06,0.1
27,5,0.02,0.12
28,0,0.06,0.0
28,1,0.04,0.0
28,2,0.07,0.0
28,3,0.17,0.02
28,4,0.0,0.08
28,5,0.08,0.08
29,0,0.24,0.01
29,1,0.2,0.08
29,2,0.12,0.11
29,3,0.04,0.17
29,4,0.1,0.17
29,5,0.0,0.19
30,0,0.24,0.01
30,1,0.07,0.08
30,2,0.1,0.08
30,3,0.1,0.09
30,4,0.02,0.15
30,5,0.13,0.16
