replicate,rank,top-100 model,top-100 acquired
1,0,0.02,0.0
1,1,0.15,0.02
1,2,0.15,0.02
1,3,0.17,0.06
1,4,0.13,0.09
1,5,0.14,0.1
2,0,0.16,0.0
2,1,0.1,0.05
2,2,0.17,0.08
2,3,0.17,0.11
2,4,0.24,0.15
2,5,0.23,0.22
3,0,0.01,0.0
3,1,0.14,0.0
3,2,0.14,0.07
3,3,0.18,0.09
3,4,0.23,0.13
3,5,0.24,0.16
4,0,0.18,0.01
4,1,0.1,0.04
4,2,0.21,0.06
4,3,0.27,0.13
4,4,0.34,0.17
4,5,0.3,0.23
5,0,0.05,0.0
5,1,0.08,0.02
5,2,0.2,0.05
5,3,0.22,0.08
5,4,0.17,0.12
5,5,0.19,0.17
6,0,0.08,0.0
6,1,0.18,0.03
6,2,0.25,0.11
6,3,0.19,0.15
6,4,0.27,0.18
6,5,0.29,0.22
7,0,0.12,0.0
7,1,0.17,0.05
7,2,0.14,0.08
7,3,0.19,0.11
7,4,0.19,0.17
7,5,0.25,0.19
8,0,0.01,0.0
8,1,0.06,0.0
8,2,0.2,0.03
8,3,0.15,0.07
8,4,0.15,0.12
8,5,0.26,0.16
9,0,0.04,0.01
9,1,0.14,0.01
9,2,0.17,0.06
9,3,0.22,0.08
9,4,0.25,0.13
9,5,0.27,0.21
10,0,0.0,0.0
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.05,0.0
10,4,0.02,0.0
10,5,0.03,0.01
11,0,0.01,0.0
11,1,0.07,0.0
11,2,0.12,0.02
11,3,0.12,0.03
11,4,0.19,0.06
11,5,0.22,0.11
12,0,0.0,0.0
12,1,0.1,0.0
12,2,0.21,0.03
12,3,0.21,0.09
12,4,0.2,0.13
12,5,0.28,0.17
13,0,0.06,0.0
13,1,0.25,0.01
13,2,0.24,0.11
13,3,0.27,0.2
13,4,0.27,0.21
13,5,0.27,0.21
14,0,0.04,0.0
14,1,0.13,0.0
14,2,0.18,0.02
14,3,0.2,0.07
14,4,0.22,0.11
14,5,0.25,0.16
15,0,0.11,0.0
15,1,0.16,0.03
15,2,0.23,0.1
15,3,0.25,0.12
15,4,0.25,0.16
15,5,0.28,0.2
16,0,0.07,0.0
16,1,0.2,0.02
16,2,0.19,0.12
16,3,0.26,0.13
16,4,0.28,0.17
16,5,0.28,0.21
17,0,0.09,0.01
17,1,0.2,0.05
17,2,0.15,0.08
17,3,0.21,0.12
17,4,0.25,0.17
17,5,0.3,0.19
18,0,0.03,0.01
18,1,0.08,0.02
18,2,0.12,0.03
18,3,0.1,0.05
18,4,0.18,0.08
18,5,0.18,0.13
19,0,0.09,0.0
19,1,0.26,0.01
19,2,0.22,0.09
19,3,0.22,0.12
19,4,0.24,0.16
19,5,0.28,0.2
20,0,0.02,0.0
20,1,0.01,0.01
20,2,0.0,0.01
20,3,0.02,0.01
20,4,0.01,0.01
20,5,0.03,0.01
21,0,0.04,0.0
21,1,0.18,0.0
21,2,0.16,0.06
21,3,0.25,0.1
21,4,0.25,0.16
21,5,0.25,0.2
22,0,0.17,0.0
22,1,0.11,0.04
22,2,0.19,0.07
22,3,0.21,0.09
22,4,0.15,0.12
22,5,0.21,0.15
23,0,0.01,0.0
23,1,0.15,0.0
23,2,0.25,0.07
23,3,0.25,0.11
23,4,0.24,0.15
23,5,0.29,0.2
24,0,0.0,0.0
24,1,0.02,0.0
24,2,0.08,0.0
24,3,0.14,0.02
24,4,0.22,0.09
24,5,0.27,0.14
25,0,0.04,0.0
25,1,0.0,0.0
25,2,0.14,0.0
25,3,0.15,0.03
25,4,0.17,0.08
25,5,0.23,0.12
26,0,0.03,0.0
26,1,0.06,0.01
26,2,0.16,0.02
26,3,0.18,0.07
26,4,0.18,0.09
26,5,0.15,0.11
27,0,0.12,0.0
27,1,0.18,0.04
27,2,0.19,0.09
27,3,0.22,0.13
27,4,0.21,0.18
27,5,0.22,0.2
28,0,0.0,0.0
28,1,0.02,0.0
28,2,0.07,0.0
28,3,0.11,0.03
28,4,0.09,0.06
28,5,0.15,0.06
29,0,0.17,0.01
29,1,0.15,0.05
29,2,0.22,0.09
29,3,0.22,0.12
29,4,0.27,0.15
29,5,0.27,0.19
30,0,0.17,0.01
30,1,0.19,0.05
30,2,0.19,0.09
30,3,0.25,0.15
30,4,0.19,0.17
30,5,0.19,0.19
