replicate,rank,top-100 model,top-100 acquired
1,0,0.02,0.0
1,1,0.07,0.01
1,2,0.12,0.01
1,3,0.08,0.04
1,4,0.03,0.04
1,5,0.07,0.05
2,0,0.0,0.0
2,1,0.02,0.0
2,2,0.13,0.01
2,3,0.07,0.03
2,4,0.08,0.04
2,5,0.1,0.04
3,0,0.18,0.0
3,1,0.07,0.06
3,2,0.06,0.08
3,3,0.07,0.08
3,4,0.14,0.08
3,5,0.15,0.11
4,0,0.17,0.01
4,1,0.01,0.07
4,2,0.01,0.07
4,3,0.08,0.07
4,4,0.11,0.07
4,5,0.06,0.08
5,0,0.0,0.0
5,1,0.03,0.0
5,2,0.02,0.0
5,3,0.0,0.0
5,4,0.02,0.0
5,5,0.02,0.0
6,0,0.0,0.0
6,1,0.05,0.0
6,2,0.01,0.0
6,3,0.11,0.01
6,4,0.12,0.04
6,5,0.18,0.05
7,0,0.02,0.0
7,1,0.01,0.01
7,2,0.08,0.02
7,3,0.06,0.06
7,4,0.04,0.06
7,5,0.04,0.06
8,0,0.06,0.0
8,1,0.14,0.01
8,2,0.04,0.08
8,3,0.15,0.08
8,4,0.14,0.12
8,5,0.13,0.14
9,0,0.04,0.01
9,1,0.05,0.01
9,2,0.09,0.01
9,3,0.02,0.01
9,4,0.01,0.01
9,5,0.03,0.02
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.03,0.0
10,3,0.03,0.0
10,4,0.02,0.0
10,5,0.04,0.01
11,0,0.01,0.0
11,1,0.0,0.01
11,2,0.01,0.01
11,3,0.03,0.02
11,4,0.03,0.03
11,5,0.02,0.03
12,0,0.05,0.0
12,1,0.06,0.02
12,2,0.13,0.03
12,3,0.07,0.07
12,4,0.09,0.08
12,5,0.09,0.11
13,0,0.0,0.0
13,1,0.0,0.0
13,2,0.0,0.0
13,3,0.02,0.0
13,4,0.02,0.01
13,5,0.04,0.02
14,0,0.0,0.0
14,1,0.0,0.0
14,2,0.06,0.0
14,3,0.03,0.02
14,4,0.02,0.02
14,5,0.03,0.03
15,0,0.0,0.0
15,1,0.01,0.0
15,2,0.0,0.0
15,3,0.0,0.0
15,4,0.01,0.0
15,5,0.1,0.01
16,0,0.01,0.0
16,1,0.09,0.01
16,2,0.11,0.05
16,3,0.09,0.1
16,4,0.15,0.1
16,5,0.17,0.16
17,0,0.09,0.01
17,1,0.07,0.01
17,2,0.08,0.05
17,3,0.05,0.07
17,4,0.11,0.09
17,5,0.11,0.11
18,0,0.03,0.01
18,1,0.03,0.01
18,2,0.09,0.01
18,3,0.05,0.03
18,4,0.09,0.03
18,5,0.1,0.04
19,0,0.0,0.0
19,1,0.01,0.0
19,2,0.0,0.0
19,3,0.0,0.0
19,4,0.02,0.0
19,5,0.02,0.01
20,0,0.01,0.0
20,1,0.0,0.0
20,2,0.01,0.0
20,3,0.01,0.0
20,4,0.01,0.0
20,5,0.0,0.01
21,0,0.06,0.0
21,1,0.13,0.03
21,2,0.09,0.07
21,3,0.1,0.08
21,4,0.11,0.1
21,5,0.14,0.1
22,0,0.0,0.0
22,1,0.01,0.0
22,2,0.01,0.0
22,3,0.02,0.0
22,4,0.01,0.0
22,5,0.01,0.01
23,0,0.05,0.0
23,1,0.0,0.01
23,2,0.0,0.01
23,3,0.0,0.01
23,4,0.01,0.01
23,5,0.0,0.01
24,0,0.0,0.0
24,1,0.0,0.0
24,2,0.0,0.0
24,3,0.05,0.0
24,4,0.1,0.01
24,5,0.07,0.02
25,0,0.05,0.0
25,1,0.03,0.0
25,2,0.07,0.01
25,3,0.05,0.01
25,4,0.05,0.03
25,5,0.02,0.04
26,0,0.03,0.0
26,1,0.06,0.0
26,2,0.14,0.01
26,3,0.09,0.06
26,4,0.06,0.06
26,5,0.11,0.06
27,0,0.0,0.0
27,1,0.01,0.0
27,2,0.08,0.0
27,3,0.09,0.01
27,4,0.04,0.03
27,5,0.07,0.04
28,0,0.0,0.0
28,1,0.0,0.0
28,2,0.0,0.0
28,3,0.0,0.0
28,4,0.03,0.0
28,5,0.11,0.0
29,0,0.21,0.01
29,1,0.09,0.09
29,2,0.08,0.12
29,3,0.1,0.13
29,4,0.09,0.15
29,5,0.1,0.16
30,0,0.0,0.01
30,1,0.02,0.01
30,2,0.04,0.02
30,3,0.09,0.03
30,4,0.04,0.04
30,5,0.13,0.05
