replicate,rank,top-1320 model,top-1320 acquired
1,0,0.19242424242424241,0.0022727272727272726
1,1,0.1431818181818182,0.013636363636363636
1,2,0.1856060606060606,0.020454545454545454
1,3,0.15984848484848485,0.02727272727272727
1,4,0.15378787878787878,0.03636363636363636
1,5,0.19318181818181818,0.04242424242424243
2,0,0.03333333333333333,0.0022727272727272726
2,1,0.1462121212121212,0.0030303030303030303
2,2,0.18787878787878787,0.008333333333333333
2,3,0.21363636363636362,0.017424242424242425
2,4,0.15606060606060607,0.02803030303030303
2,5,0.19545454545454546,0.038636363636363635
3,0,0.1,0.0022727272727272726
3,1,0.13257575757575757,0.006060606060606061
3,2,0.15378787878787878,0.009848484848484848
3,3,0.19772727272727272,0.016666666666666666
3,4,0.18712121212121213,0.024242424242424242
3,5,0.16287878787878787,0.03484848484848485
4,0,0.0803030303030303,0.0022727272727272726
4,1,0.029545454545454545,0.0022727272727272726
4,2,0.09393939393939393,0.003787878787878788
4,3,0.09242424242424242,0.006818181818181818
4,4,0.09545454545454546,0.00909090909090909
4,5,0.12575757575757576,0.011363636363636364
5,0,0.125,0.0022727272727272726
5,1,0.14166666666666666,0.006060606060606061
5,2,0.18333333333333332,0.009848484848484848
5,3,0.19545454545454546,0.015151515151515152
5,4,0.1946969696969697,0.026515151515151516
5,5,0.1946969696969697,0.03484848484848485
6,0,0.20075757575757575,0.0022727272727272726
6,1,0.18863636363636363,0.014393939393939395
6,2,0.2053030303030303,0.025757575757575757
6,3,0.21136363636363636,0.037121212121212124
6,4,0.1712121212121212,0.04621212121212121
6,5,0.25227272727272726,0.05
7,0,0.08181818181818182,0.0022727272727272726
7,1,0.08181818181818182,0.0030303030303030303
7,2,0.10606060606060606,0.004545454545454545
7,3,0.09848484848484848,0.008333333333333333
7,4,0.12045454545454545,0.014393939393939395
7,5,0.13106060606060607,0.01893939393939394
8,0,0.10757575757575757,0.0022727272727272726
8,1,0.0015151515151515152,0.005303030303030303
8,2,0.02878787878787879,0.005303030303030303
8,3,0.038636363636363635,0.006060606060606061
8,4,0.04696969696969697,0.00909090909090909
8,5,0.07954545454545454,0.00909090909090909
9,0,0.2143939393939394,0.0022727272727272726
9,1,0.22575757575757577,0.014393939393939395
9,2,0.2053030303030303,0.025757575757575757
9,3,0.21212121212121213,0.03333333333333333
9,4,0.1893939393939394,0.0446969696969697
9,5,0.2037878787878788,0.05075757575757576
10,0,0.10606060606060606,0.0022727272727272726
10,1,0.11136363636363636,0.011363636363636364
10,2,0.1621212121212121,0.012878787878787878
10,3,0.1590909090909091,0.020454545454545454
10,4,0.2,0.026515151515151516
10,5,0.1984848484848485,0.03409090909090909
11,0,0.11666666666666667,0.0022727272727272726
11,1,0.13636363636363635,0.0030303030303030303
11,2,0.22272727272727272,0.007575757575757576
11,3,0.24621212121212122,0.015909090909090907
11,4,0.24015151515151514,0.02878787878787879
11,5,0.225,0.041666666666666664
12,0,0.13560606060606062,0.0022727272727272726
12,1,0.20227272727272727,0.005303030303030303
12,2,0.13484848484848486,0.008333333333333333
12,3,0.19166666666666668,0.009848484848484848
12,4,0.22272727272727272,0.02196969696969697
12,5,0.1984848484848485,0.03484848484848485
13,0,0.1303030303030303,0.0022727272727272726
13,1,0.12878787878787878,0.009848484848484848
13,2,0.14166666666666666,0.016666666666666666
13,3,0.1712121212121212,0.020454545454545454
13,4,0.12424242424242424,0.024242424242424242
13,5,0.17575757575757575,0.025757575757575757
14,0,0.18787878787878787,0.0022727272727272726
14,1,0.25681818181818183,0.00909090909090909
14,2,0.225,0.020454545454545454
14,3,0.25757575757575757,0.02727272727272727
14,4,0.275,0.04015151515151515
14,5,0.25757575757575757,0.05
15,0,0.1734848484848485,0.0022727272727272726
15,1,0.2765151515151515,0.006060606060606061
15,2,0.2833333333333333,0.015151515151515152
15,3,0.2431818181818182,0.024242424242424242
15,4,0.22727272727272727,0.03484848484848485
15,5,0.22272727272727272,0.04242424242424243
16,0,0.08484848484848485,0.0022727272727272726
16,1,0.10454545454545454,0.0030303030303030303
16,2,0.12045454545454545,0.006060606060606061
16,3,0.12954545454545455,0.012121212121212121
16,4,0.18333333333333332,0.015909090909090907
16,5,0.17575757575757575,0.024242424242424242
17,0,0.09696969696969697,0.0022727272727272726
17,1,0.19242424242424241,0.016666666666666666
17,2,0.22348484848484848,0.026515151515151516
17,3,0.20227272727272727,0.03636363636363636
17,4,0.22954545454545455,0.04772727272727273
17,5,0.19924242424242425,0.055303030303030305
18,0,0.17803030303030304,0.0022727272727272726
18,1,0.19545454545454546,0.011363636363636364
18,2,0.0659090909090909,0.020454545454545454
18,3,0.13333333333333333,0.021212121212121213
18,4,0.15,0.03333333333333333
18,5,0.17196969696969697,0.04318181818181818
19,0,0.09924242424242424,0.0022727272727272726
19,1,0.10303030303030303,0.0030303030303030303
19,2,0.13484848484848486,0.00909090909090909
19,3,0.14393939393939395,0.010606060606060607
19,4,0.1803030303030303,0.016666666666666666
19,5,0.12575757575757576,0.02727272727272727
20,0,0.1765151515151515,0.0022727272727272726
20,1,0.19393939393939394,0.010606060606060607
20,2,0.14545454545454545,0.02196969696969697
20,3,0.23712121212121212,0.02803030303030303
20,4,0.2287878787878788,0.03787878787878788
20,5,0.12803030303030302,0.04696969696969697
21,0,0.06893939393939394,0.0022727272727272726
21,1,0.13333333333333333,0.004545454545454545
21,2,0.06515151515151515,0.007575757575757576
21,3,0.14015151515151514,0.007575757575757576
21,4,0.14166666666666666,0.010606060606060607
21,5,0.15151515151515152,0.013636363636363636
22,0,0.23636363636363636,0.0022727272727272726
22,1,0.13484848484848486,0.00909090909090909
22,2,0.14469696969696969,0.017424242424242425
22,3,0.1553030303030303,0.025757575757575757
22,4,0.13333333333333333,0.03484848484848485
22,5,0.14696969696969697,0.04393939393939394
23,0,0.2681818181818182,0.0022727272727272726
23,1,0.15151515151515152,0.013636363636363636
23,2,0.20757575757575758,0.021212121212121213
23,3,0.23863636363636365,0.030303030303030304
23,4,0.22727272727272727,0.04318181818181818
23,5,0.2340909090909091,0.051515151515151514
24,0,0.11818181818181818,0.0022727272727272726
24,1,0.11060606060606061,0.006060606060606061
24,2,0.13636363636363635,0.015909090909090907
24,3,0.1393939393939394,0.022727272727272728
24,4,0.1409090909090909,0.029545454545454545
24,5,0.1431818181818182,0.03409090909090909
25,0,0.11969696969696969,0.0022727272727272726
25,1,0.2159090909090909,0.004545454545454545
25,2,0.17727272727272728,0.016666666666666666
25,3,0.19242424242424241,0.026515151515151516
25,4,0.14545454545454545,0.037121212121212124
25,5,0.1984848484848485,0.04393939393939394
26,0,0.16893939393939394,0.0030303030303030303
26,1,0.1431818181818182,0.006818181818181818
26,2,0.18257575757575759,0.015909090909090907
26,3,0.16287878787878787,0.02803030303030303
26,4,0.2015151515151515,0.03333333333333333
26,5,0.22575757575757577,0.04621212121212121
27,0,0.125,0.0022727272727272726
27,1,0.15606060606060607,0.013636363636363636
27,2,0.22045454545454546,0.019696969696969695
27,3,0.19772727272727272,0.031818181818181815
27,4,0.1621212121212121,0.04318181818181818
27,5,0.2015151515151515,0.04924242424242424
28,0,0.030303030303030304,0.0022727272727272726
28,1,0.059848484848484845,0.0022727272727272726
28,2,0.1143939393939394,0.0030303030303030303
28,3,0.13106060606060607,0.006818181818181818
28,4,0.14015151515151514,0.017424242424242425
28,5,0.11060606060606061,0.02803030303030303
29,0,0.038636363636363635,0.0022727272727272726
29,1,0.07575757575757576,0.004545454545454545
29,2,0.1318181818181818,0.00909090909090909
29,3,0.1143939393939394,0.012878787878787878
29,4,0.12424242424242424,0.013636363636363636
29,5,0.15303030303030302,0.015151515151515152
30,0,0.14166666666666666,0.0022727272727272726
30,1,0.0856060606060606,0.007575757575757576
30,2,0.14696969696969697,0.009848484848484848
30,3,0.16742424242424242,0.017424242424242425
30,4,0.17272727272727273,0.019696969696969695
30,5,0.22727272727272727,0.022727272727272728
