replicate,rank,top-1320 model,top-1320 acquired
1,0,0.14696969696969697,0.0022727272727272726
1,1,0.12424242424242424,0.0030303030303030303
1,2,0.21136363636363636,0.014393939393939395
1,3,0.14469696969696969,0.020454545454545454
1,4,0.19772727272727272,0.03106060606060606
1,5,0.16666666666666666,0.041666666666666664
2,0,0.09924242424242424,0.0022727272727272726
2,1,0.13712121212121212,0.003787878787878788
2,2,0.11666666666666667,0.005303030303030303
2,3,0.14242424242424243,0.008333333333333333
2,4,0.12651515151515152,0.016666666666666666
2,5,0.1803030303030303,0.026515151515151516
3,0,0.05757575757575758,0.0022727272727272726
3,1,0.06893939393939394,0.0030303030303030303
3,2,0.11515151515151516,0.005303030303030303
3,3,0.14545454545454545,0.009848484848484848
3,4,0.13863636363636364,0.015909090909090907
3,5,0.24015151515151514,0.01818181818181818
4,0,0.075,0.0022727272727272726
4,1,0.07045454545454545,0.003787878787878788
4,2,0.09090909090909091,0.004545454545454545
4,3,0.11969696969696969,0.008333333333333333
4,4,0.18863636363636363,0.011363636363636364
4,5,0.1590909090909091,0.015909090909090907
5,0,0.10151515151515152,0.0022727272727272726
5,1,0.12954545454545455,0.005303030303030303
5,2,0.12878787878787878,0.006818181818181818
5,3,0.09166666666666666,0.013636363636363636
5,4,0.1318181818181818,0.017424242424242425
5,5,0.09621212121212121,0.022727272727272728
6,0,0.12954545454545455,0.0022727272727272726
6,1,0.08181818181818182,0.0030303030303030303
6,2,0.11287878787878788,0.006060606060606061
6,3,0.12348484848484849,0.010606060606060607
6,4,0.13106060606060607,0.016666666666666666
6,5,0.20984848484848484,0.02803030303030303
7,0,0.13787878787878788,0.0022727272727272726
7,1,0.12878787878787878,0.0030303030303030303
7,2,0.08787878787878788,0.005303030303030303
7,3,0.1962121212121212,0.011363636363636364
7,4,0.15984848484848485,0.01893939393939394
7,5,0.19772727272727272,0.030303030303030304
8,0,0.03333333333333333,0.0022727272727272726
8,1,0.08409090909090909,0.0022727272727272726
8,2,0.1946969696969697,0.006060606060606061
8,3,0.16590909090909092,0.013636363636363636
8,4,0.2628787878787879,0.02196969696969697
8,5,0.2431818181818182,0.03106060606060606
9,0,0.13863636363636364,0.0022727272727272726
9,1,0.09621212121212121,0.005303030303030303
9,2,0.13257575757575757,0.007575757575757576
9,3,0.175,0.013636363636363636
9,4,0.11969696969696969,0.025757575757575757
9,5,0.14924242424242423,0.03257575757575758
10,0,0.13787878787878788,0.0022727272727272726
10,1,0.2628787878787879,0.005303030303030303
10,2,0.21212121212121213,0.013636363636363636
10,3,0.1803030303030303,0.01893939393939394
10,4,0.24924242424242424,0.02196969696969697
10,5,0.15227272727272728,0.031818181818181815
11,0,0.075,0.0022727272727272726
11,1,0.056818181818181816,0.0030303030303030303
11,2,0.1484848484848485,0.010606060606060607
11,3,0.09393939393939393,0.024242424242424242
11,4,0.19166666666666668,0.02803030303030303
11,5,0.17424242424242425,0.03333333333333333
12,0,0.10606060606060606,0.0022727272727272726
12,1,0.04924242424242424,0.0030303030303030303
12,2,0.11818181818181818,0.005303030303030303
12,3,0.06363636363636363,0.010606060606060607
12,4,0.15,0.012121212121212121
12,5,0.13106060606060607,0.019696969696969695
13,0,0.075,0.0022727272727272726
13,1,0.13560606060606062,0.0030303030303030303
13,2,0.07575757575757576,0.006818181818181818
13,3,0.10227272727272728,0.008333333333333333
13,4,0.12803030303030302,0.011363636363636364
13,5,0.1,0.02196969696969697
14,0,0.16363636363636364,0.0022727272727272726
14,1,0.18787878787878787,0.006060606060606061
14,2,0.2409090909090909,0.011363636363636364
14,3,0.12196969696969696,0.020454545454545454
14,4,0.19090909090909092,0.030303030303030304
14,5,0.13106060606060607,0.037121212121212124
15,0,0.055303030303030305,0.0022727272727272726
15,1,0.09318181818181819,0.0022727272727272726
15,2,0.1606060606060606,0.005303030303030303
15,3,0.14242424242424243,0.015909090909090907
15,4,0.19242424242424241,0.023484848484848483
15,5,0.21515151515151515,0.03636363636363636
16,0,0.08863636363636364,0.0022727272727272726
16,1,0.12727272727272726,0.0030303030303030303
16,2,0.12045454545454545,0.004545454545454545
16,3,0.13484848484848486,0.012878787878787878
16,4,0.18636363636363637,0.014393939393939395
16,5,0.15606060606060607,0.023484848484848483
17,0,0.11060606060606061,0.0022727272727272726
17,1,0.12272727272727273,0.0022727272727272726
17,2,0.15151515151515152,0.015151515151515152
17,3,0.1621212121212121,0.024242424242424242
17,4,0.12196969696969696,0.030303030303030304
17,5,0.15833333333333333,0.038636363636363635
18,0,0.1303030303030303,0.0022727272727272726
18,1,0.06742424242424243,0.003787878787878788
18,2,0.08712121212121213,0.013636363636363636
18,3,0.1340909090909091,0.013636363636363636
18,4,0.09848484848484848,0.025757575757575757
18,5,0.15075757575757576,0.038636363636363635
19,0,0.13560606060606062,0.0022727272727272726
19,1,0.10151515151515152,0.0030303030303030303
19,2,0.2871212121212121,0.008333333333333333
19,3,0.2674242424242424,0.019696969696969695
19,4,0.2106060606060606,0.03257575757575758
19,5,0.24621212121212122,0.04318181818181818
20,0,0.1553030303030303,0.0022727272727272726
20,1,0.19166666666666668,0.005303030303030303
20,2,0.17727272727272728,0.012878787878787878
20,3,0.18181818181818182,0.017424242424242425
20,4,0.21363636363636362,0.02727272727272727
20,5,0.23106060606060605,0.04090909090909091
21,0,0.08333333333333333,0.0022727272727272726
21,1,0.1340909090909091,0.0022727272727272726
21,2,0.15454545454545454,0.003787878787878788
21,3,0.22575757575757577,0.014393939393939395
21,4,0.23636363636363636,0.024242424242424242
21,5,0.3106060606060606,0.03257575757575758
22,0,0.19015151515151515,0.0022727272727272726
22,1,0.1984848484848485,0.007575757575757576
22,2,0.19318181818181818,0.01818181818181818
22,3,0.16515151515151516,0.02878787878787879
22,4,0.22727272727272727,0.03333333333333333
22,5,0.2833333333333333,0.04393939393939394
23,0,0.1765151515151515,0.0022727272727272726
23,1,0.15833333333333333,0.006818181818181818
23,2,0.18333333333333332,0.012878787878787878
23,3,0.10075757575757575,0.021212121212121213
23,4,0.11666666666666667,0.025
23,5,0.1590909090909091,0.03409090909090909
24,0,0.06515151515151515,0.0022727272727272726
24,1,0.004545454545454545,0.0022727272727272726
24,2,0.03333333333333333,0.0022727272727272726
24,3,0.05454545454545454,0.0030303030303030303
24,4,0.09696969696969697,0.010606060606060607
24,5,0.18863636363636363,0.013636363636363636
25,0,0.1318181818181818,0.0022727272727272726
25,1,0.14545454545454545,0.004545454545454545
25,2,0.10984848484848485,0.006060606060606061
25,3,0.09621212121212121,0.00909090909090909
25,4,0.15075757575757576,0.00909090909090909
25,5,0.25227272727272726,0.015909090909090907
26,0,0.13560606060606062,0.0030303030303030303
26,1,0.1340909090909091,0.006818181818181818
26,2,0.10681818181818181,0.015151515151515152
26,3,0.17954545454545454,0.02196969696969697
26,4,0.2196969696969697,0.03636363636363636
26,5,0.2143939393939394,0.04621212121212121
27,0,0.11287878787878788,0.0022727272727272726
27,1,0.17196969696969697,0.0022727272727272726
27,2,0.19166666666666668,0.012878787878787878
27,3,0.1893939393939394,0.023484848484848483
27,4,0.24393939393939393,0.03409090909090909
27,5,0.25227272727272726,0.04090909090909091
28,0,0.11818181818181818,0.0022727272727272726
28,1,0.01893939393939394,0.0030303030303030303
28,2,0.019696969696969695,0.0030303030303030303
28,3,0.051515151515151514,0.0030303030303030303
28,4,0.08787878787878788,0.0030303030303030303
28,5,0.1393939393939394,0.003787878787878788
29,0,0.09393939393939393,0.0022727272727272726
29,1,0.041666666666666664,0.003787878787878788
29,2,0.12272727272727273,0.006060606060606061
29,3,0.12803030303030302,0.007575757575757576
29,4,0.13560606060606062,0.012878787878787878
29,5,0.11136363636363636,0.020454545454545454
30,0,0.1462121212121212,0.0022727272727272726
30,1,0.08409090909090909,0.005303030303030303
30,2,0.12045454545454545,0.007575757575757576
30,3,0.09318181818181819,0.010606060606060607
30,4,0.048484848484848485,0.011363636363636364
30,5,0.026515151515151516,0.011363636363636364
