replicate,rank,top-1320 model,top-1320 acquired
1,0,0.05303030303030303,0.0015151515151515152
1,1,0.13484848484848486,0.0030303030303030303
1,2,0.1393939393939394,0.007575757575757576
1,3,0.07651515151515151,0.013636363636363636
1,4,0.10227272727272728,0.015151515151515152
1,5,0.10833333333333334,0.01818181818181818
2,0,0.05909090909090909,0.0015151515151515152
2,1,0.16590909090909092,0.003787878787878788
2,2,0.2106060606060606,0.00909090909090909
2,3,0.1621212121212121,0.01818181818181818
2,4,0.1856060606060606,0.022727272727272728
2,5,0.19696969696969696,0.02727272727272727
3,0,0.09696969696969697,0.0015151515151515152
3,1,0.1318181818181818,0.006818181818181818
3,2,0.13560606060606062,0.00909090909090909
3,3,0.13863636363636364,0.012121212121212121
3,4,0.14015151515151514,0.017424242424242425
3,5,0.17196969696969697,0.024242424242424242
4,0,0.1734848484848485,0.0015151515151515152
4,1,0.16893939393939394,0.008333333333333333
4,2,0.2128787878787879,0.02196969696969697
4,3,0.2053030303030303,0.03409090909090909
4,4,0.225,0.0446969696969697
4,5,0.25606060606060604,0.05303030303030303
5,0,0.08484848484848485,0.0015151515151515152
5,1,0.13484848484848486,0.004545454545454545
5,2,0.1409090909090909,0.00909090909090909
5,3,0.13787878787878788,0.015909090909090907
5,4,0.07954545454545454,0.01818181818181818
5,5,0.13333333333333333,0.01893939393939394
6,0,0.11060606060606061,0.0015151515151515152
6,1,0.14242424242424243,0.008333333333333333
6,2,0.16893939393939394,0.011363636363636364
6,3,0.13712121212121212,0.01893939393939394
6,4,0.17954545454545454,0.021212121212121213
6,5,0.2196969696969697,0.03106060606060606
7,0,0.13787878787878788,0.0015151515151515152
7,1,0.1143939393939394,0.004545454545454545
7,2,0.15606060606060607,0.005303030303030303
7,3,0.2143939393939394,0.013636363636363636
7,4,0.2037878787878788,0.024242424242424242
7,5,0.2159090909090909,0.03484848484848485
8,0,0.10378787878787879,0.0015151515151515152
8,1,0.0446969696969697,0.003787878787878788
8,2,0.07878787878787878,0.005303030303030303
8,3,0.10227272727272728,0.006818181818181818
8,4,0.12954545454545455,0.008333333333333333
