replicate,rank,top-1320 model,top-1320 acquired
1,0,0.1803030303030303,0.003787878787878788
1,1,0.24621212121212122,0.00909090909090909
1,2,0.18106060606060606,0.017424242424242425
1,3,0.16590909090909092,0.023484848484848483
1,4,0.15833333333333333,0.03484848484848485
1,5,0.21136363636363636,0.037121212121212124
2,0,0.10909090909090909,0.003787878787878788
2,1,0.10984848484848485,0.004545454545454545
2,2,0.03257575757575758,0.008333333333333333
2,3,0.10227272727272728,0.008333333333333333
2,4,0.09848484848484848,0.00909090909090909
2,5,0.24924242424242424,0.012878787878787878
3,0,0.10303030303030303,0.003787878787878788
3,1,0.1053030303030303,0.007575757575757576
3,2,0.09015151515151515,0.015909090909090907
3,3,0.20909090909090908,0.01893939393939394
3,4,0.11136363636363636,0.03106060606060606
3,5,0.09621212121212121,0.04242424242424243
4,0,0.1553030303030303,0.003787878787878788
4,1,0.12045454545454545,0.004545454545454545
4,2,0.16363636363636364,0.008333333333333333
4,3,0.2,0.014393939393939395
4,4,0.06060606060606061,0.021212121212121213
4,5,0.2515151515151515,0.02727272727272727
5,0,0.1856060606060606,0.003787878787878788
5,1,0.08484848484848485,0.007575757575757576
5,2,0.1431818181818182,0.009848484848484848
5,3,0.2,0.017424242424242425
5,4,0.19166666666666668,0.02803030303030303
5,5,0.17272727272727273,0.03939393939393939
6,0,0.1303030303030303,0.003787878787878788
6,1,0.04318181818181818,0.004545454545454545
6,2,0.1621212121212121,0.005303030303030303
6,3,0.14242424242424243,0.011363636363636364
6,4,0.06287878787878788,0.012121212121212121
6,5,0.1340909090909091,0.012878787878787878
7,0,0.0893939393939394,0.003787878787878788
7,1,0.0946969696969697,0.004545454545454545
7,2,0.1462121212121212,0.010606060606060607
7,3,0.16287878787878787,0.015151515151515152
7,4,0.19545454545454546,0.02727272727272727
7,5,0.22424242424242424,0.03787878787878788
8,0,0.07424242424242425,0.003787878787878788
8,1,0.1787878787878788,0.003787878787878788
8,2,0.18863636363636363,0.010606060606060607
8,3,0.22954545454545455,0.017424242424242425
8,4,0.19015151515151515,0.02727272727272727
8,5,0.14924242424242423,0.03333333333333333
9,0,0.0659090909090909,0.003787878787878788
9,1,0.075,0.003787878787878788
9,2,0.04393939393939394,0.004545454545454545
9,3,0.12045454545454545,0.004545454545454545
9,4,0.07121212121212121,0.00909090909090909
9,5,0.0946969696969697,0.011363636363636364
10,0,0.12045454545454545,0.003787878787878788
10,1,0.12045454545454545,0.003787878787878788
10,2,0.06742424242424243,0.005303030303030303
10,3,0.23787878787878788,0.015151515151515152
10,4,0.25681818181818183,0.025757575757575757
10,5,0.24166666666666667,0.035606060606060606
11,0,0.0946969696969697,0.003787878787878788
11,1,0.10454545454545454,0.006060606060606061
11,2,0.14545454545454545,0.008333333333333333
11,3,0.17045454545454544,0.012878787878787878
11,4,0.1803030303030303,0.015151515151515152
11,5,0.2818181818181818,0.024242424242424242
12,0,0.10757575757575757,0.003787878787878788
12,1,0.1984848484848485,0.006060606060606061
12,2,0.19772727272727272,0.008333333333333333
12,3,0.2681818181818182,0.02196969696969697
12,4,0.271969696969697,0.037121212121212124
12,5,0.23257575757575757,0.0446969696969697
13,0,0.07803030303030303,0.003787878787878788
13,1,0.12727272727272726,0.004545454545454545
13,2,0.2833333333333333,0.012878787878787878
13,3,0.31287878787878787,0.025757575757575757
13,4,0.25833333333333336,0.03257575757575758
13,5,0.2159090909090909,0.03484848484848485
14,0,0.1318181818181818,0.003787878787878788
14,1,0.16818181818181818,0.006060606060606061
14,2,0.1643939393939394,0.015151515151515152
14,3,0.1712121212121212,0.025757575757575757
14,4,0.14166666666666666,0.02878787878787879
14,5,0.18409090909090908,0.03939393939393939
15,0,0.11818181818181818,0.003787878787878788
15,1,0.19545454545454546,0.003787878787878788
15,2,0.14696969696969697,0.009848484848484848
15,3,0.19166666666666668,0.020454545454545454
15,4,0.23636363636363636,0.025757575757575757
15,5,0.23636363636363636,0.03636363636363636
16,0,0.10303030303030303,0.003787878787878788
16,1,0.05606060606060606,0.005303030303030303
16,2,0.15,0.009848484848484848
16,3,0.22954545454545455,0.015909090909090907
16,4,0.19242424242424241,0.025757575757575757
16,5,0.1946969696969697,0.03939393939393939
17,0,0.13636363636363635,0.003787878787878788
17,1,0.14924242424242423,0.012121212121212121
17,2,0.15303030303030302,0.017424242424242425
17,3,0.23333333333333334,0.024242424242424242
17,4,0.25075757575757573,0.037121212121212124
17,5,0.2606060606060606,0.05075757575757576
18,0,0.08181818181818182,0.003787878787878788
18,1,0.15151515151515152,0.015909090909090907
18,2,0.23712121212121212,0.01893939393939394
18,3,0.2143939393939394,0.02878787878787879
18,4,0.12651515151515152,0.03939393939393939
18,5,0.14696969696969697,0.04090909090909091
19,0,0.12424242424242424,0.003787878787878788
19,1,0.09015151515151515,0.003787878787878788
19,2,0.11287878787878788,0.005303030303030303
19,3,0.045454545454545456,0.008333333333333333
19,4,0.03106060606060606,0.014393939393939395
19,5,0.038636363636363635,0.014393939393939395
20,0,0.15,0.003787878787878788
20,1,0.296969696969697,0.007575757575757576
20,2,0.1621212121212121,0.017424242424242425
20,3,0.16136363636363638,0.02878787878787879
20,4,0.28106060606060607,0.03787878787878788
20,5,0.30454545454545456,0.04924242424242424
21,0,0.10606060606060606,0.003787878787878788
21,1,0.14545454545454545,0.005303030303030303
21,2,0.21363636363636362,0.012121212121212121
21,3,0.2128787878787879,0.01893939393939394
21,4,0.1962121212121212,0.03106060606060606
21,5,0.1984848484848485,0.038636363636363635
22,0,0.19772727272727272,0.003787878787878788
22,1,0.10454545454545454,0.00909090909090909
22,2,0.14924242424242423,0.014393939393939395
22,3,0.23484848484848486,0.020454545454545454
22,4,0.22121212121212122,0.03333333333333333
22,5,0.18106060606060606,0.04621212121212121
23,0,0.20833333333333334,0.003787878787878788
23,1,0.09090909090909091,0.007575757575757576
23,2,0.12727272727272726,0.012878787878787878
23,3,0.28106060606060607,0.015909090909090907
