replicate,rank,top-1320 model,top-1320 acquired
1,0,0.0893939393939394,0.0
1,1,0.23333333333333334,0.003787878787878788
1,2,0.19090909090909092,0.011363636363636364
1,3,0.2356060606060606,0.02196969696969697
1,4,0.2545454545454545,0.03333333333333333
1,5,0.24545454545454545,0.0446969696969697
2,0,0.012878787878787878,0.0
2,1,0.02803030303030303,0.0
2,2,0.07045454545454545,0.0007575757575757576
2,3,0.05303030303030303,0.0007575757575757576
2,4,0.05075757575757576,0.0007575757575757576
2,5,0.058333333333333334,0.0030303030303030303
3,0,0.09772727272727273,0.0
3,1,0.07954545454545454,0.0022727272727272726
3,2,0.17424242424242425,0.0030303030303030303
3,3,0.11893939393939394,0.008333333333333333
3,4,0.07424242424242425,0.015909090909090907
3,5,0.10075757575757575,0.015909090909090907
4,0,0.0946969696969697,0.0
4,1,0.08181818181818182,0.0022727272727272726
4,2,0.09848484848484848,0.004545454545454545
4,3,0.16515151515151516,0.008333333333333333
4,4,0.19318181818181818,0.017424242424242425
4,5,0.1696969696969697,0.025757575757575757
5,0,0.09848484848484848,0.0
5,1,0.055303030303030305,0.0015151515151515152
5,2,0.11060606060606061,0.0030303030303030303
5,3,0.0856060606060606,0.008333333333333333
5,4,0.1159090909090909,0.008333333333333333
5,5,0.15833333333333333,0.008333333333333333
6,0,0.05454545454545454,0.0
6,1,0.10909090909090909,0.0007575757575757576
6,2,0.05909090909090909,0.003787878787878788
6,3,0.08257575757575758,0.006060606060606061
6,4,0.11515151515151516,0.007575757575757576
6,5,0.14015151515151514,0.011363636363636364
7,0,0.058333333333333334,0.0
7,1,0.07803030303030303,0.0
7,2,0.09242424242424242,0.0030303030303030303
7,3,0.10909090909090909,0.003787878787878788
7,4,0.1143939393939394,0.00909090909090909
7,5,0.12651515151515152,0.015151515151515152
8,0,0.0659090909090909,0.0
8,1,0.05454545454545454,0.0022727272727272726
8,2,0.06818181818181818,0.003787878787878788
8,3,0.1,0.006060606060606061
8,4,0.07348484848484849,0.008333333333333333
8,5,0.07878787878787878,0.010606060606060607
9,0,0.06742424242424243,0.0
9,1,0.14545454545454545,0.0007575757575757576
9,2,0.15606060606060607,0.003787878787878788
9,3,0.1803030303030303,0.008333333333333333
9,4,0.1803030303030303,0.013636363636363636
9,5,0.18106060606060606,0.01893939393939394
