replicate,rank,top-1320 model,top-1320 acquired
1,0,0.11515151515151516,0.0
1,1,0.06742424242424243,0.0007575757575757576
1,2,0.06515151515151515,0.003787878787878788
1,3,0.0803030303030303,0.006818181818181818
1,4,0.06666666666666667,0.009848484848484848
1,5,0.0856060606060606,0.012878787878787878
2,0,0.055303030303030305,0.0
2,1,0.07424242424242425,0.0007575757575757576
2,2,0.03636363636363636,0.0015151515151515152
2,3,0.06060606060606061,0.005303030303030303
2,4,0.07803030303030303,0.006818181818181818
2,5,0.16515151515151516,0.010606060606060607
3,0,0.07196969696969698,0.0
3,1,0.08106060606060606,0.0015151515151515152
3,2,0.11515151515151516,0.005303030303030303
3,3,0.1,0.009848484848484848
3,4,0.10757575757575757,0.012121212121212121
3,5,0.15151515151515152,0.017424242424242425
4,0,0.07575757575757576,0.0
4,1,0.15227272727272728,0.004545454545454545
4,2,0.19545454545454546,0.008333333333333333
4,3,0.19772727272727272,0.012878787878787878
4,4,0.14696969696969697,0.016666666666666666
4,5,0.20984848484848484,0.022727272727272728
5,0,0.1462121212121212,0.0
5,1,0.22272727272727272,0.0022727272727272726
5,2,0.12727272727272726,0.008333333333333333
5,3,0.17424242424242425,0.012121212121212121
5,4,0.1606060606060606,0.02727272727272727
5,5,0.15,0.03333333333333333
6,0,0.11287878787878788,0.0
6,1,0.09696969696969697,0.0022727272727272726
6,2,0.07196969696969698,0.007575757575757576
6,3,0.15151515151515152,0.012121212121212121
6,4,0.17803030303030304,0.016666666666666666
6,5,0.1984848484848485,0.025
7,0,0.1318181818181818,0.0
7,1,0.08636363636363636,0.0015151515151515152
7,2,0.09848484848484848,0.003787878787878788
7,3,0.0946969696969697,0.009848484848484848
7,4,0.10681818181818181,0.01818181818181818
7,5,0.20757575757575758,0.023484848484848483
8,0,0.048484848484848485,0.0
8,1,0.05909090909090909,0.0007575757575757576
8,2,0.15303030303030302,0.0030303030303030303
8,3,0.10378787878787879,0.007575757575757576
8,4,0.14015151515151514,0.010606060606060607
8,5,0.11969696969696969,0.012878787878787878
9,0,0.05378787878787879,0.0
9,1,0.030303030303030304,0.0007575757575757576
9,2,0.019696969696969695,0.0022727272727272726
9,3,0.03106060606060606,0.0022727272727272726
9,4,0.07424242424242425,0.0022727272727272726
9,5,0.03333333333333333,0.003787878787878788
10,0,0.10151515151515152,0.0
10,1,0.01818181818181818,0.0007575757575757576
10,2,0.07878787878787878,0.0015151515151515152
10,3,0.06893939393939394,0.003787878787878788
10,4,0.051515151515151514,0.007575757575757576
10,5,0.056818181818181816,0.008333333333333333
11,0,0.06287878787878788,0.0
11,1,0.07272727272727272,0.0022727272727272726
11,2,0.04621212121212121,0.006818181818181818
11,3,0.09772727272727273,0.007575757575757576
11,4,0.12045454545454545,0.009848484848484848
11,5,0.125,0.015909090909090907
12,0,0.08863636363636364,0.0
12,1,0.03484848484848485,0.0
12,2,0.06212121212121212,0.0015151515151515152
12,3,0.05227272727272727,0.0022727272727272726
12,4,0.04621212121212121,0.0030303030303030303
12,5,0.05075757575757576,0.008333333333333333
13,0,0.15075757575757576,0.0
13,1,0.2128787878787879,0.0022727272727272726
13,2,0.2037878787878788,0.00909090909090909
13,3,0.24393939393939393,0.015909090909090907
13,4,0.23712121212121212,0.026515151515151516
13,5,0.25075757575757573,0.03787878787878788
14,0,0.07424242424242425,0.0
14,1,0.09090909090909091,0.0015151515151515152
14,2,0.18181818181818182,0.003787878787878788
14,3,0.23484848484848486,0.009848484848484848
14,4,0.2924242424242424,0.02196969696969697
14,5,0.3143939393939394,0.03106060606060606
15,0,0.03106060606060606,0.0
15,1,0.055303030303030305,0.0015151515151515152
15,2,0.1734848484848485,0.0030303030303030303
15,3,0.17045454545454544,0.009848484848484848
15,4,0.16818181818181818,0.014393939393939395
15,5,0.16136363636363638,0.022727272727272728
16,0,0.08712121212121213,0.0
16,1,0.005303030303030303,0.0007575757575757576
16,2,0.05757575757575758,0.0007575757575757576
16,3,0.0803030303030303,0.0015151515151515152
16,4,0.09393939393939393,0.005303030303030303
16,5,0.15454545454545454,0.012121212121212121
17,0,0.07803030303030303,0.0
17,1,0.05227272727272727,0.0007575757575757576
17,2,0.03636363636363636,0.0015151515151515152
17,3,0.059848484848484845,0.0015151515151515152
17,4,0.04242424242424243,0.0015151515151515152
17,5,0.22575757575757577,0.006060606060606061
18,0,0.12196969696969696,0.0
18,1,0.14393939393939395,0.0022727272727272726
18,2,0.14469696969696969,0.003787878787878788
18,3,0.2553030303030303,0.007575757575757576
18,4,0.2636363636363636,0.016666666666666666
18,5,0.2159090909090909,0.022727272727272728
19,0,0.1803030303030303,0.0
19,1,0.1553030303030303,0.003787878787878788
19,2,0.2833333333333333,0.010606060606060607
19,3,0.24393939393939393,0.01893939393939394
19,4,0.175,0.03333333333333333
19,5,0.2356060606060606,0.03939393939393939
20,0,0.07348484848484849,0.0
20,1,0.10454545454545454,0.0022727272727272726
20,2,0.20227272727272727,0.005303030303030303
20,3,0.1765151515151515,0.013636363636363636
20,4,0.18257575757575759,0.022727272727272728
20,5,0.19696969696969696,0.03257575757575758
21,0,0.07803030303030303,0.0
21,1,0.03333333333333333,0.0
21,2,0.041666666666666664,0.0
21,3,0.09242424242424242,0.0015151515151515152
21,4,0.10757575757575757,0.0030303030303030303
21,5,0.12121212121212122,0.003787878787878788
22,0,0.12045454545454545,0.0
22,1,0.12651515151515152,0.0022727272727272726
22,2,0.16287878787878787,0.007575757575757576
22,3,0.16742424242424242,0.014393939393939395
22,4,0.14772727272727273,0.024242424242424242
22,5,0.16515151515151516,0.030303030303030304
23,0,0.06515151515151515,0.0
23,1,0.04772727272727273,0.0022727272727272726
23,2,0.06439393939393939,0.003787878787878788
23,3,0.1734848484848485,0.004545454545454545
23,4,0.14166666666666666,0.00909090909090909
23,5,0.1484848484848485,0.012878787878787878
24,0,0.04772727272727273,0.0
24,1,0.06439393939393939,0.0
24,2,0.04242424242424243,0.0
24,3,0.08106060606060606,0.0
24,4,0.07424242424242425,0.0015151515151515152
24,5,0.09242424242424242,0.007575757575757576
25,0,0.09015151515151515,0.0
25,1,0.07348484848484849,0.0015151515151515152
25,2,0.1318181818181818,0.0030303030303030303
25,3,0.1409090909090909,0.003787878787878788
25,4,0.15075757575757576,0.006060606060606061
25,5,0.15984848484848485,0.010606060606060607
26,0,0.1143939393939394,0.0007575757575757576
26,1,0.09318181818181819,0.0030303030303030303
26,2,0.06060606060606061,0.013636363636363636
26,3,0.1856060606060606,0.02196969696969697
26,4,0.09242424242424242,0.029545454545454545
26,5,0.18863636363636363,0.031818181818181815
27,0,0.08409090909090909,0.0
27,1,0.09545454545454546,0.0007575757575757576
27,2,0.08712121212121213,0.004545454545454545
27,3,0.07272727272727272,0.008333333333333333
27,4,0.07878787878787878,0.00909090909090909
27,5,0.2128787878787879,0.01893939393939394
28,0,0.14696969696969697,0.0
28,1,0.14924242424242423,0.0022727272727272726
28,2,0.15075757575757576,0.008333333333333333
28,3,0.10378787878787879,0.012878787878787878
28,4,0.10757575757575757,0.016666666666666666
28,5,0.15606060606060607,0.023484848484848483
29,0,0.12878787878787878,0.0
29,1,0.08787878787878788,0.0
29,2,0.09924242424242424,0.0
29,3,0.051515151515151514,0.0007575757575757576
29,4,0.05378787878787879,0.0022727272727272726
29,5,0.04242424242424243,0.004545454545454545
30,0,0.1303030303030303,0.0
30,1,0.016666666666666666,0.0
30,2,0.06515151515151515,0.0007575757575757576
30,3,0.012878787878787878,0.0022727272727272726
30,4,0.01893939393939394,0.0030303030303030303
30,5,0.038636363636363635,0.0030303030303030303
