replicate,rank,top-1320 model,top-1320 acquired
1,0,0.05303030303030303,0.0
1,1,0.09166666666666666,0.0015151515151515152
1,2,0.12045454545454545,0.003787878787878788
1,3,0.14242424242424243,0.011363636363636364
1,4,0.0946969696969697,0.020454545454545454
1,5,0.12424242424242424,0.02196969696969697
2,0,0.026515151515151516,0.0
2,1,0.048484848484848485,0.0007575757575757576
2,2,0.010606060606060607,0.0015151515151515152
2,3,0.041666666666666664,0.0015151515151515152
2,4,0.07575757575757576,0.0022727272727272726
2,5,0.1053030303030303,0.004545454545454545
3,0,0.12045454545454545,0.0
3,1,0.14924242424242423,0.0022727272727272726
3,2,0.07575757575757576,0.006060606060606061
3,3,0.16515151515151516,0.008333333333333333
3,4,0.13333333333333333,0.015151515151515152
3,5,0.18181818181818182,0.020454545454545454
4,0,0.058333333333333334,0.0
4,1,0.07651515151515151,0.0015151515151515152
4,2,0.025757575757575757,0.0022727272727272726
4,3,0.07651515151515151,0.0022727272727272726
4,4,0.15681818181818183,0.005303030303030303
4,5,0.1856060606060606,0.01818181818181818
5,0,0.038636363636363635,0.0
5,1,0.04242424242424243,0.0007575757575757576
5,2,0.12045454545454545,0.0022727272727272726
5,3,0.1712121212121212,0.007575757575757576
5,4,0.14242424242424243,0.012878787878787878
5,5,0.125,0.017424242424242425
6,0,0.14772727272727273,0.0
6,1,0.21136363636363636,0.006060606060606061
6,2,0.25757575757575757,0.015151515151515152
6,3,0.24772727272727274,0.02878787878787879
6,4,0.225,0.03409090909090909
6,5,0.2674242424242424,0.04090909090909091
7,0,0.06363636363636363,0.0
7,1,0.059848484848484845,0.0030303030303030303
7,2,0.1143939393939394,0.0030303030303030303
7,3,0.1606060606060606,0.006060606060606061
7,4,0.15454545454545454,0.009848484848484848
7,5,0.17272727272727273,0.016666666666666666
8,0,0.11212121212121212,0.0
8,1,0.11893939393939394,0.0030303030303030303
8,2,0.19242424242424241,0.008333333333333333
8,3,0.20075757575757575,0.013636363636363636
8,4,0.21136363636363636,0.01893939393939394
8,5,0.2106060606060606,0.025757575757575757
9,0,0.10378787878787879,0.0
9,1,0.12954545454545455,0.0007575757575757576
9,2,0.1856060606060606,0.007575757575757576
9,3,0.17196969696969697,0.015909090909090907
9,4,0.13560606060606062,0.021212121212121213
9,5,0.11893939393939394,0.02727272727272727
10,0,0.08333333333333333,0.0
10,1,0.07196969696969698,0.0030303030303030303
10,2,0.15757575757575756,0.0030303030303030303
10,3,0.15227272727272728,0.008333333333333333
10,4,0.20984848484848484,0.014393939393939395
10,5,0.22424242424242424,0.025757575757575757
11,0,0.10757575757575757,0.0
11,1,0.10681818181818181,0.0015151515151515152
11,2,0.13636363636363635,0.006060606060606061
11,3,0.13636363636363635,0.00909090909090909
11,4,0.16515151515151516,0.012878787878787878
11,5,0.19242424242424241,0.01893939393939394
12,0,0.1621212121212121,0.0
12,1,0.14696969696969697,0.006818181818181818
12,2,0.22121212121212122,0.013636363636363636
12,3,0.16590909090909092,0.019696969696969695
12,4,0.09924242424242424,0.02196969696969697
12,5,0.17424242424242425,0.026515151515151516
13,0,0.08409090909090909,0.0
13,1,0.04090909090909091,0.0030303030303030303
13,2,0.16666666666666666,0.003787878787878788
13,3,0.1787878787878788,0.011363636363636364
13,4,0.16818181818181818,0.016666666666666666
13,5,0.17424242424242425,0.022727272727272728
14,0,0.08409090909090909,0.0
14,1,0.1143939393939394,0.0015151515151515152
14,2,0.1803030303030303,0.009848484848484848
14,3,0.22121212121212122,0.015151515151515152
14,4,0.22803030303030303,0.026515151515151516
14,5,0.24242424242424243,0.04015151515151515
15,0,0.08106060606060606,0.0
15,1,0.14393939393939395,0.0015151515151515152
15,2,0.21136363636363636,0.003787878787878788
15,3,0.20227272727272727,0.013636363636363636
15,4,0.2053030303030303,0.023484848484848483
15,5,0.1643939393939394,0.03257575757575758
16,0,0.06742424242424243,0.0
16,1,0.11818181818181818,0.0015151515151515152
16,2,0.1553030303030303,0.003787878787878788
16,3,0.12727272727272726,0.009848484848484848
16,4,0.14166666666666666,0.015151515151515152
16,5,0.19015151515151515,0.021212121212121213
17,0,0.021212121212121213,0.0
17,1,0.017424242424242425,0.0007575757575757576
17,2,0.07196969696969698,0.0007575757575757576
17,3,0.06439393939393939,0.0015151515151515152
17,4,0.05757575757575758,0.0015151515151515152
17,5,0.05454545454545454,0.0022727272727272726
18,0,0.14696969696969697,0.0
18,1,0.18333333333333332,0.00909090909090909
18,2,0.11060606060606061,0.015151515151515152
18,3,0.15757575757575756,0.01818181818181818
18,4,0.19393939393939394,0.023484848484848483
18,5,0.16666666666666666,0.03333333333333333
19,0,0.10378787878787879,0.0
19,1,0.15984848484848485,0.0022727272727272726
19,2,0.2318181818181818,0.005303030303030303
19,3,0.18409090909090908,0.017424242424242425
19,4,0.18257575757575759,0.022727272727272728
19,5,0.1984848484848485,0.03257575757575758
20,0,0.13560606060606062,0.0
20,1,0.1143939393939394,0.003787878787878788
20,2,0.19166666666666668,0.009848484848484848
20,3,0.21666666666666667,0.022727272727272728
20,4,0.1962121212121212,0.03106060606060606
20,5,0.20757575757575758,0.03939393939393939
21,0,0.09090909090909091,0.0
21,1,0.09621212121212121,0.0015151515151515152
21,2,0.1431818181818182,0.005303030303030303
21,3,0.1856060606060606,0.016666666666666666
21,4,0.2318181818181818,0.026515151515151516
21,5,0.22954545454545455,0.035606060606060606
22,0,0.06363636363636363,0.0
22,1,0.0803030303030303,0.0
22,2,0.07651515151515151,0.0022727272727272726
22,3,0.12424242424242424,0.005303030303030303
22,4,0.17045454545454544,0.011363636363636364
22,5,0.175,0.01893939393939394
23,0,0.10984848484848485,0.0
23,1,0.14924242424242423,0.0030303030303030303
23,2,0.14924242424242423,0.009848484848484848
23,3,0.15,0.021212121212121213
23,4,0.10606060606060606,0.03257575757575758
23,5,0.17196969696969697,0.03939393939393939
24,0,0.15151515151515152,0.0
24,1,0.18257575757575759,0.0030303030303030303
24,2,0.15075757575757576,0.012121212121212121
24,3,0.18333333333333332,0.01893939393939394
24,4,0.18787878787878787,0.029545454545454545
24,5,0.2340909090909091,0.03787878787878788
25,0,0.06515151515151515,0.0
25,1,0.10909090909090909,0.0030303030303030303
25,2,0.24621212121212122,0.005303030303030303
25,3,0.23863636363636365,0.011363636363636364
25,4,0.15984848484848485,0.016666666666666666
25,5,0.18636363636363637,0.021212121212121213
26,0,0.1643939393939394,0.0007575757575757576
26,1,0.20454545454545456,0.006818181818181818
26,2,0.18787878787878787,0.017424242424242425
26,3,0.16742424242424242,0.026515151515151516
26,4,0.1765151515151515,0.03787878787878788
26,5,0.2037878787878788,0.045454545454545456
27,0,0.07803030303030303,0.0
27,1,0.08636363636363636,0.0022727272727272726
27,2,0.1409090909090909,0.006818181818181818
27,3,0.16666666666666666,0.012121212121212121
27,4,0.15833333333333333,0.021212121212121213
27,5,0.20984848484848484,0.02727272727272727
28,0,0.11212121212121212,0.0
28,1,0.175,0.0022727272727272726
28,2,0.20909090909090908,0.012878787878787878
28,3,0.1696969696969697,0.025757575757575757
28,4,0.11515151515151516,0.03409090909090909
28,5,0.17954545454545454,0.03939393939393939
29,0,0.05,0.0
29,1,0.041666666666666664,0.0015151515151515152
29,2,0.09318181818181819,0.0015151515151515152
29,3,0.11212121212121212,0.0030303030303030303
29,4,0.1856060606060606,0.008333333333333333
29,5,0.18333333333333332,0.013636363636363636
30,0,0.06666666666666667,0.0
30,1,0.04621212121212121,0.0
30,2,0.13712121212121212,0.0007575757575757576
30,3,0.11287878787878788,0.006060606060606061
30,4,0.14242424242424243,0.011363636363636364
30,5,0.19545454545454546,0.015151515151515152
