replicate,rank,top-1320 model,top-1320 acquired
1,0,0.12878787878787878,0.0
1,1,0.14772727272727273,0.003787878787878788
1,2,0.11666666666666667,0.008333333333333333
1,3,0.1696969696969697,0.015151515151515152
1,4,0.19090909090909092,0.019696969696969695
1,5,0.22803030303030303,0.022727272727272728
2,0,0.012878787878787878,0.0
2,1,0.020454545454545454,0.0
2,2,0.05909090909090909,0.0
2,3,0.15303030303030302,0.0022727272727272726
2,4,0.1856060606060606,0.006818181818181818
2,5,0.15606060606060607,0.012121212121212121
3,0,0.04924242424242424,0.0
3,1,0.015151515151515152,0.0
3,2,0.06666666666666667,0.0007575757575757576
3,3,0.12045454545454545,0.003787878787878788
3,4,0.1484848484848485,0.011363636363636364
3,5,0.16818181818181818,0.013636363636363636
4,0,0.06439393939393939,0.0
4,1,0.0946969696969697,0.0007575757575757576
4,2,0.15227272727272728,0.006818181818181818
4,3,0.11742424242424243,0.008333333333333333
4,4,0.11742424242424243,0.011363636363636364
4,5,0.11515151515151516,0.015909090909090907
5,0,0.04318181818181818,0.0
5,1,0.06818181818181818,0.0007575757575757576
5,2,0.04621212121212121,0.0022727272727272726
5,3,0.0946969696969697,0.0022727272727272726
5,4,0.08636363636363636,0.004545454545454545
5,5,0.09318181818181819,0.009848484848484848
6,0,0.05075757575757576,0.0
6,1,0.20909090909090908,0.0007575757575757576
6,2,0.2431818181818182,0.008333333333333333
6,3,0.21136363636363636,0.019696969696969695
6,4,0.2037878787878788,0.031818181818181815
6,5,0.20454545454545456,0.038636363636363635
7,0,0.08787878787878788,0.0
7,1,0.07727272727272727,0.0015151515151515152
7,2,0.14696969696969697,0.004545454545454545
7,3,0.13636363636363635,0.008333333333333333
7,4,0.11363636363636363,0.01818181818181818
7,5,0.1303030303030303,0.019696969696969695
8,0,0.041666666666666664,0.0
8,1,0.0803030303030303,0.0030303030303030303
8,2,0.19393939393939394,0.004545454545454545
8,3,0.2053030303030303,0.016666666666666666
8,4,0.2696969696969697,0.022727272727272728
8,5,0.2340909090909091,0.03484848484848485
9,0,0.058333333333333334,0.0
9,1,0.08484848484848485,0.0007575757575757576
9,2,0.08484848484848485,0.0022727272727272726
9,3,0.12121212121212122,0.009848484848484848
9,4,0.1303030303030303,0.012121212121212121
9,5,0.16287878787878787,0.01893939393939394
10,0,0.05303030303030303,0.0
10,1,0.05378787878787879,0.0
10,2,0.08409090909090909,0.0
10,3,0.09772727272727273,0.0015151515151515152
10,4,0.10984848484848485,0.0030303030303030303
10,5,0.09621212121212121,0.006060606060606061
11,0,0.09393939393939393,0.0
11,1,0.17196969696969697,0.0022727272727272726
11,2,0.20075757575757575,0.005303030303030303
11,3,0.1303030303030303,0.013636363636363636
11,4,0.10075757575757575,0.020454545454545454
11,5,0.23333333333333334,0.025757575757575757
12,0,0.1734848484848485,0.0
12,1,0.17196969696969697,0.003787878787878788
12,2,0.12196969696969696,0.013636363636363636
12,3,0.1621212121212121,0.021212121212121213
12,4,0.22424242424242424,0.02727272727272727
12,5,0.20075757575757575,0.04090909090909091
13,0,0.03787878787878788,0.0
13,1,0.11666666666666667,0.0007575757575757576
13,2,0.27121212121212124,0.004545454545454545
13,3,0.24924242424242424,0.015909090909090907
13,4,0.26590909090909093,0.02803030303030303
13,5,0.25833333333333336,0.03787878787878788
14,0,0.04924242424242424,0.0
14,1,0.09848484848484848,0.0007575757575757576
14,2,0.13787878787878788,0.0015151515151515152
14,3,0.13787878787878788,0.003787878787878788
14,4,0.12954545454545455,0.006060606060606061
14,5,0.16742424242424242,0.011363636363636364
15,0,0.14924242424242423,0.0
15,1,0.17196969696969697,0.0022727272727272726
15,2,0.2431818181818182,0.006818181818181818
15,3,0.22348484848484848,0.016666666666666666
15,4,0.24015151515151514,0.026515151515151516
15,5,0.21136363636363636,0.03636363636363636
16,0,0.07803030303030303,0.0
16,1,0.0893939393939394,0.0015151515151515152
16,2,0.11060606060606061,0.004545454545454545
16,3,0.17424242424242425,0.006060606060606061
16,4,0.1553030303030303,0.015909090909090907
16,5,0.16893939393939394,0.025757575757575757
17,0,0.06363636363636363,0.0
17,1,0.14015151515151514,0.0022727272727272726
17,2,0.08712121212121213,0.004545454545454545
17,3,0.08712121212121213,0.004545454545454545
17,4,0.07878787878787878,0.007575757575757576
17,5,0.1803030303030303,0.009848484848484848
18,0,0.0856060606060606,0.0
18,1,0.051515151515151514,0.0022727272727272726
18,2,0.09848484848484848,0.0030303030303030303
18,3,0.10984848484848485,0.003787878787878788
18,4,0.10151515151515152,0.007575757575757576
18,5,0.14166666666666666,0.009848484848484848
19,0,0.08863636363636364,0.0
19,1,0.04924242424242424,0.0022727272727272726
19,2,0.1303030303030303,0.003787878787878788
19,3,0.20075757575757575,0.005303030303030303
19,4,0.2159090909090909,0.012121212121212121
19,5,0.21363636363636362,0.01893939393939394
20,0,0.18333333333333332,0.0
20,1,0.11742424242424243,0.007575757575757576
20,2,0.18333333333333332,0.012878787878787878
20,3,0.21818181818181817,0.022727272727272728
20,4,0.20984848484848484,0.030303030303030304
20,5,0.2053030303030303,0.038636363636363635
21,0,0.07196969696969698,0.0
21,1,0.08863636363636364,0.0
21,2,0.09393939393939393,0.003787878787878788
21,3,0.1643939393939394,0.006060606060606061
21,4,0.16818181818181818,0.010606060606060607
21,5,0.18863636363636363,0.01818181818181818
22,0,0.0659090909090909,0.0
22,1,0.12727272727272726,0.0
22,2,0.15833333333333333,0.006818181818181818
22,3,0.16515151515151516,0.012878787878787878
22,4,0.18106060606060606,0.021212121212121213
22,5,0.12954545454545455,0.02727272727272727
23,0,0.1462121212121212,0.0
23,1,0.15,0.004545454545454545
23,2,0.18257575757575759,0.010606060606060607
23,3,0.16287878787878787,0.016666666666666666
23,4,0.1962121212121212,0.023484848484848483
23,5,0.18787878787878787,0.035606060606060606
24,0,0.08787878787878788,0.0
24,1,0.08106060606060606,0.0015151515151515152
24,2,0.09015151515151515,0.0015151515151515152
24,3,0.09166666666666666,0.004545454545454545
24,4,0.12348484848484849,0.006818181818181818
24,5,0.13484848484848486,0.009848484848484848
25,0,0.012121212121212121,0.0
25,1,0.0893939393939394,0.0
25,2,0.11666666666666667,0.0030303030303030303
25,3,0.0696969696969697,0.006060606060606061
25,4,0.11969696969696969,0.006060606060606061
25,5,0.12878787878787878,0.012121212121212121
26,0,0.1462121212121212,0.0
26,1,0.08863636363636364,0.005303030303030303
26,2,0.13787878787878788,0.011363636363636364
