replicate,rank,top-1320 model,top-1320 acquired
1,0,0.015151515151515152,0.0
1,1,0.04318181818181818,0.0007575757575757576
1,2,0.07651515151515151,0.004545454545454545
1,3,0.08636363636363636,0.008333333333333333
1,4,0.08863636363636364,0.012878787878787878
1,5,0.09166666666666666,0.019696969696969695
2,0,0.022727272727272728,0.0
2,1,0.031818181818181815,0.0
2,2,0.026515151515151516,0.0015151515151515152
2,3,0.11666666666666667,0.0015151515151515152
2,4,0.1340909090909091,0.0022727272727272726
2,5,0.18787878787878787,0.004545454545454545
3,0,0.11363636363636363,0.0
3,1,0.17196969696969697,0.0015151515151515152
3,2,0.12196969696969696,0.007575757575757576
3,3,0.16742424242424242,0.012878787878787878
3,4,0.24015151515151514,0.020454545454545454
3,5,0.1856060606060606,0.030303030303030304
4,0,0.05909090909090909,0.0
4,1,0.04924242424242424,0.0007575757575757576
4,2,0.10227272727272728,0.0022727272727272726
4,3,0.08636363636363636,0.004545454545454545
4,4,0.11969696969696969,0.005303030303030303
4,5,0.12727272727272726,0.00909090909090909
5,0,0.10378787878787879,0.0
5,1,0.025,0.0
5,2,0.075,0.0
5,3,0.05454545454545454,0.0015151515151515152
5,4,0.09545454545454546,0.003787878787878788
5,5,0.125,0.009848484848484848
6,0,0.06515151515151515,0.0
6,1,0.1318181818181818,0.0
6,2,0.10378787878787879,0.0030303030303030303
6,3,0.13712121212121212,0.006060606060606061
6,4,0.15606060606060607,0.008333333333333333
6,5,0.13484848484848486,0.013636363636363636
7,0,0.04242424242424243,0.0
7,1,0.02727272727272727,0.0007575757575757576
7,2,0.04242424242424243,0.0022727272727272726
7,3,0.03636363636363636,0.003787878787878788
7,4,0.05378787878787879,0.004545454545454545
7,5,0.06136363636363636,0.006818181818181818
8,0,0.035606060606060606,0.0
8,1,0.038636363636363635,0.0007575757575757576
8,2,0.12727272727272726,0.0007575757575757576
8,3,0.1553030303030303,0.005303030303030303
8,4,0.17424242424242425,0.00909090909090909
8,5,0.1484848484848485,0.015151515151515152
9,0,0.05606060606060606,0.0
9,1,0.10303030303030303,0.0015151515151515152
9,2,0.0893939393939394,0.004545454545454545
9,3,0.14242424242424243,0.007575757575757576
9,4,0.14469696969696969,0.011363636363636364
9,5,0.175,0.014393939393939395
10,0,0.0696969696969697,0.0
10,1,0.15151515151515152,0.0015151515151515152
10,2,0.11969696969696969,0.0030303030303030303
10,3,0.12651515151515152,0.008333333333333333
10,4,0.12348484848484849,0.012121212121212121
10,5,0.12121212121212122,0.012121212121212121
11,0,0.030303030303030304,0.0
11,1,0.09772727272727273,0.0015151515151515152
11,2,0.0946969696969697,0.004545454545454545
11,3,0.07878787878787878,0.006818181818181818
11,4,0.11212121212121212,0.009848484848484848
11,5,0.1053030303030303,0.012878787878787878
12,0,0.09090909090909091,0.0
12,1,0.09848484848484848,0.003787878787878788
12,2,0.1621212121212121,0.008333333333333333
12,3,0.17424242424242425,0.015151515151515152
12,4,0.22424242424242424,0.020454545454545454
12,5,0.2340909090909091,0.030303030303030304
13,0,0.11818181818181818,0.0
13,1,0.1340909090909091,0.003787878787878788
13,2,0.13712121212121212,0.009848484848484848
13,3,0.12424242424242424,0.015151515151515152
13,4,0.18257575757575759,0.020454545454545454
13,5,0.2196969696969697,0.02878787878787879
14,0,0.09090909090909091,0.0
14,1,0.09621212121212121,0.010606060606060607
14,2,0.1,0.017424242424242425
14,3,0.07424242424242425,0.019696969696969695
14,4,0.07272727272727272,0.019696969696969695
14,5,0.11363636363636363,0.019696969696969695
15,0,0.10681818181818181,0.0
15,1,0.1143939393939394,0.0022727272727272726
15,2,0.09545454545454546,0.003787878787878788
15,3,0.09621212121212121,0.005303030303030303
15,4,0.09242424242424242,0.006818181818181818
15,5,0.14393939393939395,0.008333333333333333
16,0,0.10454545454545454,0.0
16,1,0.07651515151515151,0.0015151515151515152
16,2,0.10984848484848485,0.0030303030303030303
16,3,0.11212121212121212,0.003787878787878788
16,4,0.20454545454545456,0.008333333333333333
16,5,0.18636363636363637,0.01818181818181818
17,0,0.08636363636363636,0.0
17,1,0.07045454545454545,0.003787878787878788
17,2,0.13712121212121212,0.005303030303030303
17,3,0.18787878787878787,0.010606060606060607
17,4,0.1803030303030303,0.021212121212121213
17,5,0.2037878787878788,0.02878787878787879
18,0,0.21818181818181817,0.0
18,1,0.225,0.006818181818181818
18,2,0.21515151515151515,0.021212121212121213
18,3,0.055303030303030305,0.026515151515151516
18,4,0.1856060606060606,0.02727272727272727
18,5,0.20303030303030303,0.03636363636363636
19,0,0.06287878787878788,0.0
19,1,0.07651515151515151,0.0007575757575757576
19,2,0.1393939393939394,0.006060606060606061
19,3,0.1553030303030303,0.015909090909090907
19,4,0.16818181818181818,0.02878787878787879
19,5,0.13636363636363635,0.04015151515151515
20,0,0.075,0.0
20,1,0.035606060606060606,0.0007575757575757576
20,2,0.051515151515151514,0.0015151515151515152
20,3,0.0803030303030303,0.005303030303030303
20,4,0.08106060606060606,0.006818181818181818
20,5,0.07727272727272727,0.007575757575757576
21,0,0.09696969696969697,0.0
21,1,0.13636363636363635,0.0030303030303030303
21,2,0.15227272727272728,0.004545454545454545
21,3,0.19090909090909092,0.00909090909090909
21,4,0.13863636363636364,0.017424242424242425
21,5,0.17954545454545454,0.020454545454545454
22,0,0.07651515151515151,0.0
22,1,0.13106060606060607,0.0007575757575757576
22,2,0.09924242424242424,0.003787878787878788
22,3,0.11818181818181818,0.004545454545454545
22,4,0.13484848484848486,0.006818181818181818
22,5,0.17045454545454544,0.011363636363636364
23,0,0.16590909090909092,0.0
23,1,0.1431818181818182,0.004545454545454545
