replicate,rank,top-1320 model,top-1320 acquired
1,0,0.13257575757575757,0.0
1,1,0.02196969696969697,0.0
1,2,0.07045454545454545,0.0007575757575757576
1,3,0.10303030303030303,0.00909090909090909
1,4,0.14015151515151514,0.012878787878787878
1,5,0.08409090909090909,0.015151515151515152
2,0,0.06287878787878788,0.0
2,1,0.11212121212121212,0.0
2,2,0.15,0.006060606060606061
2,3,0.24924242424242424,0.012121212121212121
2,4,0.23484848484848486,0.01818181818181818
2,5,0.20681818181818182,0.03106060606060606
3,0,0.17045454545454544,0.0
3,1,0.05227272727272727,0.003787878787878788
3,2,0.07121212121212121,0.005303030303030303
3,3,0.11287878787878788,0.008333333333333333
3,4,0.06666666666666667,0.012121212121212121
3,5,0.09318181818181819,0.013636363636363636
4,0,0.11060606060606061,0.0
4,1,0.1484848484848485,0.008333333333333333
4,2,0.1409090909090909,0.012878787878787878
4,3,0.19015151515151515,0.016666666666666666
4,4,0.1984848484848485,0.02196969696969697
4,5,0.17424242424242425,0.03484848484848485
5,0,0.06363636363636363,0.0
5,1,0.04090909090909091,0.0
5,2,0.10681818181818181,0.0
5,3,0.12348484848484849,0.0015151515151515152
5,4,0.17954545454545454,0.004545454545454545
5,5,0.11212121212121212,0.01818181818181818
6,0,0.20454545454545456,0.0
6,1,0.11818181818181818,0.005303030303030303
6,2,0.18863636363636363,0.010606060606060607
6,3,0.14696969696969697,0.02196969696969697
6,4,0.20984848484848484,0.025757575757575757
6,5,0.20833333333333334,0.037121212121212124
7,0,0.11060606060606061,0.0
7,1,0.10984848484848485,0.0022727272727272726
7,2,0.11666666666666667,0.005303030303030303
7,3,0.14015151515151514,0.006060606060606061
7,4,0.20606060606060606,0.012878787878787878
7,5,0.26212121212121214,0.02196969696969697
8,0,0.13636363636363635,0.0
8,1,0.04696969696969697,0.003787878787878788
8,2,0.10378787878787879,0.003787878787878788
8,3,0.07121212121212121,0.006060606060606061
8,4,0.08409090909090909,0.011363636363636364
8,5,0.1143939393939394,0.017424242424242425
9,0,0.11212121212121212,0.0
9,1,0.16742424242424242,0.0030303030303030303
9,2,0.1803030303030303,0.004545454545454545
9,3,0.1787878787878788,0.014393939393939395
9,4,0.18257575757575759,0.021212121212121213
9,5,0.17954545454545454,0.031818181818181815
10,0,0.1553030303030303,0.0
