replicate,rank,top-1320 model,top-1320 acquired
1,0,0.024242424242424242,0.0
1,1,0.038636363636363635,0.0007575757575757576
1,2,0.03939393939393939,0.0030303030303030303
1,3,0.06136363636363636,0.003787878787878788
1,4,0.037121212121212124,0.006818181818181818
1,5,0.035606060606060606,0.008333333333333333
2,0,0.029545454545454545,0.0
2,1,0.10833333333333334,0.0007575757575757576
2,2,0.09621212121212121,0.003787878787878788
2,3,0.1621212121212121,0.00909090909090909
2,4,0.15984848484848485,0.015151515151515152
2,5,0.15378787878787878,0.024242424242424242
3,0,0.05,0.0
3,1,0.038636363636363635,0.0007575757575757576
3,2,0.04393939393939394,0.0007575757575757576
3,3,0.08106060606060606,0.0007575757575757576
3,4,0.07651515151515151,0.0030303030303030303
3,5,0.06136363636363636,0.006818181818181818
4,0,0.11060606060606061,0.0
4,1,0.18333333333333332,0.004545454545454545
4,2,0.14772727272727273,0.013636363636363636
4,3,0.15378787878787878,0.01818181818181818
4,4,0.15,0.021212121212121213
4,5,0.16666666666666666,0.02196969696969697
5,0,0.03939393939393939,0.0
5,1,0.09772727272727273,0.0
5,2,0.03106060606060606,0.0030303030303030303
5,3,0.03106060606060606,0.0030303030303030303
5,4,0.06666666666666667,0.003787878787878788
5,5,0.04318181818181818,0.004545454545454545
6,0,0.059848484848484845,0.0
6,1,0.07121212121212121,0.0007575757575757576
6,2,0.09848484848484848,0.0015151515151515152
6,3,0.11212121212121212,0.0022727272727272726
6,4,0.10075757575757575,0.007575757575757576
6,5,0.10454545454545454,0.010606060606060607
7,0,0.015909090909090907,0.0
7,1,0.041666666666666664,0.0
7,2,0.041666666666666664,0.0
7,3,0.07878787878787878,0.0007575757575757576
7,4,0.05606060606060606,0.0015151515151515152
7,5,0.03484848484848485,0.0022727272727272726
8,0,0.035606060606060606,0.0
8,1,0.06363636363636363,0.0022727272727272726
8,2,0.10606060606060606,0.003787878787878788
8,3,0.06666666666666667,0.007575757575757576
8,4,0.1318181818181818,0.008333333333333333
8,5,0.09621212121212121,0.012121212121212121
9,0,0.07121212121212121,0.0
