replicate,rank,top-1320 model,top-1320 acquired
1,0,0.021212121212121213,0.0
1,1,0.04015151515151515,0.0007575757575757576
1,2,0.037121212121212124,0.0030303030303030303
1,3,0.05227272727272727,0.005303030303030303
1,4,0.055303030303030305,0.006818181818181818
1,5,0.09621212121212121,0.009848484848484848
2,0,0.016666666666666666,0.0
2,1,0.012121212121212121,0.0
2,2,0.0022727272727272726,0.0
2,3,0.007575757575757576,0.0
2,4,0.025757575757575757,0.0007575757575757576
2,5,0.031818181818181815,0.0015151515151515152
3,0,0.045454545454545456,0.0
3,1,0.06212121212121212,0.0
3,2,0.09848484848484848,0.006818181818181818
3,3,0.12878787878787878,0.011363636363636364
3,4,0.1053030303030303,0.01893939393939394
3,5,0.10227272727272728,0.026515151515151516
4,0,0.026515151515151516,0.0
4,1,0.05,0.0
4,2,0.13560606060606062,0.0015151515151515152
4,3,0.16287878787878787,0.008333333333333333
4,4,0.16666666666666666,0.014393939393939395
4,5,0.2053030303030303,0.023484848484848483
5,0,0.055303030303030305,0.0
5,1,0.12196969696969696,0.0015151515151515152
5,2,0.09166666666666666,0.005303030303030303
5,3,0.0803030303030303,0.009848484848484848
5,4,0.15303030303030302,0.017424242424242425
5,5,0.14015151515151514,0.023484848484848483
6,0,0.026515151515151516,0.0
6,1,0.04318181818181818,0.0007575757575757576
6,2,0.07954545454545454,0.0007575757575757576
6,3,0.09772727272727273,0.003787878787878788
6,4,0.07348484848484849,0.009848484848484848
6,5,0.0803030303030303,0.012878787878787878
7,0,0.04621212121212121,0.0
7,1,0.09015151515151515,0.0
7,2,0.0946969696969697,0.003787878787878788
7,3,0.12045454545454545,0.009848484848484848
7,4,0.1143939393939394,0.02196969696969697
7,5,0.11287878787878788,0.026515151515151516
8,0,0.015151515151515152,0.0
8,1,0.02196969696969697,0.0007575757575757576
8,2,0.07878787878787878,0.0030303030303030303
8,3,0.08181818181818182,0.003787878787878788
8,4,0.12424242424242424,0.00909090909090909
8,5,0.12348484848484849,0.011363636363636364
9,0,0.04242424242424243,0.0
9,1,0.04242424242424243,0.0
9,2,0.04393939393939394,0.0015151515151515152
9,3,0.04924242424242424,0.003787878787878788
9,4,0.038636363636363635,0.007575757575757576
9,5,0.035606060606060606,0.008333333333333333
10,0,0.023484848484848483,0.0
10,1,0.055303030303030305,0.0
10,2,0.09015151515151515,0.0022727272727272726
10,3,0.07878787878787878,0.006818181818181818
10,4,0.08484848484848485,0.009848484848484848
10,5,0.2265151515151515,0.014393939393939395
11,0,0.12727272727272726,0.0
11,1,0.08484848484848485,0.0015151515151515152
11,2,0.12651515151515152,0.005303030303030303
11,3,0.10681818181818181,0.011363636363636364
11,4,0.11287878787878788,0.014393939393939395
11,5,0.09090909090909091,0.02196969696969697
12,0,0.06893939393939394,0.0
12,1,0.11287878787878788,0.0030303030303030303
12,2,0.16742424242424242,0.007575757575757576
12,3,0.16363636363636364,0.017424242424242425
12,4,0.15151515151515152,0.022727272727272728
12,5,0.1318181818181818,0.030303030303030304
13,0,0.07272727272727272,0.0
13,1,0.05303030303030303,0.0030303030303030303
