replicate,rank,top-1320 model,top-1320 acquired
1,0,0.021212121212121213,0.0
1,1,0.04318181818181818,0.0007575757575757576
1,2,0.03257575757575758,0.0030303030303030303
1,3,0.0446969696969697,0.005303030303030303
1,4,0.029545454545454545,0.006060606060606061
1,5,0.07121212121212121,0.008333333333333333
2,0,0.016666666666666666,0.0
2,1,0.012121212121212121,0.0
2,2,0.006060606060606061,0.0007575757575757576
2,3,0.015909090909090907,0.0007575757575757576
2,4,0.00909090909090909,0.0022727272727272726
2,5,0.009848484848484848,0.003787878787878788
3,0,0.045454545454545456,0.0
3,1,0.06287878787878788,0.0
3,2,0.10833333333333334,0.003787878787878788
3,3,0.1712121212121212,0.007575757575757576
3,4,0.18257575757575759,0.01818181818181818
3,5,0.16590909090909092,0.02803030303030303
4,0,0.026515151515151516,0.0
4,1,0.051515151515151514,0.0
4,2,0.09318181818181819,0.0015151515151515152
4,3,0.12878787878787878,0.005303030303030303
4,4,0.1159090909090909,0.012121212121212121
4,5,0.1962121212121212,0.019696969696969695
5,0,0.055303030303030305,0.0
5,1,0.13863636363636364,0.0015151515151515152
5,2,0.12272727272727273,0.005303030303030303
5,3,0.1318181818181818,0.00909090909090909
5,4,0.11666666666666667,0.01818181818181818
5,5,0.11136363636363636,0.01893939393939394
6,0,0.026515151515151516,0.0
6,1,0.04696969696969697,0.0007575757575757576
6,2,0.08787878787878788,0.0007575757575757576
6,3,0.12803030303030302,0.0030303030303030303
6,4,0.17272727272727273,0.00909090909090909
6,5,0.1553030303030303,0.016666666666666666
7,0,0.04621212121212121,0.0
7,1,0.09545454545454546,0.0
7,2,0.10606060606060606,0.0022727272727272726
7,3,0.1462121212121212,0.012121212121212121
7,4,0.1143939393939394,0.014393939393939395
7,5,0.11515151515151516,0.01893939393939394
8,0,0.015151515151515152,0.0
8,1,0.023484848484848483,0.0007575757575757576
8,2,0.048484848484848485,0.0022727272727272726
8,3,0.025,0.0022727272727272726
8,4,0.06742424242424243,0.0022727272727272726
8,5,0.09090909090909091,0.003787878787878788
9,0,0.04242424242424243,0.0
9,1,0.03636363636363636,0.0
9,2,0.07121212121212121,0.0022727272727272726
9,3,0.08333333333333333,0.003787878787878788
9,4,0.10757575757575757,0.006818181818181818
9,5,0.1962121212121212,0.015151515151515152
10,0,0.023484848484848483,0.0
10,1,0.059848484848484845,0.0
10,2,0.08787878787878788,0.0030303030303030303
10,3,0.11363636363636363,0.006060606060606061
10,4,0.14545454545454545,0.00909090909090909
10,5,0.25757575757575757,0.012121212121212121
11,0,0.12727272727272726,0.0
11,1,0.0946969696969697,0.0015151515151515152
11,2,0.12878787878787878,0.003787878787878788
11,3,0.07272727272727272,0.006060606060606061
11,4,0.056818181818181816,0.009848484848484848
11,5,0.06136363636363636,0.014393939393939395
12,0,0.06893939393939394,0.0
12,1,0.11287878787878788,0.0030303030303030303
12,2,0.1606060606060606,0.006818181818181818
12,3,0.20454545454545456,0.015151515151515152
12,4,0.1484848484848485,0.021212121212121213
12,5,0.14469696969696969,0.026515151515151516
13,0,0.07272727272727272,0.0
13,1,0.051515151515151514,0.0030303030303030303
13,2,0.05378787878787879,0.011363636363636364
13,3,0.10151515151515152,0.015909090909090907
13,4,0.09393939393939393,0.020454545454545454
13,5,0.09696969696969697,0.02196969696969697
14,0,0.030303030303030304,0.0
14,1,0.021212121212121213,0.0
14,2,0.04090909090909091,0.0
14,3,0.035606060606060606,0.0
14,4,0.03636363636363636,0.0007575757575757576
14,5,0.05075757575757576,0.0030303030303030303
15,0,0.03106060606060606,0.0
15,1,0.1,0.0007575757575757576
15,2,0.051515151515151514,0.003787878787878788
15,3,0.038636363636363635,0.005303030303030303
15,4,0.07272727272727272,0.007575757575757576
15,5,0.06212121212121212,0.00909090909090909
16,0,0.04318181818181818,0.0
16,1,0.11969696969696969,0.0015151515151515152
16,2,0.09772727272727273,0.005303030303030303
16,3,0.059848484848484845,0.014393939393939395
16,4,0.20227272727272727,0.022727272727272728
16,5,0.19015151515151515,0.03333333333333333
17,0,0.02803030303030303,0.0
17,1,0.04621212121212121,0.0007575757575757576
17,2,0.08484848484848485,0.0015151515151515152
17,3,0.11893939393939394,0.003787878787878788
17,4,0.16363636363636364,0.009848484848484848
17,5,0.12727272727272726,0.01893939393939394
18,0,0.09848484848484848,0.0
18,1,0.09545454545454546,0.004545454545454545
18,2,0.25757575757575757,0.011363636363636364
18,3,0.21212121212121213,0.019696969696969695
18,4,0.21666666666666667,0.030303030303030304
18,5,0.1621212121212121,0.03484848484848485
19,0,0.04393939393939394,0.0
19,1,0.05,0.0
19,2,0.019696969696969695,0.0007575757575757576
19,3,0.035606060606060606,0.0015151515151515152
19,4,0.07651515151515151,0.0015151515151515152
19,5,0.048484848484848485,0.004545454545454545
20,0,0.07045454545454545,0.0
20,1,0.18863636363636363,0.003787878787878788
20,2,0.15303030303030302,0.012878787878787878
20,3,0.09621212121212121,0.01818181818181818
20,4,0.1143939393939394,0.022727272727272728
20,5,0.11515151515151516,0.024242424242424242
21,0,0.026515151515151516,0.0
21,1,0.10227272727272728,0.0015151515151515152
21,2,0.06212121212121212,0.006060606060606061
21,3,0.06818181818181818,0.00909090909090909
21,4,0.11287878787878788,0.011363636363636364
21,5,0.1159090909090909,0.020454545454545454
22,0,0.02878787878787879,0.0
22,1,0.058333333333333334,0.0007575757575757576
22,2,0.06136363636363636,0.0022727272727272726
22,3,0.11287878787878788,0.004545454545454545
22,4,0.11515151515151516,0.007575757575757576
22,5,0.09090909090909091,0.015151515151515152
23,0,0.04924242424242424,0.0
23,1,0.03257575757575758,0.0015151515151515152
23,2,0.07727272727272727,0.003787878787878788
23,3,0.13257575757575757,0.009848484848484848
23,4,0.08181818181818182,0.016666666666666666
23,5,0.18257575757575759,0.019696969696969695
24,0,0.12045454545454545,0.0
24,1,0.0946969696969697,0.004545454545454545
24,2,0.12196969696969696,0.006818181818181818
24,3,0.1159090909090909,0.012878787878787878
24,4,0.12045454545454545,0.01893939393939394
24,5,0.1431818181818182,0.024242424242424242
25,0,0.026515151515151516,0.0
25,1,0.08636363636363636,0.0007575757575757576
25,2,0.1053030303030303,0.0022727272727272726
25,3,0.17424242424242425,0.007575757575757576
25,4,0.19318181818181818,0.014393939393939395
25,5,0.25,0.022727272727272728
26,0,0.0856060606060606,0.0007575757575757576
26,1,0.08636363636363636,0.012878787878787878
26,2,0.08257575757575758,0.023484848484848483
26,3,0.20075757575757575,0.03106060606060606
26,4,0.1765151515151515,0.041666666666666664
26,5,0.1787878787878788,0.05075757575757576
27,0,0.022727272727272728,0.0
27,1,0.05227272727272727,0.0
27,2,0.05303030303030303,0.0
27,3,0.06818181818181818,0.0015151515151515152
27,4,0.08257575757575758,0.004545454545454545
27,5,0.1,0.008333333333333333
28,0,0.02196969696969697,0.0
28,1,0.12803030303030302,0.0
28,2,0.09545454545454546,0.0007575757575757576
28,3,0.06136363636363636,0.0022727272727272726
28,4,0.06818181818181818,0.003787878787878788
28,5,0.07121212121212121,0.004545454545454545
29,0,0.03333333333333333,0.0
29,1,0.0803030303030303,0.0015151515151515152
29,2,0.11287878787878788,0.005303030303030303
29,3,0.1053030303030303,0.008333333333333333
29,4,0.16515151515151516,0.015909090909090907
29,5,0.21515151515151515,0.025757575757575757
30,0,0.012121212121212121,0.0
30,1,0.05378787878787879,0.0
30,2,0.13257575757575757,0.0022727272727272726
30,3,0.14696969696969697,0.006818181818181818
30,4,0.1734848484848485,0.011363636363636364
30,5,0.1462121212121212,0.016666666666666666
