replicate,rank,top-1320 model,top-1320 acquired
1,0,0.021212121212121213,0.0
1,1,0.07196969696969698,0.0
1,2,0.09318181818181819,0.0030303030303030303
1,3,0.0696969696969697,0.006060606060606061
1,4,0.07575757575757576,0.006060606060606061
1,5,0.09621212121212121,0.00909090909090909
2,0,0.016666666666666666,0.0
2,1,0.025757575757575757,0.0
2,2,0.031818181818181815,0.0
2,3,0.024242424242424242,0.0
2,4,0.04015151515151515,0.0015151515151515152
2,5,0.07727272727272727,0.0030303030303030303
3,0,0.045454545454545456,0.0
3,1,0.08787878787878788,0.0
3,2,0.08787878787878788,0.0022727272727272726
3,3,0.11818181818181818,0.009848484848484848
3,4,0.10833333333333334,0.011363636363636364
3,5,0.1143939393939394,0.019696969696969695
4,0,0.026515151515151516,0.0
4,1,0.07196969696969698,0.0
4,2,0.07651515151515151,0.0030303030303030303
4,3,0.09621212121212121,0.006060606060606061
4,4,0.12651515151515152,0.00909090909090909
4,5,0.14015151515151514,0.01818181818181818
5,0,0.055303030303030305,0.0
5,1,0.024242424242424242,0.0
5,2,0.12272727272727273,0.0015151515151515152
5,3,0.07272727272727272,0.0030303030303030303
5,4,0.12121212121212122,0.003787878787878788
5,5,0.11818181818181818,0.00909090909090909
6,0,0.026515151515151516,0.0
6,1,0.05378787878787879,0.0007575757575757576
6,2,0.08181818181818182,0.0007575757575757576
6,3,0.07272727272727272,0.0030303030303030303
6,4,0.05227272727272727,0.007575757575757576
6,5,0.06742424242424243,0.008333333333333333
7,0,0.04621212121212121,0.0
7,1,0.04696969696969697,0.0
7,2,0.0659090909090909,0.0
7,3,0.09848484848484848,0.0015151515151515152
7,4,0.09924242424242424,0.008333333333333333
7,5,0.11666666666666667,0.01818181818181818
8,0,0.015151515151515152,0.0
8,1,0.020454545454545454,0.0
8,2,0.011363636363636364,0.0007575757575757576
8,3,0.05454545454545454,0.0022727272727272726
8,4,0.06060606060606061,0.006818181818181818
8,5,0.07803030303030303,0.007575757575757576
9,0,0.04242424242424243,0.0
9,1,0.01818181818181818,0.0
9,2,0.04242424242424243,0.0
9,3,0.06818181818181818,0.0022727272727272726
9,4,0.1621212121212121,0.007575757575757576
9,5,0.17803030303030304,0.014393939393939395
10,0,0.023484848484848483,0.0
10,1,0.031818181818181815,0.0
10,2,0.06515151515151515,0.0030303030303030303
10,3,0.08787878787878788,0.00909090909090909
10,4,0.10075757575757575,0.01818181818181818
10,5,0.1712121212121212,0.02727272727272727
11,0,0.12727272727272726,0.0
11,1,0.09242424242424242,0.0015151515151515152
11,2,0.1340909090909091,0.0030303030303030303
11,3,0.10606060606060606,0.005303030303030303
11,4,0.125,0.012878787878787878
11,5,0.15606060606060607,0.016666666666666666
12,0,0.06893939393939394,0.0
12,1,0.13560606060606062,0.0022727272727272726
12,2,0.14924242424242423,0.008333333333333333
12,3,0.07348484848484849,0.017424242424242425
12,4,0.09166666666666666,0.022727272727272728
12,5,0.23106060606060605,0.023484848484848483
13,0,0.07272727272727272,0.0
13,1,0.038636363636363635,0.0022727272727272726
13,2,0.03787878787878788,0.012121212121212121
13,3,0.05909090909090909,0.012878787878787878
13,4,0.041666666666666664,0.013636363636363636
13,5,0.055303030303030305,0.01893939393939394
14,0,0.030303030303030304,0.0
14,1,0.016666666666666666,0.0007575757575757576
14,2,0.0893939393939394,0.0015151515151515152
14,3,0.1318181818181818,0.005303030303030303
14,4,0.15606060606060607,0.006818181818181818
14,5,0.23863636363636365,0.012121212121212121
15,0,0.03106060606060606,0.0
15,1,0.09393939393939393,0.0007575757575757576
15,2,0.09166666666666666,0.0015151515151515152
15,3,0.0803030303030303,0.005303030303030303
