replicate,rank,top-1320 model,top-1320 acquired
1,0,0.20909090909090908,0.0007575757575757576
1,1,0.18787878787878787,0.003787878787878788
1,2,0.2765151515151515,0.008333333333333333
1,3,0.27954545454545454,0.014393939393939395
1,4,0.3007575757575758,0.02196969696969697
1,5,0.3090909090909091,0.02878787878787879
2,0,0.2196969696969697,0.0007575757575757576
2,1,0.1893939393939394,0.005303030303030303
2,2,0.24015151515151514,0.013636363636363636
2,3,0.271969696969697,0.020454545454545454
2,4,0.26212121212121214,0.02803030303030303
2,5,0.29772727272727273,0.03333333333333333
3,0,0.2159090909090909,0.0007575757575757576
3,1,0.21136363636363636,0.005303030303030303
3,2,0.19924242424242425,0.00909090909090909
3,3,0.24242424242424243,0.014393939393939395
3,4,0.25303030303030305,0.016666666666666666
3,5,0.24848484848484848,0.02196969696969697
4,0,0.26590909090909093,0.0007575757575757576
4,1,0.24696969696969698,0.003787878787878788
4,2,0.2878787878787879,0.012121212121212121
4,3,0.24015151515151514,0.017424242424242425
4,4,0.28106060606060607,0.023484848484848483
4,5,0.2545454545454545,0.02878787878787879
5,0,0.24015151515151514,0.0022727272727272726
5,1,0.1893939393939394,0.006818181818181818
5,2,0.21212121212121213,0.013636363636363636
5,3,0.22727272727272727,0.01893939393939394
5,4,0.25757575757575757,0.024242424242424242
5,5,0.25227272727272726,0.030303030303030304
6,0,0.18636363636363637,0.0015151515151515152
6,1,0.2446969696969697,0.008333333333333333
6,2,0.2772727272727273,0.017424242424242425
6,3,0.28484848484848485,0.021212121212121213
6,4,0.24848484848484848,0.024242424242424242
6,5,0.25075757575757573,0.030303030303030304
7,0,0.15984848484848485,0.0015151515151515152
7,1,0.175,0.00909090909090909
7,2,0.20606060606060606,0.012878787878787878
7,3,0.1946969696969697,0.01893939393939394
7,4,0.22196969696969698,0.023484848484848483
7,5,0.2431818181818182,0.02803030303030303
8,0,0.27045454545454545,0.0022727272727272726
8,1,0.16742424242424242,0.007575757575757576
8,2,0.19166666666666668,0.012878787878787878
8,3,0.19696969696969696,0.021212121212121213
8,4,0.22196969696969698,0.02803030303030303
8,5,0.271969696969697,0.035606060606060606
9,0,0.20984848484848484,0.0
9,1,0.22575757575757577,0.0022727272727272726
9,2,0.25227272727272726,0.005303030303030303
9,3,0.2590909090909091,0.007575757575757576
9,4,0.24393939393939393,0.010606060606060607
9,5,0.27121212121212124,0.013636363636363636
10,0,0.12575757575757576,0.0022727272727272726
10,1,0.22424242424242424,0.003787878787878788
10,2,0.24393939393939393,0.00909090909090909
10,3,0.22121212121212122,0.015151515151515152
10,4,0.27121212121212124,0.021212121212121213
10,5,0.3053030303030303,0.024242424242424242
11,0,0.16515151515151516,0.0
11,1,0.20227272727272727,0.0007575757575757576
11,2,0.1787878787878788,0.003787878787878788
11,3,0.23106060606060605,0.00909090909090909
11,4,0.27424242424242423,0.012121212121212121
11,5,0.24772727272727274,0.016666666666666666
12,0,0.13257575757575757,0.0015151515151515152
12,1,0.25227272727272726,0.004545454545454545
12,2,0.21893939393939393,0.006060606060606061
12,3,0.23484848484848486,0.008333333333333333
12,4,0.271969696969697,0.013636363636363636
12,5,0.2818181818181818,0.021212121212121213
13,0,0.2340909090909091,0.0015151515151515152
13,1,0.2431818181818182,0.0030303030303030303
13,2,0.21818181818181817,0.008333333333333333
13,3,0.26590909090909093,0.013636363636363636
13,4,0.2537878787878788,0.01818181818181818
13,5,0.24015151515151514,0.025
14,0,0.14545454545454545,0.0007575757575757576
14,1,0.22424242424242424,0.006818181818181818
14,2,0.2946969696969697,0.013636363636363636
14,3,0.30454545454545456,0.019696969696969695
14,4,0.2840909090909091,0.025
14,5,0.2916666666666667,0.02803030303030303
15,0,0.22954545454545455,0.0015151515151515152
15,1,0.20681818181818182,0.009848484848484848
15,2,0.24015151515151514,0.015909090909090907
15,3,0.25,0.021212121212121213
15,4,0.29015151515151516,0.02803030303030303
15,5,0.328030303030303,0.03409090909090909
16,0,0.16363636363636364,0.0007575757575757576
16,1,0.22045454545454546,0.0030303030303030303
16,2,0.23106060606060605,0.011363636363636364
16,3,0.23636363636363636,0.015151515151515152
16,4,0.25303030303030305,0.022727272727272728
16,5,0.2787878787878788,0.02803030303030303
17,0,0.16742424242424242,0.0007575757575757576
17,1,0.22348484848484848,0.004545454545454545
17,2,0.20833333333333334,0.006818181818181818
17,3,0.25303030303030305,0.008333333333333333
17,4,0.2924242424242424,0.013636363636363636
17,5,0.26212121212121214,0.01818181818181818
18,0,0.2287878787878788,0.0015151515151515152
18,1,0.2765151515151515,0.003787878787878788
18,2,0.25227272727272726,0.006060606060606061
18,3,0.26212121212121214,0.011363636363636364
18,4,0.271969696969697,0.012878787878787878
18,5,0.27575757575757576,0.01818181818181818
19,0,0.18181818181818182,0.0
19,1,0.25075757575757573,0.006818181818181818
19,2,0.24848484848484848,0.011363636363636364
19,3,0.27954545454545454,0.015151515151515152
19,4,0.2772727272727273,0.01818181818181818
19,5,0.2689393939393939,0.022727272727272728
20,0,0.2681818181818182,0.0007575757575757576
20,1,0.2037878787878788,0.005303030303030303
20,2,0.2636363636363636,0.010606060606060607
20,3,0.2643939393939394,0.013636363636363636
20,4,0.2825757575757576,0.022727272727272728
20,5,0.2787878787878788,0.030303030303030304
21,0,0.20075757575757575,0.0022727272727272726
21,1,0.22803030303030303,0.004545454545454545
21,2,0.20757575757575758,0.008333333333333333
21,3,0.23106060606060605,0.014393939393939395
21,4,0.2856060606060606,0.01893939393939394
21,5,0.28106060606060607,0.02196969696969697
22,0,0.2143939393939394,0.0007575757575757576
22,1,0.19318181818181818,0.0030303030303030303
22,2,0.23484848484848486,0.006818181818181818
22,3,0.22196969696969698,0.011363636363636364
22,4,0.23333333333333334,0.015909090909090907
22,5,0.23333333333333334,0.021212121212121213
23,0,0.18257575757575759,0.0007575757575757576
23,1,0.22803030303030303,0.0007575757575757576
23,2,0.19393939393939394,0.0022727272727272726
