replicate,rank,top-1320 model,top-1320 acquired
1,0,0.04090909090909091,0.0
1,1,0.07121212121212121,0.0
1,2,0.14545454545454545,0.0007575757575757576
1,3,0.1803030303030303,0.0022727272727272726
1,4,0.12878787878787878,0.0022727272727272726
1,5,0.1606060606060606,0.0022727272727272726
2,0,0.05606060606060606,0.0
2,1,0.03333333333333333,0.0
2,2,0.0659090909090909,0.0
2,3,0.09924242424242424,0.0
2,4,0.11893939393939394,0.0
2,5,0.2015151515151515,0.0015151515151515152
3,0,0.11818181818181818,0.0
3,1,0.075,0.0
3,2,0.10833333333333334,0.0
3,3,0.15075757575757576,0.0
3,4,0.12575757575757576,0.0
3,5,0.1643939393939394,0.0007575757575757576
4,0,0.07424242424242425,0.0
4,1,0.09696969696969697,0.0
4,2,0.03787878787878788,0.0
4,3,0.08409090909090909,0.0
4,4,0.0803030303030303,0.0
4,5,0.09696969696969697,0.0
5,0,0.08484848484848485,0.0
5,1,0.10303030303030303,0.0
5,2,0.11287878787878788,0.0
5,3,0.12121212121212122,0.0
5,4,0.08484848484848485,0.0
5,5,0.13106060606060607,0.0
6,0,0.006818181818181818,0.0
6,1,0.08484848484848485,0.0
6,2,0.07045454545454545,0.0
6,3,0.06515151515151515,0.0
6,4,0.07954545454545454,0.0
6,5,0.07045454545454545,0.0
7,0,0.12045454545454545,0.0
7,1,0.08787878787878788,0.0
7,2,0.18636363636363637,0.0
7,3,0.15075757575757576,0.0
7,4,0.14772727272727273,0.0007575757575757576
7,5,0.14924242424242423,0.0007575757575757576
8,0,0.06363636363636363,0.0
8,1,0.10303030303030303,0.0
8,2,0.08333333333333333,0.0
8,3,0.10075757575757575,0.0
8,4,0.10151515151515152,0.0
8,5,0.1984848484848485,0.0
9,0,0.05606060606060606,0.0
9,1,0.03484848484848485,0.0
9,2,0.0893939393939394,0.0
9,3,0.09166666666666666,0.0
9,4,0.12045454545454545,0.0
9,5,0.14924242424242423,0.0
10,0,0.019696969696969695,0.0
10,1,0.06363636363636363,0.0
10,2,0.012121212121212121,0.0
10,3,0.03409090909090909,0.0
10,4,0.05378787878787879,0.0
10,5,0.0696969696969697,0.0
11,0,0.07272727272727272,0.0
11,1,0.04696969696969697,0.0007575757575757576
11,2,0.026515151515151516,0.0007575757575757576
11,3,0.04242424242424243,0.0007575757575757576
11,4,0.08712121212121213,0.0022727272727272726
11,5,0.09696969696969697,0.0022727272727272726
12,0,0.1143939393939394,0.0
12,1,0.025,0.0
12,2,0.16666666666666666,0.0
12,3,0.12424242424242424,0.0
12,4,0.14772727272727273,0.0
12,5,0.15227272727272728,0.0
13,0,0.10075757575757575,0.0
13,1,0.09772727272727273,0.0
13,2,0.07272727272727272,0.0
13,3,0.07196969696969698,0.0
13,4,0.06060606060606061,0.0
13,5,0.20984848484848484,0.0015151515151515152
14,0,0.05606060606060606,0.0
14,1,0.08863636363636364,0.0007575757575757576
14,2,0.09166666666666666,0.0007575757575757576
14,3,0.07651515151515151,0.0007575757575757576
14,4,0.08636363636363636,0.0007575757575757576
14,5,0.10378787878787879,0.0007575757575757576
15,0,0.07348484848484849,0.0
15,1,0.09696969696969697,0.0
15,2,0.06287878787878788,0.0
15,3,0.07272727272727272,0.0
15,4,0.10151515151515152,0.0
15,5,0.07727272727272727,0.0
16,0,0.10681818181818181,0.0
16,1,0.12575757575757576,0.0
16,2,0.10227272727272728,0.0
16,3,0.0946969696969697,0.0007575757575757576
16,4,0.06818181818181818,0.0007575757575757576
16,5,0.07954545454545454,0.0007575757575757576
17,0,0.059848484848484845,0.0
17,1,0.075,0.0
17,2,0.023484848484848483,0.0
17,3,0.059848484848484845,0.0
17,4,0.075,0.0
17,5,0.0803030303030303,0.0
18,0,0.20303030303030303,0.0
18,1,0.0946969696969697,0.0007575757575757576
18,2,0.13333333333333333,0.0007575757575757576
18,3,0.1643939393939394,0.0007575757575757576
18,4,0.175,0.0015151515151515152
18,5,0.15227272727272728,0.0015151515151515152
19,0,0.07196969696969698,0.0
19,1,0.06212121212121212,0.0
19,2,0.10378787878787879,0.0
19,3,0.10378787878787879,0.0
19,4,0.0856060606060606,0.0
19,5,0.08409090909090909,0.0
20,0,0.07424242424242425,0.0
20,1,0.11136363636363636,0.0
20,2,0.10984848484848485,0.0007575757575757576
20,3,0.12575757575757576,0.0007575757575757576
20,4,0.08484848484848485,0.0007575757575757576
20,5,0.125,0.0007575757575757576
21,0,0.008333333333333333,0.0
21,1,0.059848484848484845,0.0
21,2,0.05075757575757576,0.0
21,3,0.05378787878787879,0.0
21,4,0.06515151515151515,0.0
21,5,0.06893939393939394,0.0
22,0,0.045454545454545456,0.0
22,1,0.07424242424242425,0.0
22,2,0.09090909090909091,0.0022727272727272726
22,3,0.09848484848484848,0.003787878787878788
22,4,0.09848484848484848,0.003787878787878788
22,5,0.10757575757575757,0.004545454545454545
23,0,0.026515151515151516,0.0
23,1,0.09090909090909091,0.0007575757575757576
23,2,0.19393939393939394,0.0022727272727272726
23,3,0.25075757575757573,0.006060606060606061
23,4,0.2128787878787879,0.007575757575757576
23,5,0.20984848484848484,0.007575757575757576
24,0,0.09242424242424242,0.0
24,1,0.04015151515151515,0.0007575757575757576
24,2,0.06666666666666667,0.004545454545454545
24,3,0.14924242424242423,0.004545454545454545
24,4,0.13257575757575757,0.004545454545454545
24,5,0.23863636363636365,0.006060606060606061
25,0,0.09242424242424242,0.0
25,1,0.05227272727272727,0.0
25,2,0.1318181818181818,0.0
25,3,0.12121212121212122,0.0007575757575757576
25,4,0.15303030303030302,0.0015151515151515152
25,5,0.14015151515151514,0.0022727272727272726
26,0,0.11818181818181818,0.0007575757575757576
26,1,0.2143939393939394,0.0030303030303030303
26,2,0.2545454545454545,0.0030303030303030303
26,3,0.23333333333333334,0.0030303030303030303
26,4,0.2318181818181818,0.0030303030303030303
26,5,0.28863636363636364,0.0030303030303030303
27,0,0.10984848484848485,0.0
27,1,0.12272727272727273,0.0
27,2,0.13636363636363635,0.0
27,3,0.09166666666666666,0.0
27,4,0.07424242424242425,0.0015151515151515152
27,5,0.14015151515151514,0.0022727272727272726
28,0,0.09242424242424242,0.0
28,1,0.1553030303030303,0.0007575757575757576
28,2,0.038636363636363635,0.0007575757575757576
28,3,0.10454545454545454,0.0007575757575757576
28,4,0.06439393939393939,0.0007575757575757576
28,5,0.10606060606060606,0.0015151515151515152
29,0,0.04242424242424243,0.0
29,1,0.06287878787878788,0.0
29,2,0.11666666666666667,0.0007575757575757576
29,3,0.1393939393939394,0.0007575757575757576
29,4,0.16818181818181818,0.0007575757575757576
29,5,0.18636363636363637,0.0007575757575757576
30,0,0.03106060606060606,0.0
30,1,0.012121212121212121,0.0
30,2,0.025757575757575757,0.0
30,3,0.05909090909090909,0.0
30,4,0.10303030303030303,0.0
30,5,0.03106060606060606,0.0
