replicate,rank,top-1320 model,top-1320 acquired
1,0,0.14545454545454545,0.0007575757575757576
1,1,0.2,0.005303030303030303
1,2,0.24015151515151514,0.008333333333333333
1,3,0.2803030303030303,0.014393939393939395
1,4,0.2916666666666667,0.015909090909090907
1,5,0.2840909090909091,0.021212121212121213
2,0,0.19090909090909092,0.0015151515151515152
2,1,0.26212121212121214,0.003787878787878788
2,2,0.23257575757575757,0.011363636363636364
2,3,0.26212121212121214,0.017424242424242425
2,4,0.3098484848484849,0.023484848484848483
2,5,0.2946969696969697,0.029545454545454545
3,0,0.12575757575757576,0.0
3,1,0.18106060606060606,0.0022727272727272726
3,2,0.21515151515151515,0.006060606060606061
3,3,0.17954545454545454,0.012878787878787878
3,4,0.24242424242424243,0.01893939393939394
3,5,0.2765151515151515,0.025
4,0,0.1734848484848485,0.0
4,1,0.2265151515151515,0.003787878787878788
4,2,0.25833333333333336,0.012121212121212121
4,3,0.3159090909090909,0.01818181818181818
4,4,0.3106060606060606,0.023484848484848483
4,5,0.32651515151515154,0.026515151515151516
5,0,0.13106060606060607,0.0015151515151515152
5,1,0.1765151515151515,0.005303030303030303
5,2,0.2143939393939394,0.006060606060606061
5,3,0.20454545454545456,0.00909090909090909
5,4,0.2537878787878788,0.013636363636363636
5,5,0.23030303030303031,0.014393939393939395
6,0,0.278030303030303,0.0015151515151515152
6,1,0.25833333333333336,0.004545454545454545
6,2,0.2340909090909091,0.00909090909090909
6,3,0.2909090909090909,0.016666666666666666
6,4,0.2924242424242424,0.02196969696969697
6,5,0.30833333333333335,0.02727272727272727
7,0,0.16818181818181818,0.0
7,1,0.27121212121212124,0.0022727272727272726
7,2,0.26136363636363635,0.004545454545454545
7,3,0.29848484848484846,0.005303030303030303
7,4,0.29015151515151516,0.008333333333333333
7,5,0.28106060606060607,0.009848484848484848
8,0,0.18787878787878787,0.0
8,1,0.23636363636363636,0.0007575757575757576
8,2,0.278030303030303,0.006060606060606061
8,3,0.2409090909090909,0.011363636363636364
8,4,0.2628787878787879,0.013636363636363636
8,5,0.2772727272727273,0.015151515151515152
9,0,0.18863636363636363,0.0007575757575757576
9,1,0.2446969696969697,0.009848484848484848
9,2,0.24621212121212122,0.01818181818181818
9,3,0.2037878787878788,0.021212121212121213
9,4,0.2287878787878788,0.026515151515151516
9,5,0.25681818181818183,0.02878787878787879
10,0,0.13106060606060607,0.0007575757575757576
10,1,0.17272727272727273,0.0015151515151515152
10,2,0.22575757575757577,0.006818181818181818
10,3,0.24848484848484848,0.014393939393939395
10,4,0.2606060606060606,0.01893939393939394
10,5,0.2803030303030303,0.026515151515151516
11,0,0.1303030303030303,0.0007575757575757576
11,1,0.2590909090909091,0.0030303030303030303
11,2,0.2537878787878788,0.004545454545454545
11,3,0.24545454545454545,0.009848484848484848
11,4,0.22424242424242424,0.016666666666666666
11,5,0.22121212121212122,0.019696969696969695
12,0,0.15833333333333333,0.0
12,1,0.2159090909090909,0.0015151515151515152
12,2,0.22575757575757577,0.006060606060606061
12,3,0.2515151515151515,0.011363636363636364
12,4,0.296969696969697,0.015909090909090907
12,5,0.28106060606060607,0.01893939393939394
13,0,0.16515151515151516,0.0
13,1,0.18863636363636363,0.0015151515151515152
13,2,0.19318181818181818,0.004545454545454545
13,3,0.2196969696969697,0.006060606060606061
13,4,0.2590909090909091,0.008333333333333333
13,5,0.2553030303030303,0.013636363636363636
14,0,0.16666666666666666,0.0
14,1,0.2287878787878788,0.0022727272727272726
14,2,0.29545454545454547,0.009848484848484848
14,3,0.29393939393939394,0.015151515151515152
14,4,0.3098484848484849,0.01818181818181818
14,5,0.30227272727272725,0.02196969696969697
15,0,0.2878787878787879,0.0007575757575757576
15,1,0.1734848484848485,0.006818181818181818
15,2,0.23106060606060605,0.010606060606060607
15,3,0.23484848484848486,0.017424242424242425
15,4,0.25833333333333336,0.01818181818181818
15,5,0.2825757575757576,0.019696969696969695
16,0,0.2636363636363636,0.0022727272727272726
16,1,0.22954545454545455,0.008333333333333333
16,2,0.275,0.015909090909090907
16,3,0.2643939393939394,0.021212121212121213
16,4,0.27121212121212124,0.02727272727272727
16,5,0.27424242424242423,0.02803030303030303
17,0,0.24242424242424243,0.0007575757575757576
17,1,0.25681818181818183,0.00909090909090909
17,2,0.27045454545454545,0.015151515151515152
17,3,0.325,0.020454545454545454
17,4,0.278030303030303,0.025
17,5,0.24545454545454545,0.02878787878787879
18,0,0.15378787878787878,0.0
18,1,0.20606060606060606,0.006060606060606061
18,2,0.25075757575757573,0.009848484848484848
18,3,0.2143939393939394,0.015909090909090907
18,4,0.275,0.024242424242424242
18,5,0.22121212121212122,0.02803030303030303
19,0,0.23484848484848486,0.0007575757575757576
19,1,0.25681818181818183,0.006060606060606061
19,2,0.23333333333333334,0.010606060606060607
19,3,0.2765151515151515,0.017424242424242425
19,4,0.2924242424242424,0.023484848484848483
19,5,0.3090909090909091,0.029545454545454545
20,0,0.1893939393939394,0.0007575757575757576
20,1,0.1962121212121212,0.005303030303030303
20,2,0.16136363636363638,0.009848484848484848
20,3,0.18181818181818182,0.012121212121212121
20,4,0.2856060606060606,0.016666666666666666
20,5,0.27575757575757576,0.01893939393939394
21,0,0.1984848484848485,0.0022727272727272726
21,1,0.21212121212121213,0.004545454545454545
21,2,0.23712121212121212,0.007575757575757576
21,3,0.24166666666666667,0.009848484848484848
21,4,0.2628787878787879,0.012878787878787878
21,5,0.23939393939393938,0.021212121212121213
22,0,0.1159090909090909,0.0
22,1,0.1303030303030303,0.0007575757575757576
22,2,0.21363636363636362,0.0015151515151515152
22,3,0.225,0.003787878787878788
22,4,0.21893939393939393,0.007575757575757576
22,5,0.24545454545454545,0.012121212121212121
23,0,0.1590909090909091,0.0015151515151515152
23,1,0.23787878787878788,0.012878787878787878
23,2,0.20757575757575758,0.020454545454545454
23,3,0.22727272727272727,0.026515151515151516
