replicate,rank,top-1320 model,top-1320 acquired
1,0,0.008333333333333333,0.0
1,1,0.012121212121212121,0.0
1,2,0.014393939393939395,0.0022727272727272726
1,3,0.03257575757575758,0.0030303030303030303
1,4,0.04621212121212121,0.004545454545454545
1,5,0.11363636363636363,0.006060606060606061
2,0,0.037121212121212124,0.0
2,1,0.009848484848484848,0.0007575757575757576
2,2,0.023484848484848483,0.0007575757575757576
2,3,0.031818181818181815,0.0015151515151515152
2,4,0.045454545454545456,0.0030303030303030303
2,5,0.038636363636363635,0.0030303030303030303
3,0,0.008333333333333333,0.0
3,1,0.015909090909090907,0.0007575757575757576
3,2,0.016666666666666666,0.0007575757575757576
3,3,0.020454545454545454,0.0015151515151515152
3,4,0.05303030303030303,0.0015151515151515152
3,5,0.10378787878787879,0.004545454545454545
4,0,0.020454545454545454,0.0
4,1,0.016666666666666666,0.0
4,2,0.025757575757575757,0.0
4,3,0.031818181818181815,0.0
4,4,0.03257575757575758,0.0022727272727272726
4,5,0.031818181818181815,0.003787878787878788
5,0,0.02878787878787879,0.0
5,1,0.03939393939393939,0.0
5,2,0.04696969696969697,0.0007575757575757576
5,3,0.031818181818181815,0.014393939393939395
5,4,0.04924242424242424,0.02196969696969697
5,5,0.059848484848484845,0.025
6,0,0.08712121212121213,0.0
6,1,0.11136363636363636,0.0015151515151515152
6,2,0.17424242424242425,0.007575757575757576
6,3,0.16666666666666666,0.015151515151515152
6,4,0.14696969696969697,0.020454545454545454
6,5,0.14772727272727273,0.031818181818181815
7,0,0.008333333333333333,0.0
7,1,0.024242424242424242,0.0
7,2,0.03636363636363636,0.0
7,3,0.026515151515151516,0.0007575757575757576
7,4,0.035606060606060606,0.0007575757575757576
7,5,0.03106060606060606,0.0015151515151515152
8,0,0.025,0.0
8,1,0.00909090909090909,0.0007575757575757576
8,2,0.014393939393939395,0.0007575757575757576
8,3,0.015909090909090907,0.0015151515151515152
8,4,0.017424242424242425,0.003787878787878788
8,5,0.025,0.005303030303030303
9,0,0.023484848484848483,0.0
9,1,0.01893939393939394,0.0
9,2,0.03106060606060606,0.0015151515151515152
9,3,0.04393939393939394,0.004545454545454545
9,4,0.02878787878787879,0.007575757575757576
9,5,0.03939393939393939,0.007575757575757576
10,0,0.03484848484848485,0.0
10,1,0.021212121212121213,0.0
10,2,0.029545454545454545,0.0
10,3,0.09393939393939393,0.0007575757575757576
10,4,0.09318181818181819,0.008333333333333333
10,5,0.1393939393939394,0.015909090909090907
11,0,0.024242424242424242,0.0
11,1,0.03939393939393939,0.0007575757575757576
11,2,0.03257575757575758,0.0007575757575757576
11,3,0.015151515151515152,0.0007575757575757576
11,4,0.022727272727272728,0.0007575757575757576
11,5,0.019696969696969695,0.0022727272727272726
12,0,0.015909090909090907,0.0
12,1,0.02196969696969697,0.0
12,2,0.020454545454545454,0.0022727272727272726
12,3,0.031818181818181815,0.0030303030303030303
12,4,0.02727272727272727,0.004545454545454545
12,5,0.03409090909090909,0.006818181818181818
13,0,0.014393939393939395,0.0
13,1,0.026515151515151516,0.0007575757575757576
13,2,0.06136363636363636,0.0015151515151515152
13,3,0.03939393939393939,0.0030303030303030303
13,4,0.0893939393939394,0.006060606060606061
13,5,0.07575757575757576,0.012121212121212121
14,0,0.019696969696969695,0.0
14,1,0.024242424242424242,0.0
14,2,0.025,0.0007575757575757576
14,3,0.025,0.0015151515151515152
14,4,0.031818181818181815,0.0030303030303030303
14,5,0.02196969696969697,0.003787878787878788
15,0,0.016666666666666666,0.0
15,1,0.024242424242424242,0.0007575757575757576
