replicate,rank,top-1320 model,top-1320 acquired
1,0,0.004545454545454545,0.0
1,1,0.03106060606060606,0.0007575757575757576
1,2,0.031818181818181815,0.0007575757575757576
1,3,0.048484848484848485,0.0015151515151515152
1,4,0.03636363636363636,0.0022727272727272726
1,5,0.03636363636363636,0.003787878787878788
2,0,0.011363636363636364,0.0
2,1,0.014393939393939395,0.0
2,2,0.05757575757575758,0.0
2,3,0.09015151515151515,0.0022727272727272726
2,4,0.13636363636363635,0.0022727272727272726
2,5,0.10984848484848485,0.006060606060606061
3,0,0.02727272727272727,0.0
3,1,0.055303030303030305,0.0
3,2,0.022727272727272728,0.0
3,3,0.1,0.0015151515151515152
3,4,0.05075757575757576,0.004545454545454545
3,5,0.04621212121212121,0.006060606060606061
4,0,0.025757575757575757,0.0
4,1,0.06439393939393939,0.0
4,2,0.03484848484848485,0.003787878787878788
4,3,0.09242424242424242,0.006060606060606061
4,4,0.12424242424242424,0.006818181818181818
4,5,0.1621212121212121,0.015151515151515152
5,0,0.03787878787878788,0.0
5,1,0.05757575757575758,0.0
5,2,0.08181818181818182,0.0
5,3,0.038636363636363635,0.0007575757575757576
5,4,0.11893939393939394,0.0007575757575757576
5,5,0.1318181818181818,0.008333333333333333
6,0,0.05,0.0
6,1,0.10984848484848485,0.0022727272727272726
6,2,0.09696969696969697,0.00909090909090909
6,3,0.05227272727272727,0.00909090909090909
6,4,0.021212121212121213,0.00909090909090909
6,5,0.045454545454545456,0.009848484848484848
7,0,0.04696969696969697,0.0
7,1,0.020454545454545454,0.0022727272727272726
7,2,0.07121212121212121,0.0030303030303030303
7,3,0.1,0.004545454545454545
7,4,0.16590909090909092,0.008333333333333333
7,5,0.17045454545454544,0.011363636363636364
8,0,0.016666666666666666,0.0
8,1,0.04696969696969697,0.0
8,2,0.029545454545454545,0.0030303030303030303
8,3,0.056818181818181816,0.0030303030303030303
8,4,0.031818181818181815,0.003787878787878788
8,5,0.11363636363636363,0.003787878787878788
9,0,0.037121212121212124,0.0
9,1,0.09242424242424242,0.0
9,2,0.06363636363636363,0.005303030303030303
9,3,0.14242424242424243,0.007575757575757576
9,4,0.18257575757575759,0.009848484848484848
9,5,0.15378787878787878,0.013636363636363636
10,0,0.009848484848484848,0.0
10,1,0.00909090909090909,0.0
10,2,0.03787878787878788,0.0
10,3,0.04696969696969697,0.0
10,4,0.0446969696969697,0.0007575757575757576
10,5,0.04090909090909091,0.0022727272727272726
11,0,0.10151515151515152,0.0
11,1,0.01893939393939394,0.0007575757575757576
11,2,0.05227272727272727,0.0007575757575757576
11,3,0.055303030303030305,0.0022727272727272726
11,4,0.06212121212121212,0.006060606060606061
11,5,0.11136363636363636,0.009848484848484848
12,0,0.06212121212121212,0.0
12,1,0.1431818181818182,0.003787878787878788
12,2,0.1318181818181818,0.007575757575757576
12,3,0.1590909090909091,0.01893939393939394
12,4,0.07424242424242425,0.025
12,5,0.16590909090909092,0.03106060606060606
13,0,0.041666666666666664,0.0
13,1,0.10303030303030303,0.0007575757575757576
13,2,0.09848484848484848,0.006818181818181818
13,3,0.08863636363636364,0.011363636363636364
13,4,0.11893939393939394,0.011363636363636364
13,5,0.09393939393939393,0.01818181818181818
14,0,0.06893939393939394,0.0
14,1,0.023484848484848483,0.0007575757575757576
14,2,0.045454545454545456,0.0015151515151515152
14,3,0.012878787878787878,0.0022727272727272726
14,4,0.04393939393939394,0.0022727272727272726
14,5,0.04242424242424243,0.004545454545454545
15,0,0.020454545454545454,0.0
15,1,0.11515151515151516,0.0007575757575757576
15,2,0.09621212121212121,0.0015151515151515152
15,3,0.09318181818181819,0.0022727272727272726
15,4,0.13484848484848486,0.003787878787878788
15,5,0.15303030303030302,0.007575757575757576
16,0,0.035606060606060606,0.0
16,1,0.10227272727272728,0.0015151515151515152
16,2,0.09015151515151515,0.006060606060606061
16,3,0.125,0.008333333333333333
16,4,0.15833333333333333,0.012878787878787878
16,5,0.16590909090909092,0.020454545454545454
17,0,0.03484848484848485,0.0
17,1,0.019696969696969695,0.0007575757575757576
17,2,0.11287878787878788,0.0007575757575757576
17,3,0.11515151515151516,0.010606060606060607
17,4,0.15833333333333333,0.02196969696969697
17,5,0.11287878787878788,0.03333333333333333
18,0,0.059848484848484845,0.0
18,1,0.09166666666666666,0.0030303030303030303
18,2,0.1159090909090909,0.006060606060606061
18,3,0.1409090909090909,0.00909090909090909
18,4,0.19924242424242425,0.01893939393939394
18,5,0.1393939393939394,0.026515151515151516
19,0,0.025757575757575757,0.0
19,1,0.075,0.0015151515151515152
19,2,0.06515151515151515,0.003787878787878788
19,3,0.10681818181818181,0.008333333333333333
19,4,0.1484848484848485,0.011363636363636364
19,5,0.16136363636363638,0.01818181818181818
20,0,0.06742424242424243,0.0
20,1,0.07878787878787878,0.003787878787878788
20,2,0.075,0.014393939393939395
20,3,0.058333333333333334,0.022727272727272728
20,4,0.10378787878787879,0.02727272727272727
20,5,0.1143939393939394,0.03787878787878788
21,0,0.015151515151515152,0.0
21,1,0.015151515151515152,0.0
21,2,0.0659090909090909,0.0007575757575757576
21,3,0.11666666666666667,0.003787878787878788
21,4,0.13106060606060607,0.006060606060606061
21,5,0.14015151515151514,0.009848484848484848
