replicate,rank,top-1320 model,top-1320 acquired
1,0,0.026515151515151516,0.0
1,1,0.03333333333333333,0.0007575757575757576
1,2,0.07424242424242425,0.0015151515151515152
1,3,0.08181818181818182,0.003787878787878788
1,4,0.09848484848484848,0.005303030303030303
1,5,0.15606060606060607,0.008333333333333333
2,0,0.021212121212121213,0.0
2,1,0.03636363636363636,0.0007575757575757576
2,2,0.059848484848484845,0.0030303030303030303
2,3,0.11666666666666667,0.006060606060606061
2,4,0.12878787878787878,0.009848484848484848
2,5,0.12954545454545455,0.015909090909090907
3,0,0.04924242424242424,0.0
3,1,0.030303030303030304,0.0007575757575757576
3,2,0.06439393939393939,0.0007575757575757576
3,3,0.0696969696969697,0.0030303030303030303
3,4,0.051515151515151514,0.005303030303030303
3,5,0.0856060606060606,0.009848484848484848
4,0,0.06136363636363636,0.0
4,1,0.059848484848484845,0.0007575757575757576
4,2,0.0893939393939394,0.006818181818181818
4,3,0.22424242424242424,0.017424242424242425
4,4,0.17803030303030304,0.030303030303030304
4,5,0.18333333333333332,0.04015151515151515
5,0,0.045454545454545456,0.0
5,1,0.04621212121212121,0.0
5,2,0.031818181818181815,0.0
5,3,0.03333333333333333,0.0015151515151515152
5,4,0.041666666666666664,0.0015151515151515152
5,5,0.07727272727272727,0.0022727272727272726
6,0,0.037121212121212124,0.0
6,1,0.08333333333333333,0.0007575757575757576
6,2,0.12348484848484849,0.0030303030303030303
6,3,0.1159090909090909,0.008333333333333333
6,4,0.12348484848484849,0.012878787878787878
6,5,0.13106060606060607,0.02196969696969697
7,0,0.025757575757575757,0.0
7,1,0.1893939393939394,0.0007575757575757576
7,2,0.1787878787878788,0.006818181818181818
7,3,0.22121212121212122,0.013636363636363636
7,4,0.2143939393939394,0.022727272727272728
7,5,0.22045454545454546,0.03106060606060606
8,0,0.01893939393939394,0.0
8,1,0.019696969696969695,0.0015151515151515152
8,2,0.019696969696969695,0.0015151515151515152
8,3,0.055303030303030305,0.0015151515151515152
8,4,0.048484848484848485,0.0015151515151515152
8,5,0.05378787878787879,0.0022727272727272726
9,0,0.05757575757575758,0.0
9,1,0.07045454545454545,0.0007575757575757576
9,2,0.07272727272727272,0.0030303030303030303
9,3,0.1159090909090909,0.007575757575757576
9,4,0.11287878787878788,0.012121212121212121
9,5,0.14242424242424243,0.015909090909090907
10,0,0.01818181818181818,0.0
10,1,0.07954545454545454,0.0007575757575757576
10,2,0.07803030303030303,0.003787878787878788
10,3,0.07727272727272727,0.005303030303030303
10,4,0.07272727272727272,0.00909090909090909
10,5,0.15,0.012121212121212121
11,0,0.11136363636363636,0.0
11,1,0.08181818181818182,0.0030303030303030303
11,2,0.0946969696969697,0.003787878787878788
11,3,0.0856060606060606,0.006060606060606061
11,4,0.1,0.00909090909090909
11,5,0.11060606060606061,0.013636363636363636
12,0,0.058333333333333334,0.0
