replicate,rank,top-1320 model,top-1320 acquired
1,0,0.015909090909090907,0.0
1,1,0.021212121212121213,0.0
1,2,0.051515151515151514,0.0
1,3,0.04090909090909091,0.0
1,4,0.010606060606060607,0.0
1,5,0.030303030303030304,0.0
2,0,0.012121212121212121,0.0
2,1,0.030303030303030304,0.0
2,2,0.03787878787878788,0.0007575757575757576
2,3,0.019696969696969695,0.0015151515151515152
2,4,0.020454545454545454,0.0022727272727272726
2,5,0.04242424242424243,0.0030303030303030303
3,0,0.013636363636363636,0.0
3,1,0.0030303030303030303,0.0
3,2,0.05757575757575758,0.0007575757575757576
3,3,0.012121212121212121,0.0007575757575757576
3,4,0.017424242424242425,0.0015151515151515152
3,5,0.03257575757575758,0.0022727272727272726
4,0,0.03106060606060606,0.0
4,1,0.045454545454545456,0.0
4,2,0.06363636363636363,0.0
4,3,0.09545454545454546,0.0022727272727272726
4,4,0.05757575757575758,0.016666666666666666
4,5,0.07803030303030303,0.024242424242424242
5,0,0.011363636363636364,0.0
5,1,0.035606060606060606,0.0007575757575757576
5,2,0.02727272727272727,0.0007575757575757576
5,3,0.051515151515151514,0.0015151515151515152
5,4,0.04772727272727273,0.0030303030303030303
5,5,0.07121212121212121,0.00909090909090909
6,0,0.045454545454545456,0.0
6,1,0.021212121212121213,0.0007575757575757576
6,2,0.03106060606060606,0.0007575757575757576
6,3,0.1053030303030303,0.0015151515151515152
6,4,0.0696969696969697,0.0030303030303030303
6,5,0.1984848484848485,0.006060606060606061
7,0,0.058333333333333334,0.0
7,1,0.06666666666666667,0.0
7,2,0.09924242424242424,0.0015151515151515152
7,3,0.09242424242424242,0.010606060606060607
7,4,0.15227272727272728,0.012878787878787878
7,5,0.1787878787878788,0.01818181818181818
8,0,0.026515151515151516,0.0
8,1,0.023484848484848483,0.0022727272727272726
8,2,0.03636363636363636,0.0022727272727272726
8,3,0.029545454545454545,0.003787878787878788
8,4,0.045454545454545456,0.005303030303030303
8,5,0.04242424242424243,0.006060606060606061
9,0,0.0803030303030303,0.0
9,1,0.07575757575757576,0.0007575757575757576
9,2,0.07196969696969698,0.0007575757575757576
9,3,0.09393939393939393,0.0022727272727272726
9,4,0.10681818181818181,0.005303030303030303
9,5,0.0946969696969697,0.007575757575757576
10,0,0.025757575757575757,0.0
10,1,0.12348484848484849,0.003787878787878788
10,2,0.12348484848484849,0.012121212121212121
10,3,0.09242424242424242,0.021212121212121213
10,4,0.16893939393939394,0.02727272727272727
10,5,0.18106060606060606,0.03484848484848485
11,0,0.02727272727272727,0.0
11,1,0.03939393939393939,0.0
11,2,0.0659090909090909,0.0007575757575757576
11,3,0.05606060606060606,0.0030303030303030303
11,4,0.075,0.004545454545454545
11,5,0.12424242424242424,0.007575757575757576
12,0,0.1856060606060606,0.0
12,1,0.06363636363636363,0.004545454545454545
12,2,0.06136363636363636,0.010606060606060607
12,3,0.10227272727272728,0.014393939393939395
12,4,0.1303030303030303,0.022727272727272728
12,5,0.14696969696969697,0.03409090909090909
13,0,0.02803030303030303,0.0
13,1,0.08409090909090909,0.0
13,2,0.07272727272727272,0.004545454545454545
13,3,0.13484848484848486,0.006060606060606061
13,4,0.26515151515151514,0.009848484848484848
13,5,0.26666666666666666,0.01818181818181818
14,0,0.0030303030303030303,0.0
14,1,0.031818181818181815,0.0
14,2,0.016666666666666666,0.0
14,3,0.012121212121212121,0.0
14,4,0.0446969696969697,0.0
14,5,0.029545454545454545,0.0022727272727272726
15,0,0.0015151515151515152,0.0
15,1,0.09166666666666666,0.0
15,2,0.10833333333333334,0.006818181818181818
15,3,0.2431818181818182,0.012121212121212121
15,4,0.2606060606060606,0.024242424242424242
15,5,0.2636363636363636,0.035606060606060606
16,0,0.055303030303030305,0.0
16,1,0.07045454545454545,0.0
16,2,0.02803030303030303,0.0030303030303030303
16,3,0.12727272727272726,0.005303030303030303
16,4,0.16136363636363638,0.006060606060606061
16,5,0.175,0.015909090909090907
17,0,0.024242424242424242,0.0
17,1,0.0803030303030303,0.0
17,2,0.06666666666666667,0.006060606060606061
17,3,0.07424242424242425,0.007575757575757576
17,4,0.14015151515151514,0.01893939393939394
17,5,0.12954545454545455,0.029545454545454545
18,0,0.11818181818181818,0.0
18,1,0.18257575757575759,0.0007575757575757576
18,2,0.18106060606060606,0.009848484848484848
18,3,0.17045454545454544,0.012121212121212121
18,4,0.11666666666666667,0.013636363636363636
18,5,0.19393939393939394,0.01893939393939394
19,0,0.09621212121212121,0.0
19,1,0.11893939393939394,0.0007575757575757576
19,2,0.14393939393939395,0.00909090909090909
19,3,0.11363636363636363,0.022727272727272728
19,4,0.1621212121212121,0.02727272727272727
19,5,0.16136363636363638,0.03484848484848485
20,0,0.05303030303030303,0.0
20,1,0.05227272727272727,0.0
20,2,0.1590909090909091,0.0015151515151515152
20,3,0.21212121212121213,0.008333333333333333
20,4,0.18863636363636363,0.01818181818181818
20,5,0.20681818181818182,0.031818181818181815
21,0,0.021212121212121213,0.0
21,1,0.03484848484848485,0.0015151515151515152
21,2,0.09166666666666666,0.0015151515151515152
21,3,0.13863636363636364,0.003787878787878788
21,4,0.14545454545454545,0.013636363636363636
21,5,0.12424242424242424,0.021212121212121213
22,0,0.024242424242424242,0.0
22,1,0.08409090909090909,0.0
22,2,0.08636363636363636,0.0015151515151515152
22,3,0.18106060606060606,0.006818181818181818
22,4,0.16136363636363638,0.012878787878787878
22,5,0.20227272727272727,0.019696969696969695
23,0,0.020454545454545454,0.0
23,1,0.05,0.0
23,2,0.041666666666666664,0.0030303030303030303
23,3,0.06287878787878788,0.004545454545454545
23,4,0.0946969696969697,0.006060606060606061
23,5,0.059848484848484845,0.007575757575757576
24,0,0.041666666666666664,0.0
24,1,0.01893939393939394,0.0
24,2,0.022727272727272728,0.0
24,3,0.021212121212121213,0.0
24,4,0.02727272727272727,0.0015151515151515152
24,5,0.022727272727272728,0.0015151515151515152
25,0,0.004545454545454545,0.0
25,1,0.010606060606060607,0.0
25,2,0.058333333333333334,0.0
25,3,0.026515151515151516,0.0007575757575757576
25,4,0.05227272727272727,0.0007575757575757576
25,5,0.06287878787878788,0.0030303030303030303
26,0,0.05606060606060606,0.0007575757575757576
26,1,0.0856060606060606,0.00909090909090909
26,2,0.14696969696969697,0.009848484848484848
26,3,0.1318181818181818,0.019696969696969695
26,4,0.15454545454545454,0.029545454545454545
26,5,0.18106060606060606,0.038636363636363635
27,0,0.04318181818181818,0.0
27,1,0.1696969696969697,0.0022727272727272726
27,2,0.1765151515151515,0.00909090909090909
27,3,0.21893939393939393,0.01893939393939394
27,4,0.21363636363636362,0.03257575757575758
27,5,0.22803030303030303,0.04242424242424243
28,0,0.02196969696969697,0.0
28,1,0.0856060606060606,0.0
28,2,0.11060606060606061,0.0030303030303030303
28,3,0.2356060606060606,0.007575757575757576
28,4,0.25303030303030305,0.02196969696969697
28,5,0.2606060606060606,0.03409090909090909
29,0,0.06363636363636363,0.0
29,1,0.09318181818181819,0.0
29,2,0.03636363636363636,0.0
29,3,0.056818181818181816,0.0015151515151515152
29,4,0.09621212121212121,0.003787878787878788
29,5,0.14166666666666666,0.007575757575757576
30,0,0.07348484848484849,0.0
30,1,0.15075757575757576,0.003787878787878788
30,2,0.21666666666666667,0.012878787878787878
30,3,0.16590909090909092,0.021212121212121213
30,4,0.14015151515151514,0.025757575757575757
30,5,0.24393939393939393,0.03106060606060606
