replicate,rank,top-1320 model,top-1320 acquired
1,0,0.10606060606060606,0.0
1,1,0.1621212121212121,0.0030303030303030303
1,2,0.14924242424242423,0.009848484848484848
1,3,0.1159090909090909,0.014393939393939395
1,4,0.13484848484848486,0.01818181818181818
1,5,0.12954545454545455,0.02196969696969697
2,0,0.003787878787878788,0.0
2,1,0.05757575757575758,0.0
2,2,0.05757575757575758,0.0
2,3,0.08712121212121213,0.0015151515151515152
2,4,0.16136363636363638,0.003787878787878788
2,5,0.21742424242424244,0.011363636363636364
3,0,0.048484848484848485,0.0
3,1,0.048484848484848485,0.0
3,2,0.023484848484848483,0.0015151515151515152
3,3,0.04015151515151515,0.0015151515151515152
3,4,0.05075757575757576,0.0015151515151515152
3,5,0.05303030303030303,0.003787878787878788
4,0,0.09772727272727273,0.0
4,1,0.09772727272727273,0.0022727272727272726
4,2,0.09318181818181819,0.0030303030303030303
4,3,0.09166666666666666,0.006818181818181818
4,4,0.12575757575757576,0.013636363636363636
4,5,0.13484848484848486,0.01818181818181818
5,0,0.048484848484848485,0.0
5,1,0.11287878787878788,0.0
5,2,0.07121212121212121,0.0015151515151515152
5,3,0.1340909090909091,0.0030303030303030303
5,4,0.15,0.012121212121212121
5,5,0.1409090909090909,0.014393939393939395
6,0,0.01818181818181818,0.0
6,1,0.02803030303030303,0.0
6,2,0.09393939393939393,0.0
6,3,0.0696969696969697,0.0022727272727272726
6,4,0.10681818181818181,0.004545454545454545
6,5,0.19393939393939394,0.007575757575757576
7,0,0.1803030303030303,0.0
7,1,0.15151515151515152,0.0015151515151515152
7,2,0.15,0.006060606060606061
7,3,0.09318181818181819,0.010606060606060607
7,4,0.08712121212121213,0.013636363636363636
7,5,0.11969696969696969,0.017424242424242425
8,0,0.058333333333333334,0.0
8,1,0.04318181818181818,0.0007575757575757576
8,2,0.02803030303030303,0.0015151515151515152
8,3,0.041666666666666664,0.003787878787878788
8,4,0.022727272727272728,0.006060606060606061
8,5,0.07348484848484849,0.006818181818181818
9,0,0.010606060606060607,0.0
9,1,0.06363636363636363,0.0015151515151515152
9,2,0.10303030303030303,0.004545454545454545
9,3,0.08409090909090909,0.009848484848484848
9,4,0.13333333333333333,0.009848484848484848
9,5,0.15151515151515152,0.015909090909090907
10,0,0.005303030303030303,0.0
10,1,0.009848484848484848,0.0007575757575757576
10,2,0.11136363636363636,0.0007575757575757576
10,3,0.17575757575757575,0.0022727272727272726
10,4,0.15984848484848485,0.005303030303030303
10,5,0.21818181818181817,0.015909090909090907
11,0,0.10378787878787879,0.0
11,1,0.13257575757575757,0.0015151515151515152
11,2,0.20075757575757575,0.007575757575757576
11,3,0.14166666666666666,0.009848484848484848
11,4,0.1696969696969697,0.015151515151515152
11,5,0.23484848484848486,0.021212121212121213
12,0,0.1143939393939394,0.0
12,1,0.07727272727272727,0.0
12,2,0.06287878787878788,0.0
12,3,0.10681818181818181,0.0015151515151515152
12,4,0.17196969696969697,0.006818181818181818
12,5,0.13636363636363635,0.009848484848484848
13,0,0.16287878787878787,0.0
13,1,0.18106060606060606,0.0022727272727272726
13,2,0.20075757575757575,0.007575757575757576
13,3,0.17045454545454544,0.015909090909090907
13,4,0.18636363636363637,0.023484848484848483
13,5,0.23712121212121212,0.03409090909090909
14,0,0.01893939393939394,0.0
14,1,0.05454545454545454,0.0007575757575757576
14,2,0.045454545454545456,0.0007575757575757576
14,3,0.03939393939393939,0.0030303030303030303
14,4,0.06060606060606061,0.004545454545454545
14,5,0.06136363636363636,0.007575757575757576
15,0,0.03787878787878788,0.0
15,1,0.12196969696969696,0.0007575757575757576
15,2,0.14166666666666666,0.0015151515151515152
15,3,0.13863636363636364,0.003787878787878788
15,4,0.28863636363636364,0.009848484848484848
15,5,0.24393939393939393,0.01893939393939394
16,0,0.10757575757575757,0.0
16,1,0.06742424242424243,0.006060606060606061
16,2,0.08257575757575758,0.006818181818181818
16,3,0.059848484848484845,0.008333333333333333
16,4,0.07045454545454545,0.00909090909090909
16,5,0.1,0.013636363636363636
17,0,0.041666666666666664,0.0
17,1,0.038636363636363635,0.0007575757575757576
17,2,0.03787878787878788,0.0015151515151515152
17,3,0.025,0.0022727272727272726
17,4,0.03939393939393939,0.0030303030303030303
17,5,0.05606060606060606,0.006060606060606061
18,0,0.15151515151515152,0.0
18,1,0.1340909090909091,0.0007575757575757576
18,2,0.17196969696969697,0.008333333333333333
18,3,0.18333333333333332,0.012878787878787878
18,4,0.12196969696969696,0.016666666666666666
18,5,0.20757575757575758,0.025
19,0,0.006060606060606061,0.0
19,1,0.0659090909090909,0.0
19,2,0.1143939393939394,0.0
19,3,0.12272727272727273,0.004545454545454545
19,4,0.15454545454545454,0.007575757575757576
19,5,0.13560606060606062,0.007575757575757576
20,0,0.17575757575757575,0.0
20,1,0.11515151515151516,0.0030303030303030303
20,2,0.17045454545454544,0.003787878787878788
20,3,0.175,0.007575757575757576
20,4,0.17575757575757575,0.01818181818181818
20,5,0.1765151515151515,0.02803030303030303
21,0,0.004545454545454545,0.0
21,1,0.06136363636363636,0.0
21,2,0.06893939393939394,0.0007575757575757576
21,3,0.06136363636363636,0.005303030303030303
21,4,0.055303030303030305,0.00909090909090909
21,5,0.06212121212121212,0.015151515151515152
22,0,0.04015151515151515,0.0
22,1,0.04772727272727273,0.0015151515151515152
22,2,0.18712121212121213,0.005303030303030303
22,3,0.16666666666666666,0.00909090909090909
22,4,0.19393939393939394,0.017424242424242425
22,5,0.2515151515151515,0.023484848484848483
23,0,0.05075757575757576,0.0
23,1,0.07424242424242425,0.0
23,2,0.10227272727272728,0.005303030303030303
23,3,0.14166666666666666,0.006060606060606061
23,4,0.17424242424242425,0.009848484848484848
23,5,0.1303030303030303,0.01893939393939394
24,0,0.0659090909090909,0.0
24,1,0.048484848484848485,0.0022727272727272726
24,2,0.08257575757575758,0.004545454545454545
24,3,0.09318181818181819,0.005303030303030303
24,4,0.11287878787878788,0.007575757575757576
24,5,0.14393939393939395,0.011363636363636364
25,0,0.09015151515151515,0.0
25,1,0.09090909090909091,0.0015151515151515152
25,2,0.11212121212121212,0.0030303030303030303
25,3,0.06136363636363636,0.005303030303030303
25,4,0.056818181818181816,0.011363636363636364
25,5,0.06363636363636363,0.014393939393939395
26,0,0.15378787878787878,0.0007575757575757576
26,1,0.07272727272727272,0.009848484848484848
26,2,0.08181818181818182,0.01818181818181818
26,3,0.09166666666666666,0.025757575757575757
26,4,0.1318181818181818,0.038636363636363635
26,5,0.1765151515151515,0.04015151515151515
27,0,0.09924242424242424,0.0
27,1,0.10378787878787879,0.0022727272727272726
27,2,0.09621212121212121,0.003787878787878788
27,3,0.10833333333333334,0.008333333333333333
27,4,0.12954545454545455,0.013636363636363636
27,5,0.10909090909090909,0.015909090909090907
28,0,0.10151515151515152,0.0
28,1,0.1553030303030303,0.004545454545454545
28,2,0.13636363636363635,0.006818181818181818
28,3,0.1787878787878788,0.013636363636363636
28,4,0.22045454545454546,0.025757575757575757
28,5,0.2340909090909091,0.03939393939393939
29,0,0.059848484848484845,0.0
29,1,0.14924242424242423,0.0
29,2,0.14469696969696969,0.007575757575757576
29,3,0.19545454545454546,0.014393939393939395
29,4,0.22272727272727272,0.024242424242424242
29,5,0.24166666666666667,0.030303030303030304
30,0,0.09318181818181819,0.0
30,1,0.1143939393939394,0.0015151515151515152
30,2,0.17272727272727273,0.005303030303030303
30,3,0.23939393939393938,0.011363636363636364
30,4,0.25984848484848483,0.022727272727272728
30,5,0.2545454545454545,0.03484848484848485
