replicate,rank,top-1320 model,top-1320 acquired
1,0,0.05227272727272727,0.0
1,1,0.06439393939393939,0.0015151515151515152
1,2,0.06818181818181818,0.012121212121212121
1,3,0.07575757575757576,0.013636363636363636
1,4,0.07878787878787878,0.01893939393939394
1,5,0.07196969696969698,0.020454545454545454
2,0,0.007575757575757576,0.0
2,1,0.008333333333333333,0.0007575757575757576
2,2,0.029545454545454545,0.0007575757575757576
2,3,0.06893939393939394,0.0015151515151515152
2,4,0.0696969696969697,0.0022727272727272726
2,5,0.06818181818181818,0.0030303030303030303
3,0,0.019696969696969695,0.0
3,1,0.017424242424242425,0.0
3,2,0.02727272727272727,0.0
3,3,0.08106060606060606,0.0007575757575757576
3,4,0.08181818181818182,0.004545454545454545
3,5,0.15833333333333333,0.006818181818181818
4,0,0.04242424242424243,0.0
4,1,0.0446969696969697,0.0022727272727272726
4,2,0.03939393939393939,0.007575757575757576
4,3,0.05,0.008333333333333333
4,4,0.051515151515151514,0.008333333333333333
4,5,0.06136363636363636,0.008333333333333333
5,0,0.029545454545454545,0.0
5,1,0.011363636363636364,0.0
5,2,0.022727272727272728,0.0
5,3,0.023484848484848483,0.0007575757575757576
5,4,0.021212121212121213,0.0015151515151515152
5,5,0.022727272727272728,0.0015151515151515152
6,0,0.026515151515151516,0.0
6,1,0.07651515151515151,0.0
6,2,0.0946969696969697,0.0022727272727272726
6,3,0.1553030303030303,0.006060606060606061
6,4,0.1053030303030303,0.010606060606060607
6,5,0.17803030303030304,0.019696969696969695
7,0,0.03409090909090909,0.0
7,1,0.021212121212121213,0.0
7,2,0.09696969696969697,0.0
7,3,0.12121212121212122,0.0030303030303030303
7,4,0.13257575757575757,0.005303030303030303
7,5,0.15303030303030302,0.009848484848484848
8,0,0.025,0.0
8,1,0.04318181818181818,0.0015151515151515152
8,2,0.023484848484848483,0.0015151515151515152
8,3,0.04621212121212121,0.0015151515151515152
8,4,0.04924242424242424,0.0030303030303030303
8,5,0.0696969696969697,0.003787878787878788
9,0,0.016666666666666666,0.0
9,1,0.05378787878787879,0.0007575757575757576
9,2,0.15227272727272728,0.0015151515151515152
9,3,0.03787878787878788,0.003787878787878788
9,4,0.06439393939393939,0.004545454545454545
9,5,0.10984848484848485,0.006818181818181818
10,0,0.029545454545454545,0.0
10,1,0.020454545454545454,0.0
10,2,0.017424242424242425,0.0
10,3,0.1159090909090909,0.0015151515151515152
10,4,0.1053030303030303,0.005303030303030303
10,5,0.11060606060606061,0.011363636363636364
11,0,0.06060606060606061,0.0
11,1,0.04318181818181818,0.0015151515151515152
11,2,0.06439393939393939,0.0030303030303030303
11,3,0.04242424242424243,0.003787878787878788
11,4,0.048484848484848485,0.003787878787878788
11,5,0.03333333333333333,0.006818181818181818
12,0,0.08181818181818182,0.0
12,1,0.05378787878787879,0.0015151515151515152
12,2,0.03939393939393939,0.003787878787878788
12,3,0.05454545454545454,0.003787878787878788
12,4,0.09015151515151515,0.006060606060606061
12,5,0.1856060606060606,0.00909090909090909
13,0,0.058333333333333334,0.0
13,1,0.02803030303030303,0.0
13,2,0.045454545454545456,0.0
13,3,0.056818181818181816,0.0022727272727272726
13,4,0.09166666666666666,0.005303030303030303
13,5,0.13257575757575757,0.009848484848484848
14,0,0.011363636363636364,0.0
14,1,0.009848484848484848,0.0022727272727272726
14,2,0.03409090909090909,0.0022727272727272726
14,3,0.038636363636363635,0.005303030303030303
14,4,0.04318181818181818,0.006060606060606061
14,5,0.05454545454545454,0.006818181818181818
15,0,0.013636363636363636,0.0
15,1,0.02803030303030303,0.0
15,2,0.07121212121212121,0.0
15,3,0.11818181818181818,0.0015151515151515152
15,4,0.10984848484848485,0.004545454545454545
15,5,0.11515151515151516,0.00909090909090909
16,0,0.06893939393939394,0.0
16,1,0.05378787878787879,0.0007575757575757576
16,2,0.022727272727272728,0.0030303030303030303
16,3,0.04696969696969697,0.0030303030303030303
16,4,0.08636363636363636,0.003787878787878788
16,5,0.08333333333333333,0.00909090909090909
17,0,0.07954545454545454,0.0
17,1,0.11060606060606061,0.0007575757575757576
17,2,0.059848484848484845,0.004545454545454545
17,3,0.09242424242424242,0.006818181818181818
17,4,0.13484848484848486,0.008333333333333333
17,5,0.13484848484848486,0.015909090909090907
18,0,0.12272727272727273,0.0
18,1,0.1787878787878788,0.0015151515151515152
18,2,0.11136363636363636,0.009848484848484848
18,3,0.13712121212121212,0.013636363636363636
18,4,0.11515151515151516,0.019696969696969695
18,5,0.15075757575757576,0.024242424242424242
19,0,0.09772727272727273,0.0
19,1,0.18636363636363637,0.006818181818181818
19,2,0.1893939393939394,0.015909090909090907
19,3,0.11818181818181818,0.02727272727272727
19,4,0.12424242424242424,0.03257575757575758
19,5,0.15454545454545454,0.037121212121212124
20,0,0.09393939393939393,0.0
20,1,0.06666666666666667,0.0
20,2,0.10303030303030303,0.0007575757575757576
20,3,0.10151515151515152,0.0015151515151515152
20,4,0.13560606060606062,0.0022727272727272726
20,5,0.08787878787878788,0.003787878787878788
21,0,0.02196969696969697,0.0
21,1,0.04621212121212121,0.0
21,2,0.03333333333333333,0.0015151515151515152
21,3,0.0446969696969697,0.0015151515151515152
21,4,0.09848484848484848,0.0022727272727272726
21,5,0.0446969696969697,0.004545454545454545
22,0,0.07803030303030303,0.0
22,1,0.16893939393939394,0.0015151515151515152
22,2,0.15378787878787878,0.008333333333333333
22,3,0.07803030303030303,0.017424242424242425
22,4,0.125,0.01818181818181818
22,5,0.13560606060606062,0.025
23,0,0.026515151515151516,0.0
23,1,0.024242424242424242,0.0007575757575757576
23,2,0.058333333333333334,0.0015151515151515152
23,3,0.06287878787878788,0.006060606060606061
23,4,0.05757575757575758,0.008333333333333333
23,5,0.0946969696969697,0.008333333333333333
24,0,0.015151515151515152,0.0
24,1,0.023484848484848483,0.0
24,2,0.019696969696969695,0.0007575757575757576
24,3,0.03484848484848485,0.0022727272727272726
24,4,0.03333333333333333,0.0022727272727272726
24,5,0.06818181818181818,0.0030303030303030303
25,0,0.013636363636363636,0.0
25,1,0.011363636363636364,0.0
25,2,0.06666666666666667,0.0
25,3,0.1143939393939394,0.0
25,4,0.12575757575757576,0.00909090909090909
25,5,0.09696969696969697,0.017424242424242425
26,0,0.09318181818181819,0.0007575757575757576
26,1,0.048484848484848485,0.0022727272727272726
26,2,0.051515151515151514,0.0030303030303030303
26,3,0.04772727272727273,0.0030303030303030303
26,4,0.03484848484848485,0.003787878787878788
26,5,0.09318181818181819,0.003787878787878788
27,0,0.019696969696969695,0.0
27,1,0.0022727272727272726,0.0
27,2,0.011363636363636364,0.0
27,3,0.02803030303030303,0.0
27,4,0.007575757575757576,0.0
27,5,0.01818181818181818,0.0
28,0,0.04090909090909091,0.0
28,1,0.019696969696969695,0.0007575757575757576
28,2,0.017424242424242425,0.0007575757575757576
28,3,0.045454545454545456,0.0007575757575757576
28,4,0.035606060606060606,0.0015151515151515152
28,5,0.029545454545454545,0.0030303030303030303
29,0,0.05303030303030303,0.0
29,1,0.10075757575757575,0.0
29,2,0.12878787878787878,0.0007575757575757576
29,3,0.1484848484848485,0.005303030303030303
29,4,0.13787878787878788,0.015909090909090907
29,5,0.1462121212121212,0.017424242424242425
30,0,0.04015151515151515,0.0
30,1,0.06666666666666667,0.0007575757575757576
30,2,0.025757575757575757,0.0007575757575757576
30,3,0.05303030303030303,0.0007575757575757576
30,4,0.0946969696969697,0.0015151515151515152
30,5,0.10454545454545454,0.004545454545454545
