replicate,rank,top-1320 model,top-1320 acquired
1,0,0.15606060606060607,0.0
1,1,0.03787878787878788,0.0030303030303030303
1,2,0.08484848484848485,0.0030303030303030303
1,3,0.1318181818181818,0.003787878787878788
1,4,0.16818181818181818,0.006060606060606061
1,5,0.17954545454545454,0.009848484848484848
2,0,0.048484848484848485,0.0
2,1,0.048484848484848485,0.0
2,2,0.11136363636363636,0.0
2,3,0.07727272727272727,0.0015151515151515152
2,4,0.11818181818181818,0.0022727272727272726
2,5,0.15454545454545454,0.011363636363636364
3,0,0.07272727272727272,0.0
3,1,0.12045454545454545,0.0007575757575757576
3,2,0.12727272727272726,0.0007575757575757576
3,3,0.18257575757575759,0.005303030303030303
3,4,0.15075757575757576,0.008333333333333333
3,5,0.07575757575757576,0.00909090909090909
4,0,0.04696969696969697,0.0
4,1,0.16136363636363638,0.0007575757575757576
4,2,0.06287878787878788,0.008333333333333333
4,3,0.12045454545454545,0.008333333333333333
4,4,0.030303030303030304,0.009848484848484848
4,5,0.11818181818181818,0.011363636363636364
5,0,0.05,0.0
5,1,0.00909090909090909,0.0
5,2,0.05227272727272727,0.0
5,3,0.05,0.0007575757575757576
5,4,0.07424242424242425,0.0007575757575757576
5,5,0.07727272727272727,0.0007575757575757576
6,0,0.06136363636363636,0.0
6,1,0.12727272727272726,0.0
6,2,0.07803030303030303,0.0030303030303030303
6,3,0.05454545454545454,0.006060606060606061
6,4,0.08106060606060606,0.006060606060606061
6,5,0.12424242424242424,0.006060606060606061
7,0,0.11893939393939394,0.0
7,1,0.14772727272727273,0.0007575757575757576
7,2,0.006818181818181818,0.0030303030303030303
7,3,0.05606060606060606,0.0030303030303030303
7,4,0.15681818181818183,0.004545454545454545
7,5,0.11666666666666667,0.008333333333333333
8,0,0.010606060606060607,0.0
8,1,0.055303030303030305,0.0
8,2,0.14772727272727273,0.0022727272727272726
8,3,0.12651515151515152,0.0030303030303030303
8,4,0.13863636363636364,0.003787878787878788
8,5,0.11060606060606061,0.00909090909090909
9,0,0.06439393939393939,0.0
9,1,0.09696969696969697,0.0
9,2,0.11363636363636363,0.0015151515151515152
9,3,0.18787878787878787,0.0022727272727272726
9,4,0.1765151515151515,0.006060606060606061
9,5,0.17803030303030304,0.014393939393939395
10,0,0.11212121212121212,0.0
10,1,0.03106060606060606,0.0
10,2,0.03333333333333333,0.0
10,3,0.05303030303030303,0.0
10,4,0.11136363636363636,0.0007575757575757576
10,5,0.08636363636363636,0.004545454545454545
11,0,0.04621212121212121,0.0
11,1,0.011363636363636364,0.0007575757575757576
11,2,0.0030303030303030303,0.0007575757575757576
11,3,0.02196969696969697,0.0007575757575757576
11,4,0.059848484848484845,0.0015151515151515152
11,5,0.08257575757575758,0.0030303030303030303
12,0,0.08863636363636364,0.0
12,1,0.048484848484848485,0.0015151515151515152
12,2,0.2143939393939394,0.0022727272727272726
12,3,0.09696969696969697,0.011363636363636364
12,4,0.15075757575757576,0.012121212121212121
12,5,0.12954545454545455,0.017424242424242425
13,0,0.07803030303030303,0.0
13,1,0.03333333333333333,0.0
13,2,0.21212121212121213,0.0
13,3,0.02196969696969697,0.007575757575757576
13,4,0.11212121212121212,0.007575757575757576
13,5,0.11060606060606061,0.011363636363636364
14,0,0.021212121212121213,0.0
14,1,0.02727272727272727,0.0
14,2,0.13333333333333333,0.0030303030303030303
14,3,0.13484848484848486,0.006818181818181818
14,4,0.13106060606060607,0.00909090909090909
14,5,0.14015151515151514,0.017424242424242425
15,0,0.04090909090909091,0.0
15,1,0.06666666666666667,0.0
15,2,0.12196969696969696,0.0022727272727272726
15,3,0.2681818181818182,0.004545454545454545
15,4,0.18712121212121213,0.010606060606060607
15,5,0.1431818181818182,0.01818181818181818
16,0,0.10454545454545454,0.0
16,1,0.048484848484848485,0.0007575757575757576
16,2,0.1053030303030303,0.0022727272727272726
16,3,0.13863636363636364,0.005303030303030303
16,4,0.06818181818181818,0.006818181818181818
16,5,0.07803030303030303,0.006818181818181818
17,0,0.024242424242424242,0.0
17,1,0.012121212121212121,0.0
17,2,0.03333333333333333,0.0007575757575757576
17,3,0.03484848484848485,0.0007575757575757576
17,4,0.11287878787878788,0.0007575757575757576
17,5,0.08257575757575758,0.0030303030303030303
18,0,0.1643939393939394,0.0
18,1,0.11969696969696969,0.003787878787878788
18,2,0.11969696969696969,0.007575757575757576
18,3,0.13787878787878788,0.013636363636363636
18,4,0.17803030303030304,0.017424242424242425
18,5,0.1696969696969697,0.019696969696969695
19,0,0.024242424242424242,0.0
19,1,0.008333333333333333,0.0
19,2,0.021212121212121213,0.0
19,3,0.0446969696969697,0.0
19,4,0.05454545454545454,0.0015151515151515152
19,5,0.1143939393939394,0.0030303030303030303
20,0,0.16818181818181818,0.0
20,1,0.12196969696969696,0.003787878787878788
20,2,0.13333333333333333,0.004545454545454545
20,3,0.12727272727272726,0.004545454545454545
20,4,0.15833333333333333,0.008333333333333333
20,5,0.21893939393939393,0.011363636363636364
21,0,0.06363636363636363,0.0
21,1,0.0022727272727272726,0.0007575757575757576
21,2,0.0446969696969697,0.0007575757575757576
21,3,0.051515151515151514,0.0030303030303030303
21,4,0.0803030303030303,0.003787878787878788
21,5,0.12878787878787878,0.004545454545454545
22,0,0.1340909090909091,0.0
22,1,0.023484848484848483,0.0
22,2,0.2106060606060606,0.0007575757575757576
22,3,0.05909090909090909,0.012121212121212121
22,4,0.0946969696969697,0.012121212121212121
22,5,0.11136363636363636,0.015909090909090907
23,0,0.16818181818181818,0.0
23,1,0.12045454545454545,0.0007575757575757576
23,2,0.1946969696969697,0.0015151515151515152
23,3,0.12272727272727273,0.008333333333333333
23,4,0.1462121212121212,0.014393939393939395
23,5,0.15606060606060607,0.016666666666666666
24,0,0.05757575757575758,0.0
24,1,0.08636363636363636,0.0
24,2,0.05454545454545454,0.0015151515151515152
24,3,0.10227272727272728,0.0015151515151515152
24,4,0.045454545454545456,0.0022727272727272726
24,5,0.051515151515151514,0.0030303030303030303
25,0,0.03257575757575758,0.0
