replicate,rank,top-1320 model,top-1320 acquired
1,0,0.01893939393939394,0.0
1,1,0.03106060606060606,0.0007575757575757576
1,2,0.026515151515151516,0.004545454545454545
1,3,0.025757575757575757,0.004545454545454545
1,4,0.029545454545454545,0.004545454545454545
1,5,0.048484848484848485,0.004545454545454545
2,0,0.01818181818181818,0.0
2,1,0.0446969696969697,0.0
2,2,0.02803030303030303,0.0
2,3,0.045454545454545456,0.0007575757575757576
2,4,0.05303030303030303,0.0015151515151515152
2,5,0.06515151515151515,0.003787878787878788
3,0,0.021212121212121213,0.0
3,1,0.03257575757575758,0.0
3,2,0.05606060606060606,0.0
3,3,0.04924242424242424,0.0
3,4,0.05075757575757576,0.0007575757575757576
3,5,0.05757575757575758,0.0015151515151515152
4,0,0.04621212121212121,0.0
4,1,0.06363636363636363,0.0007575757575757576
4,2,0.07878787878787878,0.0015151515151515152
4,3,0.10984848484848485,0.006818181818181818
4,4,0.10681818181818181,0.011363636363636364
4,5,0.09621212121212121,0.024242424242424242
5,0,0.03257575757575758,0.0
5,1,0.025,0.0007575757575757576
5,2,0.0659090909090909,0.0022727272727272726
5,3,0.09090909090909091,0.008333333333333333
5,4,0.09621212121212121,0.012121212121212121
5,5,0.10303030303030303,0.016666666666666666
6,0,0.06287878787878788,0.0
6,1,0.055303030303030305,0.0
6,2,0.06893939393939394,0.0
6,3,0.09166666666666666,0.0015151515151515152
6,4,0.09621212121212121,0.011363636363636364
6,5,0.0803030303030303,0.025
7,0,0.03333333333333333,0.0
7,1,0.07045454545454545,0.0
7,2,0.09772727272727273,0.0030303030303030303
7,3,0.0893939393939394,0.008333333333333333
7,4,0.09696969696969697,0.015151515151515152
7,5,0.10833333333333334,0.023484848484848483
8,0,0.05,0.0
8,1,0.05227272727272727,0.003787878787878788
8,2,0.07045454545454545,0.008333333333333333
8,3,0.056818181818181816,0.009848484848484848
8,4,0.04696969696969697,0.010606060606060607
8,5,0.055303030303030305,0.012121212121212121
9,0,0.03484848484848485,0.0
9,1,0.05757575757575758,0.0007575757575757576
9,2,0.05606060606060606,0.0015151515151515152
9,3,0.06212121212121212,0.004545454545454545
9,4,0.07727272727272727,0.006060606060606061
9,5,0.0856060606060606,0.008333333333333333
10,0,0.03333333333333333,0.0
10,1,0.04393939393939394,0.0007575757575757576
10,2,0.06212121212121212,0.006818181818181818
10,3,0.10454545454545454,0.008333333333333333
10,4,0.1462121212121212,0.012121212121212121
10,5,0.14924242424242423,0.01893939393939394
11,0,0.03106060606060606,0.0
11,1,0.03939393939393939,0.0
11,2,0.051515151515151514,0.0
11,3,0.1,0.0030303030303030303
11,4,0.12954545454545455,0.012878787878787878
11,5,0.15075757575757576,0.023484848484848483
12,0,0.035606060606060606,0.0
12,1,0.041666666666666664,0.0
12,2,0.051515151515151514,0.0030303030303030303
12,3,0.05909090909090909,0.006818181818181818
12,4,0.05909090909090909,0.014393939393939395
12,5,0.07954545454545454,0.02803030303030303
13,0,0.07575757575757576,0.0
13,1,0.1159090909090909,0.0015151515151515152
13,2,0.12878787878787878,0.011363636363636364
13,3,0.15,0.025
13,4,0.1590909090909091,0.03409090909090909
13,5,0.15151515151515152,0.045454545454545456
14,0,0.021212121212121213,0.0
14,1,0.030303030303030304,0.0
14,2,0.03939393939393939,0.0
14,3,0.04621212121212121,0.0
14,4,0.05606060606060606,0.0022727272727272726
